25444, 300 PONTOTOC AVE, MEMPHIS, TN, 
25445, 300 RED OAKS, MEMPHIS, TN, 
25446, 300 S BARKSDALE ST, MEMPHIS, TN, 
25447, 300 S BELVEDERE, MEMPHIS, TN, 
25448, 300 S CAMILA, MEMPHIS, TN, 
25449, 300 S COOPER ST, MEMPHIS, TN, 
25450, 300 S PERKINS, MEMPHIS, TN, 
25451, 300 SAFFARANS, MEMPHIS, TN, 
25452, 300 SATURN, MEMPHIS, TN, 
25453, 300 SOUTH CLEVELAND, MEMPHIS, TN, 
25454, 300 SOUTH SUSSEX, MEMPHIS, TN, 
25455, 300 SUSSEX LN SOUTH, MEMPHIS, TN, 
25456, 300 W DAVANT AVE, MEMPHIS, TN, 
25457, 300 W RED OAK ST, MEMPHIS, TN, 
25458, 300 WAGNER PL, MEMPHIS, TN, 
25459, 300 WEBSTER, MEMPHIS, TN, 
25460, 300 WESLEY OAKS DR, MEMPHIS, TN, 
25461, 3000 ALLEN, MEMPHIS, TN, 
25462, 3000 BEDE RD, MEMPHIS, TN, 
25463, 3000 BREWER AVE, MEMPHIS, TN, 
25464, 3000 CHANDLER, MEMPHIS, TN, 
25465, 3000 COACH, MEMPHIS, TN, 
25466, 3000 CORDELL ST, MEMPHIS, TN, 
25467, 3000 EAST RD, MEMPHIS, TN, 
25468, 3000 HICKORY HL, MEMPHIS, TN, 
25469, 3000 KIN CV, MEMPHIS, TN, 
25470, 3000 LAMAR ST, MEMPHIS, TN, 
25471, 3000 MILLERS POND, MEMPHIS, TN, 
25472, 3000 N THOMAS, MEMPHIS, TN, 
25473, 3000 OAKLAND HILLS CV, MEMPHIS, TN, 
25474, 3000 S 3RD ST, MEMPHIS, TN, 
25475, 3000 S MENDENHALL RD, MEMPHIS, TN, 
25476, 3000 WOODLAWN TERRACE, MEMPHIS, TN, 
25477, 3000 WOODVALE CV, MEMPHIS, TN, 
25478, 3100 BASKIN, MEMPHIS, TN, 
25479, 3100 BAYVIEW CV, MEMPHIS, TN, 
25480, 3100 BEAR DR, MEMPHIS, TN, 
25481, 3100 BLUEFIELD ST, MEMPHIS, TN, 
25482, 3100 CAMDEN ST, MEMPHIS, TN, 
25483, 3100 CHARWELL LN, MEMPHIS, TN, 
