1339, 2800 HICKORY POINT CV, MEMPHIS, TN, 
1340, 2900 NEW BRUNSWICK, MEMPHIS, TN, 
1341, 2900 OLD AUSTIN PEAY HWY, MEMPHIS, TN, 
1342, 2900 VAYU, MEMPHIS, TN, 
1343, 300 N BELLEVUE, MEMPHIS, TN, 
1344, 3100 PARK AVE, MEMPHIS, TN, 
1345, 3100 THOMAS ST, MEMPHIS, TN, 
1346, 3500 FARMVILLE, MEMPHIS, TN, 
1347, 3500 WILD RYE, MEMPHIS, TN, 
1348, 3700 MACON RD, MEMPHIS, TN, 
1349, 3700 PERSHING PARK, MEMPHIS, TN, 
1350, 4400 STAGE RD, MEMPHIS, TN, 
1351, 1300 CUMMINGS, MEMPHIS, TN, 
1352, 1400 CLEMENTINE RD, MEMPHIS, TN, 
1353, 1600 VOLLINTINE, MEMPHIS, TN, 
1354, 2000 MADISON, MEMPHIS, TN, 
1355, 2400 NORMAN, MEMPHIS, TN, 
1356, 2600 HARVARD, MEMPHIS, TN, 
1357, 2800 MEADOWLAKE DR E, MEMPHIS, TN, 
1358, 2800 PARK AVE, MEMPHIS, TN, 
1359, 2900 EDEN PARK DR, MEMPHIS, TN, 
1360, 2900 SHADY VISTA DR, MEMPHIS, TN, 
1361, 300 E MCLEMORE, MEMPHIS, TN, 
1362, 3000 AIRWAYS BLVD, MEMPHIS, TN, 
1363, 3300 MADEWELL, MEMPHIS, TN, 
1364, 3300 SHARPE, MEMPHIS, TN, 
1365, 3400 COLEMAN, MEMPHIS, TN, 
1366, 3500 FAXON, MEMPHIS, TN, 
1367, 3500 MEDITERRANEAN, MEMPHIS, TN, 
1368, 3600 SOUTHERN, MEMPHIS, TN, 
1369, 4000 NEW WILLOW, MEMPHIS, TN, 
1370, 4200 JACKSON AVE, MEMPHIS, TN, 
1371, 5900 EDGEWATER CV, MEMPHIS, TN, 
1372, 6100 QUINCE, MEMPHIS, TN, 
1373, 6100 SUMMER RIDGE, MEMPHIS, TN, 
1374, 1000 LENOW PARK, MEMPHIS, TN, 
1375, 1100 CHELSEA, MEMPHIS, TN, 
1376, 1500 S THIRD, MEMPHIS, TN, 
1377, 2400 KETCHUM RD, MEMPHIS, TN, 
1378, 2500 JOY LN, MEMPHIS, TN, 
1379, 2600 DERBYSHIRE, MEMPHIS, TN, 
1380, 2600 PERES AVE, MEMPHIS, TN, 
1381, 2700 RENTAL RD, MEMPHIS, TN, 
1382, 2700 S PERKINS, MEMPHIS, TN, 
1383, 2900 DEADRICK AVE, MEMPHIS, TN, 
1384, 2ND AND BEALE, MEMPHIS, TN, 
1385, 3100 POPLAR AVE, MEMPHIS, TN, 
1386, 3100 S PERKINS RD, MEMPHIS, TN, 
1387, 3300 EGYPT CENTRAL, MEMPHIS, TN, 
1388, 3300 LYNDALE, MEMPHIS, TN, 
1389, 3300 S THIRD ST, MEMPHIS, TN, 
1390, 3400 GUERNSEY, MEMPHIS, TN, 
1391, 3700 OUTLAND RD, MEMPHIS, TN, 
1392, 3800 ALIBI CT, MEMPHIS, TN, 
1393, 3800 SKYLARK, MEMPHIS, TN, 
1394, 4000 CHELSEA HILL, MEMPHIS, TN, 
1395, 4900 BONTURA, MEMPHIS, TN, 
1396, 5400 KNIGHT ARNOLD RD, MEMPHIS, TN, 
1397, 700 DEERSKIN, MEMPHIS, TN, 
1398, 800 E MCLEMORE, MEMPHIS, TN, 
1399, 100 S MAIN ST, MEMPHIS, TN, 
1400, 1100 AYERS, MEMPHIS, TN, 
1401, 1100 TILLMAN, MEMPHIS, TN, 
1402, 1300 HARBERT, MEMPHIS, TN, 
1403, 1600 CELLA, MEMPHIS, TN, 
1404, 3200 ALLISON, MEMPHIS, TN, 
1405, 3600 WALKER AVE, MEMPHIS, TN, 
1406, 3800 CAZASSA, MEMPHIS, TN, 
1407, 400 N CLEVELAND, MEMPHIS, TN, 
1408, 4500 ARNOLD CV, MEMPHIS, TN, 
1409, 4900 SUMMER AVE, MEMPHIS, TN, 
1410, 900 MISSISSIPPI, MEMPHIS, TN, 
1411, HICKORY HILL AND WINCHESTER, MEMPHIS, TN, 
1412, 1100 LEATH, MEMPHIS, TN, 
1413, 1700 ASH, MEMPHIS, TN, 
1414, 1800 S ORLEANS, MEMPHIS, TN, 
1415, 1900 BARONESS, MEMPHIS, TN, 
1416, 200 MADISON, MEMPHIS, TN, 
1417, 2800 S MENDENHALL RD, MEMPHIS, TN, 
1418, 4000 N WATKINS, MEMPHIS, TN, 
1419, 4100 PARK AVE, MEMPHIS, TN, 
1420, 5100 SUMMER, MEMPHIS, TN, 
1421, 5200 POPLAR AVE, MEMPHIS, TN, 
1422, 5600 APPLE BLOSSOM, MEMPHIS, TN, 
1423, 5900 SUN CV, MEMPHIS, TN, 
1424, 600 E MALLORY, MEMPHIS, TN, 
1425, 6000 HICKORY MEADOW LN, MEMPHIS, TN, 
1426, FOURTH AND BEALE, MEMPHIS, TN, 
1427, 1200 CHELSEA, MEMPHIS, TN, 
1428, 1200 JACKSON, MEMPHIS, TN, 
1429, 1300 TUTWILER, MEMPHIS, TN, 
1430, 200 EASTVIEW, MEMPHIS, TN, 
1431, 2200 CLARKSDALE, MEMPHIS, TN, 
1432, 2500 DURHAM, MEMPHIS, TN, 
1433, 2500 WEST HILLVIEW, MEMPHIS, TN, 
1434, 2800 BURNS, MEMPHIS, TN, 
1435, 2900 EDEN PARK, MEMPHIS, TN, 
1436, 3200 SHARPE AVE, MEMPHIS, TN, 
1437, 3400 TREZEVANT, MEMPHIS, TN, 
