18401, 3600 VIVIA AVE, MEMPHIS, TN, 
18402, 3600 W BIG BEND, MEMPHIS, TN, 
18403, 3600 WALNUT GROVE, MEMPHIS, TN, 
18404, 3600 WILD BRIAR CT, MEMPHIS, TN, 
18405, 3700 AUTUMN, MEMPHIS, TN, 
18406, 3700 CHATEAU RHODES CIR, MEMPHIS, TN, 
18407, 3700 CHESTERWOOD CT, MEMPHIS, TN, 
18408, 3700 E RAINES RD, MEMPHIS, TN, 
18409, 3700 GRACELAND DR, MEMPHIS, TN, 
18410, 3700 GREY RD, MEMPHIS, TN, 
18411, 3700 HIGHWAY 78, MEMPHIS, TN, 
18412, 3700 KING JAMES CV, MEMPHIS, TN, 
18413, 3700 KING JAMES, MEMPHIS, TN, 
18414, 3700 MERRITT ST, MEMPHIS, TN, 
18415, 3700 MILL BRANCH PARK, MEMPHIS, TN, 
18416, 3700 MYNDERS AVE, MEMPHIS, TN, 
18417, 3700 NAYLOR DR, MEMPHIS, TN, 
18418, 3700 POPIN JAY, MEMPHIS, TN, 
18419, 3700 SHADY HOLLOW LN, MEMPHIS, TN, 
18420, 3700 SOCORRO CV, MEMPHIS, TN, 
18421, 3700 STEELE ST, MEMPHIS, TN, 
18422, 3700 TERRACE DR, MEMPHIS, TN, 
18423, 3700 WINCHESTER SQUARE WEST, MEMPHIS, TN, 
18424, 3700 WINDEMERE, MEMPHIS, TN, 
18425, 3700 WINPLACE RD, MEMPHIS, TN, 
18426, 3800 ADVANTAGE WAY, MEMPHIS, TN, 
18427, 3800 BELLEAU ST, MEMPHIS, TN, 
18428, 3800 CASTLEMAN, MEMPHIS, TN, 
18429, 3800 EDENBURG DR, MEMPHIS, TN, 
18430, 3800 GREY RD, MEMPHIS, TN, 
18431, 3800 GUERNSEY AVE, MEMPHIS, TN, 
18432, 3800 HANNA DR, MEMPHIS, TN, 
18433, 3800 HORN LAKE, MEMPHIS, TN, 
18434, 3800 IRMA, MEMPHIS, TN, 
18435, 3800 MAPLE LEAF, MEMPHIS, TN, 
18436, 3800 RALEIGH MILLINGTON, MEMPHIS, TN, 
18437, 3800 ROBINHOOD, MEMPHIS, TN, 
18438, 3800 SHADY HOLLOW LN, MEMPHIS, TN, 
18439, 3800 SOUTH MENDENHALL, MEMPHIS, TN, 
18440, 3800 TERESA CV, MEMPHIS, TN, 
18441, 3800 WALKER AVE, MEMPHIS, TN, 
18442, 3800 WALSHINGHAM, MEMPHIS, TN, 
18443, 3800 WOODLAND DR, MEMPHIS, TN, 
18444, 3900 ARGONNE ST, MEMPHIS, TN, 
18445, 3900 BLACKFOREST, MEMPHIS, TN, 
18446, 3900 CAZASSA RD, MEMPHIS, TN, 
18447, 3900 CHRISTY CV, MEMPHIS, TN, 
18448, 3900 CLARKE, MEMPHIS, TN, 
18449, 3900 CLEMMER, MEMPHIS, TN, 
18450, 3900 DANTE AVE, MEMPHIS, TN, 
18451, 3900 EAGLEWOOD, MEMPHIS, TN, 
18452, 3900 HIGHBRIDGE CT, MEMPHIS, TN, 
18453, 3900 JERUSALEM, MEMPHIS, TN, 
18454, 3900 MARSTON RD, MEMPHIS, TN, 
18455, 3900 MASTERSON, MEMPHIS, TN, 
18456, 3900 MIMOSA, MEMPHIS, TN, 
18457, 3900 NEELY, MEMPHIS, TN, 
18458, 3900 OLD GETWELL RD, MEMPHIS, TN, 
18459, 3900 PAULA DR, MEMPHIS, TN, 
18460, 3900 PHILSDALE AVE, MEMPHIS, TN, 
18461, 3900 RAVENS NEST, MEMPHIS, TN, 
18462, 3900 S GOODMAN CIR, MEMPHIS, TN, 
18463, 3900 SOUTH ADVANTAGEWAY, MEMPHIS, TN, 
18464, 3900 SOUTHERN AVENUE, MEMPHIS, TN, 
18465, 3900 SYLVAN HILLS CV, MEMPHIS, TN, 
18466, 3900 TESSLAND RD, MEMPHIS, TN, 
18467, 3900 WALSINGHAM CV, MEMPHIS, TN, 
18468, 3900 WINDY AVE, MEMPHIS, TN, 
18469, 400 BISHOP ROW, MEMPHIS, TN, 
18470, 400 COSSITT, MEMPHIS, TN, 
18471, 400 DUDLEY, MEMPHIS, TN, 
18472, 400 E MC LEMORE AVE, MEMPHIS, TN, 
18473, 400 EASTVIEW, MEMPHIS, TN, 
18474, 400 ELDERS ROW, MEMPHIS, TN, 
18475, 400 FLYNN RD, MEMPHIS, TN, 
18476, 400 HOLLOWELL AVE, MEMPHIS, TN, 
18477, 400 LEMA, MEMPHIS, TN, 
18478, 400 MCFARLAND RD, MEMPHIS, TN, 
18479, 400 MODDER AVE, MEMPHIS, TN, 
18480, 400 NORTH BELLEVUE, MEMPHIS, TN, 
18481, 400 S BERKSHIRE CV, MEMPHIS, TN, 
18482, 400 S GROVE PARK, MEMPHIS, TN, 
18483, 400 SHADY WOODS CV, MEMPHIS, TN, 
18484, 400 SOUTH FOURTH, MEMPHIS, TN, 
