19369, 2600 E DON KRAG CIR, MEMPHIS, TN, 
19370, 2600 FARRISVIEW, MEMPHIS, TN, 
19371, 2600 JUDSON, MEMPHIS, TN, 
19372, 2600 KATE BOND RD, MEMPHIS, TN, 
19373, 2600 KENNER AVE, MEMPHIS, TN, 
19374, 2600 LAROSE AVE, MEMPHIS, TN, 
19375, 2600 MATTHEWS, MEMPHIS, TN, 
19376, 2600 MONETTE CV, MEMPHIS, TN, 
19377, 2600 NINA DR, MEMPHIS, TN, 
19378, 2600 W DON KRAG CIR, MEMPHIS, TN, 
19379, 2700 AUTUMN, MEMPHIS, TN, 
19380, 2700 COURTNEY, MEMPHIS, TN, 
19381, 2700 HOLLYWOOD ST, MEMPHIS, TN, 
19382, 2700 NEW RALEIGH RD, MEMPHIS, TN, 
19383, 2700 ROPER, MEMPHIS, TN, 
19384, 2700 THOUSAND OAK, MEMPHIS, TN, 
19385, 2700 THOUSAND OAKS RD, MEMPHIS, TN, 
19386, 2800 GARDEN LN, MEMPHIS, TN, 
19387, 2800 HARVARD, MEMPHIS, TN, 
19388, 2800 MEADOW LAKE EAST, MEMPHIS, TN, 
19389, 2800 N GERMANTOWN PW, MEMPHIS, TN, 
19390, 2800 RUSTIC DR, MEMPHIS, TN, 
19391, 2800 STONEWAY, MEMPHIS, TN, 
19392, 2800 VILLAGE GREEN LN, MEMPHIS, TN, 
19393, 2800 YALE, MEMPHIS, TN, 
19394, 2900 ARBOR VALLEY LN, MEMPHIS, TN, 
19395, 2900 ARLINGTON AVE, MEMPHIS, TN, 
19396, 2900 BARRIS DR, MEMPHIS, TN, 
19397, 2900 COPPER RIDGE CV, MEMPHIS, TN, 
19398, 2900 COTTONWOOD CV, MEMPHIS, TN, 
19399, 2900 CREST AVE, MEMPHIS, TN, 
19400, 2900 DANVILLE CV, MEMPHIS, TN, 
19401, 2900 DELL, MEMPHIS, TN, 
19402, 2900 GERMANTOWN PKY, MEMPHIS, TN, 
19403, 2900 MANDALE, MEMPHIS, TN, 
19404, 2900 MIMOSA AVE, MEMPHIS, TN, 
19405, 2900 MONTAGUE AVE, MEMPHIS, TN, 
19406, 2900 MT TERRACE, MEMPHIS, TN, 
19407, 2900 RANGE LINE, MEMPHIS, TN, 
19408, 2900 SUMMIT ARBOR CR, MEMPHIS, TN, 
19409, 2900 WALNUT, MEMPHIS, TN, 
19410, 2ND AND GAYOSO, MEMPHIS, TN, 
19411, 300 BRICK COTTAGE LN, MEMPHIS, TN, 
19412, 300 CLOWER, MEMPHIS, TN, 
19413, 300 COCHRAN ST, MEMPHIS, TN, 
19414, 300 DANNY THOMAS PL, MEMPHIS, TN, 
19415, 300 HAMLIN, MEMPHIS, TN, 
19416, 300 INWOOD, MEMPHIS, TN, 
19417, 300 MUNFORD, MEMPHIS, TN, 
19418, 300 N BELLEVUE ST, MEMPHIS, TN, 
19419, 300 NORTH CLAYBROOK, MEMPHIS, TN, 
19420, 300 S RIVERSIDE DR, MEMPHIS, TN, 
19421, 300 W ESSEX AVE, MEMPHIS, TN, 
19422, 300 WALDORF, MEMPHIS, TN, 
19423, 300 WINDOVER, MEMPHIS, TN, 
19424, 3000 ALLSHORE ST, MEMPHIS, TN, 
19425, 3000 CHARLESTOWN, MEMPHIS, TN, 
19426, 3000 DOTHAN ST, MEMPHIS, TN, 
19427, 3000 GRENADIER, MEMPHIS, TN, 
19428, 3000 JAMES, MEMPHIS, TN, 
19429, 3000 LAKE RUN CIR, MEMPHIS, TN, 
19430, 3000 LAKE RUN CIRCLE, MEMPHIS, TN, 
19431, 3000 MEADOWS, MEMPHIS, TN, 
19432, 3000 NORTH RADFORD, MEMPHIS, TN, 
19433, 3000 PAR THREE, MEMPHIS, TN, 
19434, 3000 SPRANKEL, MEMPHIS, TN, 
19435, 3000 SPRANKLE AVE, MEMPHIS, TN, 
19436, 3000 SPRANKLE, MEMPHIS, TN, 
19437, 3100 ALLISON AVE, MEMPHIS, TN, 
19438, 3100 ARRENDALE ST, MEMPHIS, TN, 
19439, 3100 CAMDEN, MEMPHIS, TN, 
19440, 3100 CHELSEA AVE, MEMPHIS, TN, 
19441, 3100 CLEARBROOK ST, MEMPHIS, TN, 
19442, 3100 EGAN, MEMPHIS, TN, 
19443, 3100 EMERALD ST, MEMPHIS, TN, 
19444, 3100 FLINT DR, MEMPHIS, TN, 
19445, 3100 JAMES RD, MEMPHIS, TN, 
19446, 3100 MEADOWFAIR RD, MEMPHIS, TN, 
19447, 3100 MENDENHALL, MEMPHIS, TN, 
19448, 3100 PEGGY RD, MEMPHIS, TN, 
19449, 3100 PHYLLIS, MEMPHIS, TN, 
19450, 3100 S GLENGARRY, MEMPHIS, TN, 
19451, 3100 ST CROIX PL, MEMPHIS, TN, 
19452, 3100 WADE, MEMPHIS, TN, 
19453, 3200 CHARWELL, MEMPHIS, TN, 
19454, 3200 CLEARBROOK ST, MEMPHIS, TN, 
19455, 3200 CONNAHBROOK, MEMPHIS, TN, 
19456, 3200 DOUGLAS, MEMPHIS, TN, 
19457, 3200 GREENBRANCH DR, MEMPHIS, TN, 
19458, 3200 JOSIBPET, MEMPHIS, TN, 
19459, 3200 KINGSTON ST, MEMPHIS, TN, 
19460, 3200 MADEWELL AVE, MEMPHIS, TN, 
19461, 3200 NEW HORNLAKE, MEMPHIS, TN, 
19462, 3200 RENDEZVOUS, MEMPHIS, TN, 
19463, 3200 RIDGEMONT, MEMPHIS, TN, 
19464, 3200 STANDARD DR, MEMPHIS, TN, 
19465, 3200 TYROL, MEMPHIS, TN, 
19466, 3200 W DANVILLE, MEMPHIS, TN, 
19467, 3200 WALPOLE, MEMPHIS, TN, 
19468, 3200 WRIGHT PL, MEMPHIS, TN, 
19469, 3300 AQUARIUS AVE, MEMPHIS, TN, 
19470, 3300 AQUARIUS, MEMPHIS, TN, 
19471, 3300 ARDMORE ST, MEMPHIS, TN, 
19472, 3300 AUSTINPEAY, MEMPHIS, TN, 
19473, 3300 CANYON RD, MEMPHIS, TN, 
19474, 3300 DARTMOUTH, MEMPHIS, TN, 
19475, 3300 E ROSITA CIR, MEMPHIS, TN, 
19476, 3300 FOXBRIAR DR, MEMPHIS, TN, 
19477, 3300 GATEWOOD, MEMPHIS, TN, 
19478, 3300 GILMORE, MEMPHIS, TN, 
19479, 3300 HICKORY HILL ROAD, MEMPHIS, TN, 
19480, 3300 JAMES, MEMPHIS, TN, 
19481, 3300 JOHNSON CIR N, MEMPHIS, TN, 
19482, 3300 JOSLYN ST, MEMPHIS, TN, 
19483, 3300 KIRKWALL, MEMPHIS, TN, 
