22281, 3800 DEBBY DR, MEMPHIS, TN, 
22282, 3800 DEER FORREST, MEMPHIS, TN, 
22283, 3800 GAMEWELL, MEMPHIS, TN, 
22284, 3800 GREENBUSH DR, MEMPHIS, TN, 
22285, 3800 HAZELWOOD AVE, MEMPHIS, TN, 
22286, 3800 HIGHLAND PARK PLACE, MEMPHIS, TN, 
22287, 3800 HILLRIDGE ST, MEMPHIS, TN, 
22288, 3800 JAMES, MEMPHIS, TN, 
22289, 3800 JULIA, MEMPHIS, TN, 
22290, 3800 KNIGHT, MEMPHIS, TN, 
22291, 3800 LAKEVIEW, MEMPHIS, TN, 
22292, 3800 LEECH, MEMPHIS, TN, 
22293, 3800 MASONWOOD, MEMPHIS, TN, 
22294, 3800 MILLINGTON, MEMPHIS, TN, 
22295, 3800 PERSHING, MEMPHIS, TN, 
22296, 3800 PHILWOOD, MEMPHIS, TN, 
22297, 3800 RHEA AVE, MEMPHIS, TN, 
22298, 3800 RIDGEMONT CV, MEMPHIS, TN, 
22299, 3800 ST ELMO AVE, MEMPHIS, TN, 
22300, 3800 TREZEVANT, MEMPHIS, TN, 
22301, 3800 TULANE, MEMPHIS, TN, 
22302, 3800 WEAVER, MEMPHIS, TN, 
22303, 3800 WINDCREST RD, MEMPHIS, TN, 
22304, 3800 WOLFTRAIL, MEMPHIS, TN, 
22305, 3800 WOODY LN, MEMPHIS, TN, 
22306, 3900 AMERICAN WAY RD, MEMPHIS, TN, 
22307, 3900 AUSTINPEAY, MEMPHIS, TN, 
22308, 3900 BALFOUR, MEMPHIS, TN, 
22309, 3900 BLUE JAY RD, MEMPHIS, TN, 
22310, 3900 BROOKMEADE ST, MEMPHIS, TN, 
22311, 3900 CARNES, MEMPHIS, TN, 
22312, 3900 CORAL DR, MEMPHIS, TN, 
22313, 3900 DEER FOREST DR, MEMPHIS, TN, 
22314, 3900 ELVIS PRESLEY BL, MEMPHIS, TN, 
22315, 3900 EMERSON AVE, MEMPHIS, TN, 
22316, 3900 FAXON AVE, MEMPHIS, TN, 
22317, 3900 KENWOOD, MEMPHIS, TN, 
22318, 3900 MAID MARIAN LN, MEMPHIS, TN, 
22319, 3900 MARSONNE ST, MEMPHIS, TN, 
22320, 3900 MARVIN, MEMPHIS, TN, 
22321, 3900 MICKEY DR, MEMPHIS, TN, 
22322, 3900 PRESCOTT RD, MEMPHIS, TN, 
22323, 3900 S GERMANTOWN RD, MEMPHIS, TN, 
22324, 3900 SYBIL ST, MEMPHIS, TN, 
22325, 3900 VAGABOND, MEMPHIS, TN, 
