4308, 3700 QUEENSLAND, MEMPHIS, TN, 
4309, 3800 ANDREAS, MEMPHIS, TN, 
4310, 3800 KERWIN, MEMPHIS, TN, 
4311, 3800 LADUE, MEMPHIS, TN, 
4312, 4000 DENVER ST, MEMPHIS, TN, 
4313, 4100 E MALLORY, MEMPHIS, TN, 
4314, 4100 FOREST VIEW, MEMPHIS, TN, 
4315, 4100 GIGEM, MEMPHIS, TN, 
4316, 4100 HEMINGWAY, MEMPHIS, TN, 
4317, 4100 KIMBALL, MEMPHIS, TN, 
4318, 4200 DELP, MEMPHIS, TN, 
4319, 4200 EAST WIND DR, MEMPHIS, TN, 
4320, 4200 TRUMAN, MEMPHIS, TN, 
4321, 4400 FALCON, MEMPHIS, TN, 
4322, 4600 MILLSTREAM DR, MEMPHIS, TN, 
4323, 4700 TCHULAHOMA RD, MEMPHIS, TN, 
4324, 4800 BRADFORD, MEMPHIS, TN, 
4325, 4800 HAVENCT, MEMPHIS, TN, 
4326, 4800 LYNNGATE, MEMPHIS, TN, 
4327, 500 BRAYCLIFF, MEMPHIS, TN, 
4328, 5000 BRADY DR, MEMPHIS, TN, 
4329, 5100 APPLEWOOD DR, MEMPHIS, TN, 
4330, 5100 SANDERLIN RD, MEMPHIS, TN, 
4331, 5200 CITATION DR, MEMPHIS, TN, 
4332, 5500 MASON RD, MEMPHIS, TN, 
4333, 5600 PLEASANT VIEW, MEMPHIS, TN, 
4334, 5600 SUMMER AVE, MEMPHIS, TN, 
4335, 600 HARAHAN, MEMPHIS, TN, 
4336, 6100 MT MORIAH RD, MEMPHIS, TN, 
4337, 6200 QUINCE, MEMPHIS, TN, 
4338, 6700 MONTICELLO LN, MEMPHIS, TN, 
4339, 6700 QUINCE, MEMPHIS, TN, 
4340, 700 BALTIC, MEMPHIS, TN, 
4341, 700 CARPENTER, MEMPHIS, TN, 
4342, 700 EDITH, MEMPHIS, TN, 
4343, 7400 WINCHESTER RD, MEMPHIS, TN, 
4344, 800 NEWELL, MEMPHIS, TN, 
4345, 800 S HIGHLAND ST, MEMPHIS, TN, 
4346, 8300 GEORGE BRETT DR, MEMPHIS, TN, 
4347, 900 HAMILTON, MEMPHIS, TN, 
4348, 900 N SANGA, MEMPHIS, TN, 
4349, 900 PARKROSE, MEMPHIS, TN, 
4350, 900 SAXON, MEMPHIS, TN, 
4351, AUSTIN PEAY AND YALE, MEMPHIS, TN, 
4352, I-240 AND PERKINS, MEMPHIS, TN, 
4353, I-240 AND WALNUT GROVE, MEMPHIS, TN, 
4354, MT MORIAH AND HICKORY HILL, MEMPHIS, TN, 
4355, POPLAR AND PERKINS, MEMPHIS, TN, 
4356, SOUTHERN AND HIGHLAND, MEMPHIS, TN, 
4357, 100 N THIRD, MEMPHIS, TN, 
4358, 100 SOUTH FOURTH, MEMPHIS, TN, 
4359, 1100 LATHAM, MEMPHIS, TN, 
4360, 1200 DUNNAVANT, MEMPHIS, TN, 
4361, 1200 ROBIN HOOD LN, MEMPHIS, TN, 
4362, 1300 LOUISVILLE, MEMPHIS, TN, 
4363, 1400 DRR, MEMPHIS, TN, 
4364, 1400 EAST PERSON, MEMPHIS, TN, 
4365, 1400 MCMILLAN, MEMPHIS, TN, 
4366, 1400 S COOPER, MEMPHIS, TN, 
4367, 1700 MILLER, MEMPHIS, TN, 
4368, 1700 PAULLUS, MEMPHIS, TN, 
4369, 1700 PIPING ROCK, MEMPHIS, TN, 
4370, 1800 COVINGTON PIKE, MEMPHIS, TN, 
4371, 1800 VESEY, MEMPHIS, TN, 
4372, 1900 EDMONDSON, MEMPHIS, TN, 
4373, 1900 KANSAS ST, MEMPHIS, TN, 
4374, 2000 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
4375, 2100 DURHAM, MEMPHIS, TN, 
4376, 2100 LENOX CT, MEMPHIS, TN, 
4377, 2200 CARNES, MEMPHIS, TN, 
4378, 2200 LOWELL, MEMPHIS, TN, 
4379, 2300 ELDRIDGE AVE, MEMPHIS, TN, 
4380, 2300 SLOCUM, MEMPHIS, TN, 
4381, 2400 HUNTER AVE, MEMPHIS, TN, 
4382, 2400 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
4383, 2500 NORMAN, MEMPHIS, TN, 
4384, 2700 PRINCE RUPERT, MEMPHIS, TN, 
4385, 2800 MCMURRAY, MEMPHIS, TN, 
4386, 2900 COTTONWAY ST, MEMPHIS, TN, 
4387, 300 S SUSSEX LN, MEMPHIS, TN, 
4388, 3000 WATKINS, MEMPHIS, TN, 
4389, 3300 CARNES AVE, MEMPHIS, TN, 
4390, 3300 COMMERCIAL PKWY, MEMPHIS, TN, 
4391, 3300 MCKELL, MEMPHIS, TN, 
4392, 3400 ALTA, MEMPHIS, TN, 
4393, 3400 AUSTIN PEAY HW, MEMPHIS, TN, 
4394, 3400 PARHAM, MEMPHIS, TN, 
4395, 3500 BRIAR PARK WEST, MEMPHIS, TN, 
4396, 3500 HESTER, MEMPHIS, TN, 
4397, 3500 KINGS ARMS, MEMPHIS, TN, 
4398, 3500 RANGE LINE, MEMPHIS, TN, 
4399, 3500 S THIRD ST, MEMPHIS, TN, 
4400, 3600 PLEASANT HOLLOW, MEMPHIS, TN, 
4401, 3700 DUNN, MEMPHIS, TN, 
4402, 3700 MERRITT, MEMPHIS, TN, 
4403, 3700 NORTH WATKINS, MEMPHIS, TN, 
4404, 3700 RHODES AVE, MEMPHIS, TN, 
4405, 3700 ROBIN PARK CIRCLE, MEMPHIS, TN, 
4406, 3800 CHERRY RD, MEMPHIS, TN, 
4407, 3800 MARION, MEMPHIS, TN, 
4408, 3800 WINCHESTER RD, MEMPHIS, TN, 
4409, 3900 ROSS RD, MEMPHIS, TN, 
4410, 4200 NEW WILLOW, MEMPHIS, TN, 
4411, 4200 WEBBWAY DR, MEMPHIS, TN, 
4412, 4300 BROOKWAY, MEMPHIS, TN, 
4413, 4400 TUTWILER, MEMPHIS, TN, 
4414, 4500 STONE GATE DR, MEMPHIS, TN, 
4415, 4600 ALDRIDGE, MEMPHIS, TN, 
4416, 4600 HUDGINS RD, MEMPHIS, TN, 
4417, 4600 WATER MILL DR, MEMPHIS, TN, 
4418, 4700 AIRWAYS, MEMPHIS, TN, 
4419, 4900 BERTA, MEMPHIS, TN, 
4420, 500 BONITA, MEMPHIS, TN, 
4421, 500 UNION, MEMPHIS, TN, 
4422, 500 W PEEBLES, MEMPHIS, TN, 
4423, 5000 AUTUMN LEAF DR, MEMPHIS, TN, 
4424, 5200 BERTA, MEMPHIS, TN, 
4425, 5200 SCRIVENER, MEMPHIS, TN, 
4426, 5600 HYACINTH CV, MEMPHIS, TN, 
4427, 5700 BEACON PARK DR, MEMPHIS, TN, 
4428, 600 COMPRESS DR, MEMPHIS, TN, 
4429, 600 DELTA RD, MEMPHIS, TN, 
4430, 600 E HOLMES, MEMPHIS, TN, 
4431, 6200 POPLAR PIKE, MEMPHIS, TN, 
4432, 6400 BENT OAK LN, MEMPHIS, TN, 
4433, 700 E TRIGG, MEMPHIS, TN, 
4434, 700 MARIANNA, MEMPHIS, TN, 
4435, 700 TATE AVE, MEMPHIS, TN, 
4436, 700 WALKER AVE, MEMPHIS, TN, 
4437, 700 WALNUT, MEMPHIS, TN, 
4438, 700 WHITNEY, MEMPHIS, TN, 
4439, 7000 REESE RD, MEMPHIS, TN, 
4440, 800 ALICE, MEMPHIS, TN, 
4441, 800 CARPENTER, MEMPHIS, TN, 
4442, 800 E PARKWAY S, MEMPHIS, TN, 
4443, 800 MONTGOMERY, MEMPHIS, TN, 
4444, 800 N WHITE STATION RD, MEMPHIS, TN, 
4445, 800 PENDLETON, MEMPHIS, TN, 
4446, 8400 WINCHESTER, MEMPHIS, TN, 
4447, 900 CARROLTON, MEMPHIS, TN, 
4448, 900 N PKWY, MEMPHIS, TN, 
4449, 900 S THIRD ST, MEMPHIS, TN, 
4450, 900 WHITNEY, MEMPHIS, TN, 
4451, 9200 MORNING WALK, MEMPHIS, TN, 
4452, DUNLAP AND LOONEY, MEMPHIS, TN, 
4453, FOURTH AND GAYOSO, MEMPHIS, TN, 
4454, I-240 AND MILLBRANCH, MEMPHIS, TN, 
4455, WATKINS AND BROWN, MEMPHIS, TN, 
4456, 100 MONROE AVE, MEMPHIS, TN, 
4457, 1000 GARLAND, MEMPHIS, TN, 
4458, 1000 VANCE AVE, MEMPHIS, TN, 
4459, 1100 RANDLE, MEMPHIS, TN, 
4460, 1100 STONEWALL, MEMPHIS, TN, 
4461, 1200 BAMMEL, MEMPHIS, TN, 
4462, 1300 CHELSEA, MEMPHIS, TN, 
4463, 1300 PALLWOOD, MEMPHIS, TN, 
4464, 1400 THOMAS, MEMPHIS, TN, 
4465, 1500 KANSAS ST, MEMPHIS, TN, 
4466, 1500 LAMAR AVE, MEMPHIS, TN, 
4467, 1500 RAYNER ST, MEMPHIS, TN, 
4468, 1500 TAYLOR, MEMPHIS, TN, 
4469, 1700 BROOKINS, MEMPHIS, TN, 
4470, 1700 EAST HOLMES RD, MEMPHIS, TN, 
4471, 1700 MONSARRAT, MEMPHIS, TN, 
4472, 1700 OAKWOOD ST, MEMPHIS, TN, 
4473, 1700 RAYNER, MEMPHIS, TN, 
4474, 1700 WHITNEY, MEMPHIS, TN, 
4475, 1800 BALDWIN, MEMPHIS, TN, 
4476, 1800 WEINER, MEMPHIS, TN, 
4477, 1900 E RAINES RD, MEMPHIS, TN, 
4478, 1900 E RAINES, MEMPHIS, TN, 
4479, 200 N DANNY THOMAS BLVD, MEMPHIS, TN, 
4480, 2000 BURNHAM, MEMPHIS, TN, 
4481, 2000 CHELSEA, MEMPHIS, TN, 
4482, 2200 E ALCY RD, MEMPHIS, TN, 
4483, 2200 E PERSON, MEMPHIS, TN, 
4484, 2200 HILLSIDE, MEMPHIS, TN, 
4485, 2300 E RIVER TRACE DR, MEMPHIS, TN, 
4486, 2300 W RIVER TRACE DR, MEMPHIS, TN, 
4487, 2400 CHELSEA AVE, MEMPHIS, TN, 
4488, 2400 ST ELMO, MEMPHIS, TN, 
4489, 2500 N GERMANTOWN, MEMPHIS, TN, 
4490, 2500 UNION, MEMPHIS, TN, 
4491, 2500 VANDALE, MEMPHIS, TN, 
4492, 2600 DURHAM, MEMPHIS, TN, 
4493, 2600 JOHN EDWARDS, MEMPHIS, TN, 
4494, 2700 BROWNING AVE, MEMPHIS, TN, 
4495, 2700 W BARBARA CIRCLE, MEMPHIS, TN, 
4496, 2800 HICKORY POINT, MEMPHIS, TN, 
4497, 2800 MEADOWLAKE DR, MEMPHIS, TN, 
