155315, I55 AND E RAINES, MEMPHIS, TN, 
155316, I55 AND E SHELBY DR, MEMPHIS, TN, 
155317, I55 AND EAST BROOKS RD, MEMPHIS, TN, 
155318, I55 AND EAST SHELBY DR EXIT, MEMPHIS, TN, 
155319, I55 AND EH CRUMP, MEMPHIS, TN, 
155320, I55 AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
155321, I55 AND EXIT RAMP I240, MEMPHIS, TN, 
155322, I55 AND HOLMES, MEMPHIS, TN, 
155323, I55 AND HORN LAKE, MEMPHIS, TN, 
155324, I55 AND HORNLAKE, MEMPHIS, TN, 
155325, I55 AND MAALLORY, MEMPHIS, TN, 
155326, I55 AND MCLEMORE, MEMPHIS, TN, 
155327, I55 AND METAL MUSEUM DR, MEMPHIS, TN, 
155328, I55 AND METAL MUSEUM, MEMPHIS, TN, 
155329, I55 AND MILBRANCH, MEMPHIS, TN, 
155330, I55 AND MILLBRANCH RD, MEMPHIS, TN, 
155331, I55 AND PRESIDENTS ISLAND, MEMPHIS, TN, 
155332, I55 AND RAINES RD, MEMPHIS, TN, 
155333, I55 AND S PKWY, MEMPHIS, TN, 
155334, I55 AND SHELBY BROOKS, MEMPHIS, TN, 
155335, I55 AND SHELBY DR N AND B, S AND O, MEMPHIS, TN, 
155336, I55 AND SHELBY DRIVE, MEMPHIS, TN, 
155337, I55 AND SOUTH PKWY WEST, MEMPHIS, TN, 
155338, I55 AND STATELINE RD, MEMPHIS, TN, 
155339, I55 AND THIRD AND DOWNTOWN, MEMPHIS, TN, 
155340, I55 AND THIRD ST, MEMPHIS, TN, 
155341, I55 AND TRIGG AVE, MEMPHIS, TN, 
155342, I55 AND WINSCONSIN AVE, MEMPHIS, TN, 
155343, I55 N AND B AND BROOKS, MEMPHIS, TN, 
155344, I55 N AND B MALLORY, MEMPHIS, TN, 
155345, I55 N BETWEEN MALLORY AND THIRD, MEMPHIS, TN, 
155346, I55 N OF SHELBY DR, MEMPHIS, TN, 
155347, I55 NB AND BROOKS RD, MEMPHIS, TN, 
155348, I55 NORTH BOUND AND SHELBY DR, MEMPHIS, TN, 
155349, I55 NORTH OF SHELBY DR, MEMPHIS, TN, 
155350, I55 NORTHBOUND AND MALLORY, MEMPHIS, TN, 
155351, I55 NORTHBOUND AND THIRD ST, MEMPHIS, TN, 
155352, I55 RD AND SPKWY ST, MEMPHIS, TN, 
155353, I55 S AND B AND BROOKS RD, MEMPHIS, TN, 
155354, I55 S AND B AND BROOKS, MEMPHIS, TN, 
155355, I55 S AND B AND SHELBY, MEMPHIS, TN, 
