12426, 400 S GERMANTOWN, MEMPHIS, TN, 
12427, 400 WEST JOHNSON CIRCLE, MEMPHIS, TN, 
12428, 4000 COCHESE RD, MEMPHIS, TN, 
12429, 4000 SILVER LEAF, MEMPHIS, TN, 
12430, 4000 TALL BIRCH CV, MEMPHIS, TN, 
12431, 4000 TESSLAND, MEMPHIS, TN, 
12432, 4100 CLAUDETTE CV, MEMPHIS, TN, 
12433, 4100 FAR VIEW CV, MEMPHIS, TN, 
12434, 4100 NEELY, MEMPHIS, TN, 
12435, 4100 OUTLAND, MEMPHIS, TN, 
12436, 4100 S 3RD, MEMPHIS, TN, 
12437, 4100 SANDBURG, MEMPHIS, TN, 
12438, 4100 TARRY WOOD DR, MEMPHIS, TN, 
12439, 4100 TESSLAND RD, MEMPHIS, TN, 
12440, 4200 AUSTER CV, MEMPHIS, TN, 
12441, 4200 BRIDGERS, MEMPHIS, TN, 
12442, 4200 KNIGHT ARNOLD RD, MEMPHIS, TN, 
12443, 4200 NEW ALLEN, MEMPHIS, TN, 
12444, 4200 NEW WILLOW RD, MEMPHIS, TN, 
12445, 4200 OWEN, MEMPHIS, TN, 
12446, 4200 PALM, MEMPHIS, TN, 
12447, 4200 RIVERDALE, MEMPHIS, TN, 
12448, 4200 SLUMBER, MEMPHIS, TN, 
12449, 4200 ST PIERRE BLVD, MEMPHIS, TN, 
12450, 4300 ARBOR CT, MEMPHIS, TN, 
12451, 4300 CHERRY CENTER DR, MEMPHIS, TN, 
12452, 4300 CHIPPEWA RD, MEMPHIS, TN, 
12453, 4300 DON ST, MEMPHIS, TN, 
12454, 4300 GREY, MEMPHIS, TN, 
12455, 4300 MILLBRANCH RD, MEMPHIS, TN, 
12456, 4300 OXFORD SQUARE DR, MEMPHIS, TN, 
12457, 4300 PRESCOTT, MEMPHIS, TN, 
12458, 4300 S THIRD ST, MEMPHIS, TN, 
12459, 4400 FIREROCK, MEMPHIS, TN, 
12460, 4400 GIVEN, MEMPHIS, TN, 
12461, 4400 GOLDIE, MEMPHIS, TN, 
12462, 4400 SHELBOURNE, MEMPHIS, TN, 
12463, 4500 BROAD CREEK CV, MEMPHIS, TN, 
12464, 4500 ERNIE, MEMPHIS, TN, 
12465, 4500 GRINSTEAD CV, MEMPHIS, TN, 
12466, 4500 HOWARDCREST, MEMPHIS, TN, 
12467, 4500 QUINCE RD, MEMPHIS, TN, 
12468, 4500 S CEDAR GLENN DR, MEMPHIS, TN, 
12469, 4500 VALLEY CV, MEMPHIS, TN, 
12470, 4600 MISTY MOOR, MEMPHIS, TN, 
12471, 4600 QUAIL RIDGE TRAIL, MEMPHIS, TN, 
12472, 4600 QUALITY DR, MEMPHIS, TN, 
12473, 4600 S THIRD, MEMPHIS, TN, 
12474, 4600 SUMMER CREEK NORTH, MEMPHIS, TN, 
12475, 4600 SUNNYSLOPE, MEMPHIS, TN, 
12476, 4600 VILLAGREEN, MEMPHIS, TN, 
12477, 4600 WATERTREE, MEMPHIS, TN, 
12478, 4600 WINDWARD DR, MEMPHIS, TN, 
12479, 4700 HUTTON WAY, MEMPHIS, TN, 
12480, 4700 VIOLET, MEMPHIS, TN, 
12481, 4700 WICKLOW, MEMPHIS, TN, 
12482, 4700 WILLOW, MEMPHIS, TN, 
12483, 4800 CROMWELL, MEMPHIS, TN, 
12484, 4800 W POPLAR AVE, MEMPHIS, TN, 
12485, 4900 ELVIS PRESLEY BL, MEMPHIS, TN, 
12486, 4900 LEONARD RD, MEMPHIS, TN, 
12487, 4900 SPOTTSWOOD, MEMPHIS, TN, 
