5298, 3300 HENRY, MEMPHIS, TN, 
5299, 3300 SPRING VALLEY CV, MEMPHIS, TN, 
5300, 3300 WALNUT GROVE, MEMPHIS, TN, 
5301, 3400 VERNON, MEMPHIS, TN, 
5302, 3500 BLACKBERRY BUSH, MEMPHIS, TN, 
5303, 3500 SCENIC HWY, MEMPHIS, TN, 
5304, 3500 STEVE RD, MEMPHIS, TN, 
5305, 3600 KNIGHT ARNOLD, MEMPHIS, TN, 
5306, 3600 MILLBRANCH RD, MEMPHIS, TN, 
5307, 3600 MILLINGTON, MEMPHIS, TN, 
5308, 3700 AUSTIN PEAY HWY, MEMPHIS, TN, 
5309, 3700 BANKSIDE DR, MEMPHIS, TN, 
5310, 3700 BOEINGSHIRE, MEMPHIS, TN, 
5311, 3700 CARNES, MEMPHIS, TN, 
5312, 3700 DUMAS, MEMPHIS, TN, 
5313, 3700 MOUNTAIN TERRACE, MEMPHIS, TN, 
5314, 3700 TRUDY CV, MEMPHIS, TN, 
5315, 3900 CAMELIA CV, MEMPHIS, TN, 
5316, 3900 HYACINTH, MEMPHIS, TN, 
5317, 3900 JOEST, MEMPHIS, TN, 
5318, 400 BONITA, MEMPHIS, TN, 
5319, 400 E MCLEMORE AVE, MEMPHIS, TN, 
5320, 400 S ORLEANS, MEMPHIS, TN, 
5321, 4000 AJANDERS, MEMPHIS, TN, 
5322, 4000 MCWEENY, MEMPHIS, TN, 
5323, 4000 OVERTON CROSSING, MEMPHIS, TN, 
5324, 4000 POINT CHURCH, MEMPHIS, TN, 
5325, 4000 RHODES, MEMPHIS, TN, 
5326, 4100 HORN LAKE, MEMPHIS, TN, 
5327, 4100 KNIGHT ARNOLD RD, MEMPHIS, TN, 
5328, 4100 S 3RD ST, MEMPHIS, TN, 
5329, 4200 1ST NORTHSIDE DR, MEMPHIS, TN, 
5330, 4200 PIKES PEAK, MEMPHIS, TN, 
5331, 4200 THOMAS, MEMPHIS, TN, 
5332, 4400 FORD RD, MEMPHIS, TN, 
5333, 4400 HORN LAKE RD, MEMPHIS, TN, 
5334, 4400 OLD RALEIGH LAGRANGE, MEMPHIS, TN, 
5335, 4400 POWELL, MEMPHIS, TN, 
5336, 4600 TUTWILER, MEMPHIS, TN, 
5337, 4700 BRINDLEY DR, MEMPHIS, TN, 
5338, 4700 OAK FORREST WAY, MEMPHIS, TN, 
5339, 4700 SUMMER LN, MEMPHIS, TN, 
5340, 4800 HAVENCOURT, MEMPHIS, TN, 
5341, 4800 KNIGHT ARNOLD RD, MEMPHIS, TN, 
5342, 4900 KNIGHT ARNOLD, MEMPHIS, TN, 
5343, 500 BUTLER, MEMPHIS, TN, 
5344, 500 EH CRUMP, MEMPHIS, TN, 
5345, 500 S HIGHLAND ST, MEMPHIS, TN, 
5346, 5000 NEELY RD, MEMPHIS, TN, 
5347, 5700 LOS GATOS DR, MEMPHIS, TN, 
5348, 5800 DEER RIDGE LN, MEMPHIS, TN, 
