23281, 1700 ALCY RD, MEMPHIS, TN, 
23282, 1700 BEAVER TRAIL DR, MEMPHIS, TN, 
23283, 1700 BROOKINS ST, MEMPHIS, TN, 
23284, 1700 CANE MEADOWS, MEMPHIS, TN, 
23285, 1700 CANEMEADOW, MEMPHIS, TN, 
23286, 1700 CARRUTHERS PLACE, MEMPHIS, TN, 
23287, 1700 CINCINNATI, MEMPHIS, TN, 
23288, 1700 COLEBROOK AVE, MEMPHIS, TN, 
23289, 1700 CRANFORD RD, MEMPHIS, TN, 
23290, 1700 E PERSON, MEMPHIS, TN, 
23291, 1700 EAST RAINES RD, MEMPHIS, TN, 
23292, 1700 HUMBER ST, MEMPHIS, TN, 
23293, 1700 LAKE GROVE, MEMPHIS, TN, 
23294, 1700 LINDEN AVE, MEMPHIS, TN, 
23295, 1700 MAPLEWOOD ST, MEMPHIS, TN, 
23296, 1700 MAY ST, MEMPHIS, TN, 
23297, 1700 N TREZEVANT, MEMPHIS, TN, 
23298, 1700 NONCONNAH, MEMPHIS, TN, 
23299, 1700 ONTARIO ST, MEMPHIS, TN, 
23300, 1700 PENDELTON, MEMPHIS, TN, 
23301, 1700 PINECREST DR, MEMPHIS, TN, 
23302, 1700 S PERKINS RD, MEMPHIS, TN, 
23303, 1700 SOUTH LAUDERDALE, MEMPHIS, TN, 
23304, 1700 SOUTH WELLINGTON, MEMPHIS, TN, 
23305, 1700 SOUTHERN AVE, MEMPHIS, TN, 
23306, 1700 VINTON AVE, MEMPHIS, TN, 
23307, 1700 WHEATON, MEMPHIS, TN, 
23308, 1800 2ND GREEN, MEMPHIS, TN, 
23309, 1800 ASH ST, MEMPHIS, TN, 
23310, 1800 BEAVER TRAIL DR, MEMPHIS, TN, 
23311, 1800 BOXTOWN, MEMPHIS, TN, 
23312, 1800 CAPRI RD, MEMPHIS, TN, 
23313, 1800 CRIMSON RD, MEMPHIS, TN, 
23314, 1800 FOX HUNT, MEMPHIS, TN, 
23315, 1800 GAITHER ST, MEMPHIS, TN, 
23316, 1800 GEORGIAN DR, MEMPHIS, TN, 
23317, 1800 GREENVIEW, MEMPHIS, TN, 
23318, 1800 HOLLYWOOD, MEMPHIS, TN, 
23319, 1800 LINDEN AVE, MEMPHIS, TN, 
23320, 1800 MEADOWHILL ST, MEMPHIS, TN, 
23321, 1800 PIPINGROCK, MEMPHIS, TN, 
23322, 1800 SOUTH LAUDERDALE, MEMPHIS, TN, 
23323, 1800 ST ELMO, MEMPHIS, TN, 
23324, 1800 ST HENRY, MEMPHIS, TN, 
23325, 1800 ST HENRYS PLACE, MEMPHIS, TN, 
23326, 1800 ST JOHN PLACE, MEMPHIS, TN, 
23327, 1800 VINTON, MEMPHIS, TN, 
23328, 1800 W LLOYD CIR, MEMPHIS, TN, 
23329, 1800 W SILVER ST, MEMPHIS, TN, 
23330, 1800 WATSON RD, MEMPHIS, TN, 
23331, 1800 WESTMORE ST, MEMPHIS, TN, 
23332, 1900 BARTLETT, MEMPHIS, TN, 
23333, 1900 COWDEN, MEMPHIS, TN, 
23334, 1900 DOWNING ST, MEMPHIS, TN, 
23335, 1900 FINLEY, MEMPHIS, TN, 
23336, 1900 FORREST AVE, MEMPHIS, TN, 
23337, 1900 GLEN AVE, MEMPHIS, TN, 
23338, 1900 NANTUCKET, MEMPHIS, TN, 
23339, 1900 NELLIE, MEMPHIS, TN, 
23340, 1900 PENDELTON, MEMPHIS, TN, 
23341, 1900 S DEXTER CHASE CIR, MEMPHIS, TN, 
23342, 1900 S PKWY E, MEMPHIS, TN, 
23343, 1900 SABLE PLACE, MEMPHIS, TN, 
23344, 1900 SAINT ELMO, MEMPHIS, TN, 
23345, 1900 WARNER DR, MEMPHIS, TN, 
23346, 1900 WILLOWOOD, MEMPHIS, TN, 
23347, 1900 WINSHIP DR, MEMPHIS, TN, 
23348, 1900 WINSHIP, MEMPHIS, TN, 
23349, 200 APPLETON AVE, MEMPHIS, TN, 
23350, 200 BURWOOD DR, MEMPHIS, TN, 
23351, 200 CHARTER AVE, MEMPHIS, TN, 
23352, 200 DILLE, MEMPHIS, TN, 
23353, 200 E CRUMP, MEMPHIS, TN, 
23354, 200 E NORWOOD ST, MEMPHIS, TN, 
23355, 200 EAST BISCAYNE, MEMPHIS, TN, 
23356, 200 EXCHANGE, MEMPHIS, TN, 
23357, 200 FAIRVIEW DR, MEMPHIS, TN, 
23358, 200 FERNWOOD AVE, MEMPHIS, TN, 
23359, 200 FRANK, MEMPHIS, TN, 
23360, 200 GLENARM AVE, MEMPHIS, TN, 
23361, 200 HAYDEN DR, MEMPHIS, TN, 
23362, 200 HEARTLAND, MEMPHIS, TN, 
23363, 200 HOWARD, MEMPHIS, TN, 
23364, 200 JACKSON AVE, MEMPHIS, TN, 
23365, 200 LORRAINE, MEMPHIS, TN, 
