9291, 2400 PERRY, MEMPHIS, TN, 
9292, 2400 POPLAR, MEMPHIS, TN, 
9293, 2400 PRATT, MEMPHIS, TN, 
9294, 2400 SARATOGA AVE, MEMPHIS, TN, 
9295, 2500 DANA, MEMPHIS, TN, 
9296, 2500 SMITH RIDGE, MEMPHIS, TN, 
9297, 2600 CARNES, MEMPHIS, TN, 
9298, 2600 JENWOOD, MEMPHIS, TN, 
9299, 2600 POJEST, MEMPHIS, TN, 
9300, 2600 RENTAL ROAD, MEMPHIS, TN, 
9301, 2600 SUNNY HILL DR, MEMPHIS, TN, 
9302, 2600 UNION, MEMPHIS, TN, 
9303, 2700 AVERY, MEMPHIS, TN, 
9304, 2700 SMITH RIDGE, MEMPHIS, TN, 
9305, 2700 SPARKS, MEMPHIS, TN, 
9306, 2800 BROAD, MEMPHIS, TN, 
9307, 2800 CARNES AVE, MEMPHIS, TN, 
9308, 2800 GREEN TERRACE, MEMPHIS, TN, 
9309, 2800 SELECT AVE, MEMPHIS, TN, 
9310, 2800 SUMMIT ARBOR CIR, MEMPHIS, TN, 
9311, 2900 CORDELL, MEMPHIS, TN, 
9312, 2900 RANGELINE, MEMPHIS, TN, 
9313, 2900 SWAN LAKE, MEMPHIS, TN, 
9314, 2900 TREASURE ISLAND, MEMPHIS, TN, 
9315, 2900 WOLF CREEK PKWY, MEMPHIS, TN, 
9316, 300 CHANNEL THREE DR, MEMPHIS, TN, 
9317, 300 E TRIGG, MEMPHIS, TN, 
9318, 300 FLYNN RD, MEMPHIS, TN, 
9319, 300 LORAINE, MEMPHIS, TN, 
9320, 300 N MCLEAN, MEMPHIS, TN, 
9321, 300 RIVERSIDE, MEMPHIS, TN, 
9322, 300 S WATKINS, MEMPHIS, TN, 
9323, 300 W DISON AVE, MEMPHIS, TN, 
9324, 300 W MITCHELL, MEMPHIS, TN, 
9325, 3000 CROLEY, MEMPHIS, TN, 
9326, 3000 KNIGHTWAY, MEMPHIS, TN, 
9327, 3000 THOMAS ST, MEMPHIS, TN, 
9328, 3000 TUDOR, MEMPHIS, TN, 
9329, 3100 AUDREY CV, MEMPHIS, TN, 
9330, 3100 COLEMAN AVE, MEMPHIS, TN, 
9331, 3100 KINGSGATE, MEMPHIS, TN, 
9332, 3100 LAKEVIEW, MEMPHIS, TN, 
9333, 3100 LENTA CV, MEMPHIS, TN, 
9334, 3100 MENSI, MEMPHIS, TN, 
9335, 3100 NEW FRAYSER BLVD, MEMPHIS, TN, 
9336, 3100 RAINIER, MEMPHIS, TN, 
9337, 3100 RIDGEWAY, MEMPHIS, TN, 
9338, 3200 HARVESTER, MEMPHIS, TN, 
9339, 3200 NATHAN AVE, MEMPHIS, TN, 
9340, 3200 PECAN LAKE CIRCLE, MEMPHIS, TN, 
9341, 3200 SINCLAIR, MEMPHIS, TN, 
9342, 3200 WINCHESTER RD, MEMPHIS, TN, 
9343, 3300 BOONE ST, MEMPHIS, TN, 
9344, 3300 BREVARD, MEMPHIS, TN, 
9345, 3300 CHARLOTTE, MEMPHIS, TN, 
9346, 3300 CRAIG ST, MEMPHIS, TN, 
9347, 3300 CROMWELL, MEMPHIS, TN, 
9348, 3300 CYPRESS LAKE DR, MEMPHIS, TN, 
9349, 3300 DOTHAN ST, MEMPHIS, TN, 
9350, 3300 OLD BROMPTON CIRCLE, MEMPHIS, TN, 
9351, 3300 REDBUD, MEMPHIS, TN, 
9352, 3400 CLEARBROOK, MEMPHIS, TN, 
9353, 3400 MELODYWOOD DR, MEMPHIS, TN, 
9354, 3400 PAT DR, MEMPHIS, TN, 
9355, 3400 RIDGEWAY, MEMPHIS, TN, 
9356, 3400 WINBROOK, MEMPHIS, TN, 
9357, 3500 BROCKCREST CV, MEMPHIS, TN, 
9358, 3500 DAWNRIDGE, MEMPHIS, TN, 
9359, 3500 DEMOCRAT RD, MEMPHIS, TN, 
9360, 3500 FOX MEADOWS, MEMPHIS, TN, 
9361, 3500 HENRY, MEMPHIS, TN, 
9362, 3500 KEYSTONE, MEMPHIS, TN, 
9363, 3500 RANDOLPH, MEMPHIS, TN, 
9364, 3600 KEARNEY, MEMPHIS, TN, 
9365, 3600 MERRYVILLE, MEMPHIS, TN, 
9366, 3600 MILLARD RD, MEMPHIS, TN, 
9367, 3600 SHARPE AVE, MEMPHIS, TN, 
9368, 3600 SHIRLWOOD, MEMPHIS, TN, 
9369, 3600 VERNON AVE, MEMPHIS, TN, 
9370, 3700 ALLENDALE, MEMPHIS, TN, 
9371, 3700 COVENTRY MALL, MEMPHIS, TN, 
9372, 3700 DALEBRANCH, MEMPHIS, TN, 
9373, 3700 FAIROAKS, MEMPHIS, TN, 
9374, 3700 GOWAN, MEMPHIS, TN, 
9375, 3700 KINGS GATE, MEMPHIS, TN, 
9376, 3700 MILLINGTON, MEMPHIS, TN, 
9377, 3700 NEW GETWELL, MEMPHIS, TN, 
9378, 3800 BELLEAU, MEMPHIS, TN, 
9379, 3800 GETWELL CV, MEMPHIS, TN, 
9380, 3800 KALAMATH CV, MEMPHIS, TN, 
9381, 3800 KINGS BENCH DR, MEMPHIS, TN, 
9382, 3800 KINGSBENCH, MEMPHIS, TN, 
9383, 385 AND RIDGEWAY, MEMPHIS, TN, 
9384, 3900 E HOLMES RD, MEMPHIS, TN, 
9385, 3900 HOMEWOOD, MEMPHIS, TN, 
9386, 3900 KERFIELD, MEMPHIS, TN, 
9387, 3900 TUTWILER, MEMPHIS, TN, 
9388, 3900 WINDCREST, MEMPHIS, TN, 
9389, 400 CLARICE, MEMPHIS, TN, 
9390, 400 CLEVELAND, MEMPHIS, TN, 
9391, 400 E BROOKS, MEMPHIS, TN, 
9392, 400 INGLE, MEMPHIS, TN, 
9393, 400 LAUDERDALE, MEMPHIS, TN, 
9394, 400 W BROOKS, MEMPHIS, TN, 
9395, 4000 DEARBORN, MEMPHIS, TN, 
9396, 4000 LEWEIR, MEMPHIS, TN, 
9397, 4000 MICKEY, MEMPHIS, TN, 
9398, 4000 TIMBERWOOD, MEMPHIS, TN, 
9399, 4000 TWIN LAKES, MEMPHIS, TN, 
9400, 4100 GRACELAND, MEMPHIS, TN, 
9401, 4100 MICHAEL, MEMPHIS, TN, 
9402, 4100 N WILLOW WYCK, MEMPHIS, TN, 
9403, 4100 OWEN, MEMPHIS, TN, 
9404, 4100 TESSLAND, MEMPHIS, TN, 
9405, 4100 WALES AVE, MEMPHIS, TN, 
9406, 4100 WALES, MEMPHIS, TN, 
9407, 4200 BERRYWOOD, MEMPHIS, TN, 
9408, 4200 CAMELOT AVE, MEMPHIS, TN, 
9409, 4200 KOZAR, MEMPHIS, TN, 
9410, 4200 OLD BAILEY, MEMPHIS, TN, 
9411, 4200 PRINT, MEMPHIS, TN, 
9412, 4300 KERWIN, MEMPHIS, TN, 
9413, 4300 KINGS GLADE, MEMPHIS, TN, 
9414, 4300 LANSFORD, MEMPHIS, TN, 
9415, 4300 LEROY, MEMPHIS, TN, 
9416, 4300 MOONFALL WAY, MEMPHIS, TN, 
9417, 4300 NAVAHO, MEMPHIS, TN, 
9418, 4300 OLATHE, MEMPHIS, TN, 
9419, 4300 QUEENS DR, MEMPHIS, TN, 
9420, 4400 HODGE, MEMPHIS, TN, 
9421, 4400 PARK FOREST, MEMPHIS, TN, 
9422, 4500 BLUEBELL, MEMPHIS, TN, 
9423, 4500 CEDAR GLENN DR, MEMPHIS, TN, 
9424, 4500 DUNN, MEMPHIS, TN, 
9425, 4500 GARRISON, MEMPHIS, TN, 
9426, 4500 KNIGHT ARNOLD RD, MEMPHIS, TN, 
9427, 4500 RANGE LINE, MEMPHIS, TN, 
9428, 4500 SANDY PARK, MEMPHIS, TN, 
9429, 4500 TUTWILER, MEMPHIS, TN, 
9430, 4600 DELP, MEMPHIS, TN, 
9431, 4600 E DEARING, MEMPHIS, TN, 
9432, 4700 SPANIEL CV, MEMPHIS, TN, 
9433, 4700 WALNUT GROVE, MEMPHIS, TN, 
9434, 4800 BARKSHIRE, MEMPHIS, TN, 
9435, 4800 CHUCK, MEMPHIS, TN, 
9436, 4800 GARDEN GROVE, MEMPHIS, TN, 
9437, 4800 HEDGES, MEMPHIS, TN, 
9438, 4800 SEA ISLE, MEMPHIS, TN, 
9439, 4800 STOCKBRIDGE, MEMPHIS, TN, 
9440, 4900 HALEVILLE, MEMPHIS, TN, 
9441, 500 CHARTER, MEMPHIS, TN, 
9442, 500 E DISON, MEMPHIS, TN, 
9443, 500 FLYNN, MEMPHIS, TN, 
9444, 500 FOOTE PARK PLACE, MEMPHIS, TN, 
9445, 500 JEANNE, MEMPHIS, TN, 
9446, 500 WEST PEEBLES, MEMPHIS, TN, 
9447, 5000 CHILDS DR, MEMPHIS, TN, 
9448, 5000 CHURNAK CV, MEMPHIS, TN, 
9449, 5000 WILLOW RD, MEMPHIS, TN, 
9450, 5000 WINCHESTER, MEMPHIS, TN, 
9451, 5000 WOODDALE AVE, MEMPHIS, TN, 
9452, 5100 ANDOVER, MEMPHIS, TN, 
9453, 5100 MALONE, MEMPHIS, TN, 
9454, 5100 WARRINGTON, MEMPHIS, TN, 
9455, 5200 JONETTA, MEMPHIS, TN, 
9456, 5200 KITTIE LEE LN, MEMPHIS, TN, 
9457, 5300 BANBURY, MEMPHIS, TN, 
9458, 5300 ELMORE, MEMPHIS, TN, 
9459, 5300 PATRICK HENRY, MEMPHIS, TN, 
9460, 5500 MEADOW LAKE DR S, MEMPHIS, TN, 
9461, 5500 PLEASANT VIEW, MEMPHIS, TN, 
9462, 5600 FLOWERING PEACH DR, MEMPHIS, TN, 
9463, 5700 GAYWINDS, MEMPHIS, TN, 
9464, 5900 HICKORY SHADOW LN, MEMPHIS, TN, 
9465, 5900 NEWBERRY AVE, MEMPHIS, TN, 
9466, 5900 PLUM VALLEY DR, MEMPHIS, TN, 
