16392, 3100 JEAN, MEMPHIS, TN, 
16393, 3100 KIRBY DOWNS CV, MEMPHIS, TN, 
16394, 3100 MILL BRANCH, MEMPHIS, TN, 
16395, 3100 NEW FRAYSER, MEMPHIS, TN, 
16396, 3100 NORBROOK, MEMPHIS, TN, 
16397, 3100 SCOTLAND, MEMPHIS, TN, 
16398, 3100 SEMINARY CV, MEMPHIS, TN, 
16399, 3100 SHANNON AVE, MEMPHIS, TN, 
16400, 3200 BAYVIEW, MEMPHIS, TN, 
16401, 3200 BROOKSVALLEY ST, MEMPHIS, TN, 
16402, 3200 CAMELOT CV, MEMPHIS, TN, 
16403, 3200 CHANDLER ST, MEMPHIS, TN, 
16404, 3200 CHOCTAW AVE, MEMPHIS, TN, 
16405, 3200 COLLIER, MEMPHIS, TN, 
16406, 3200 CORNER, MEMPHIS, TN, 
16407, 3200 FLOWERING CHERRY LN, MEMPHIS, TN, 
16408, 3200 JEAN, MEMPHIS, TN, 
16409, 3200 KNIGHT RD, MEMPHIS, TN, 
16410, 3200 LAMPHIER AVE, MEMPHIS, TN, 
16411, 3200 MELBOURNE CV, MEMPHIS, TN, 
16412, 3200 MIMOSA AVE, MEMPHIS, TN, 
16413, 3200 MIMOSA, MEMPHIS, TN, 
16414, 3200 MOUNT OLIVE, MEMPHIS, TN, 
16415, 3200 MT TERRACE, MEMPHIS, TN, 
16416, 3200 N TREZEVANT, MEMPHIS, TN, 
16417, 3200 PERSHING AVE, MEMPHIS, TN, 
16418, 3200 RALEIGH RIDGE CV, MEMPHIS, TN, 
16419, 3300 ASHLAND, MEMPHIS, TN, 
16420, 3300 CHOCTAW AVE, MEMPHIS, TN, 
16421, 3300 HOMEWOOD, MEMPHIS, TN, 
16422, 3300 LANSING DR, MEMPHIS, TN, 
16423, 3300 MCCORKLE, MEMPHIS, TN, 
16424, 3300 MENDENHALL RD, MEMPHIS, TN, 
16425, 3300 NORTH WATKINS, MEMPHIS, TN, 
16426, 3300 SWEET SPRINGS DR, MEMPHIS, TN, 
16427, 3300 WINSLOW, MEMPHIS, TN, 
16428, 3400 ADELINE ST, MEMPHIS, TN, 
16429, 3400 BRADCREST DR, MEMPHIS, TN, 
16430, 3400 ELK POINT DR, MEMPHIS, TN, 
16431, 3400 FOGGY RIDGE CV, MEMPHIS, TN, 
16432, 3400 HARMONY WOODS CT, MEMPHIS, TN, 
16433, 3400 LANSING, MEMPHIS, TN, 
16434, 3400 LESCHALLAS DR, MEMPHIS, TN, 
16435, 3400 MEDFORD CV, MEMPHIS, TN, 
16436, 3400 MORNINGVIEW DR, MEMPHIS, TN, 
16437, 3400 SABOTA CIR, MEMPHIS, TN, 
16438, 3400 TREZVANT, MEMPHIS, TN, 
16439, 3400 WALNUT GROVE, MEMPHIS, TN, 
16440, 3400, MEMPHIS, TN, 
16441, 3500 BEECH GROVE RD, MEMPHIS, TN, 
16442, 3500 CHANCELLOR ST, MEMPHIS, TN, 
16443, 3500 CHRISTINE, MEMPHIS, TN, 
16444, 3500 CLARKE, MEMPHIS, TN, 
16445, 3500 CRAZYHORSE, MEMPHIS, TN, 
16446, 3500 DOBBIN FERRY AVE, MEMPHIS, TN, 
16447, 3500 DOVE CREEK, MEMPHIS, TN, 
16448, 3500 FAIROAKS AVE, MEMPHIS, TN, 
16449, 3500 FOX LEIGH DR, MEMPHIS, TN, 
16450, 3500 GRAVES, MEMPHIS, TN, 
16451, 3500 HALLSHIRE, MEMPHIS, TN, 
16452, 3500 PARKER AVE, MEMPHIS, TN, 
16453, 3500 PINEY WOODS AVE, MEMPHIS, TN, 
16454, 3500 POWERS RD, MEMPHIS, TN, 
16455, 3500 REDCOAT, MEMPHIS, TN, 
16456, 3500 SOUTH THIRD ST, MEMPHIS, TN, 
16457, 3500 STEELE ST, MEMPHIS, TN, 
16458, 3500 UNIVERSITY, MEMPHIS, TN, 
16459, 3500 WINCHESTER PLACE, MEMPHIS, TN, 
16460, 3600 ALLENDALE, MEMPHIS, TN, 
16461, 3600 ASHFORD RD, MEMPHIS, TN, 
16462, 3600 BARWOOD CIRCLE, MEMPHIS, TN, 
16463, 3600 BISHOP GATE, MEMPHIS, TN, 
16464, 3600 CARNEY ST, MEMPHIS, TN, 
16465, 3600 CLARKE, MEMPHIS, TN, 
16466, 3600 E RAINES RD, MEMPHIS, TN, 
16467, 3600 FORREST AVE, MEMPHIS, TN, 
16468, 3600 JOHNWOOD, MEMPHIS, TN, 
16469, 3600 KIMBALL AVE, MEMPHIS, TN, 
16470, 3600 MIDLAND AVE, MEMPHIS, TN, 
16471, 3600 MORNING DEW CT, MEMPHIS, TN, 
16472, 3600 NORRISWOOD AVE, MEMPHIS, TN, 
16473, 3600 OLD GETWELL RD, MEMPHIS, TN, 
16474, 3600 OLD GETWELL, MEMPHIS, TN, 
16475, 3600 PHILWOOD, MEMPHIS, TN, 
16476, 3600 POPPIN JAY, MEMPHIS, TN, 
16477, 3600 RIDGE MEADOW PKWY, MEMPHIS, TN, 
16478, 3600 S THIRD ST, MEMPHIS, TN, 
16479, 3600 VANDERWOOD, MEMPHIS, TN, 
16480, 3600 VENABLE AVE, MEMPHIS, TN, 
16481, 3600 W CHANTREY, MEMPHIS, TN, 
16482, 3600 WINDBRANCH, MEMPHIS, TN, 
16483, 3700 ARSENAL ST, MEMPHIS, TN, 
16484, 3700 DEBBY DR, MEMPHIS, TN, 
16485, 3700 DORADO AVE, MEMPHIS, TN, 
