47445, 1900 PHEASANT ACRE LN E, MEMPHIS, TN, 
47446, 1900 POMONA AVE, MEMPHIS, TN, 
47447, 1900 POPLAR PINE, MEMPHIS, TN, 
47448, 1900 PORTLAND ST, MEMPHIS, TN, 
47449, 1900 PRESTON, MEMPHIS, TN, 
47450, 1900 QUAIL VALLEY, MEMPHIS, TN, 
47451, 1900 RAINBOW, MEMPHIS, TN, 
47452, 1900 RIVERSIDE DR, MEMPHIS, TN, 
47453, 1900 S DEARING, MEMPHIS, TN, 
47454, 1900 S SUTTON, MEMPHIS, TN, 
47455, 1900 S THIRD RD, MEMPHIS, TN, 
47456, 1900 S TREZEVANT, MEMPHIS, TN, 
47457, 1900 SHAWNEE CR, MEMPHIS, TN, 
47458, 1900 SO ORLEANS, MEMPHIS, TN, 
47459, 1900 SOUTH BARKSDALE, MEMPHIS, TN, 
47460, 1900 SOUTH DEXTER CHASE CR, MEMPHIS, TN, 
47461, 1900 SOUTH PRESCOTT, MEMPHIS, TN, 
47462, 1900 SOUTH WELLINGTON, MEMPHIS, TN, 
47463, 1900 ST ELMO ST, MEMPHIS, TN, 
47464, 1900 STHIRD ST, MEMPHIS, TN, 
47465, 1900 THOMAS ROAD, MEMPHIS, TN, 
47466, 1900 TITUS ST, MEMPHIS, TN, 
47467, 1900 TOWNSEND AVE, MEMPHIS, TN, 
47468, 1900 TOWNSEND DR, MEMPHIS, TN, 
47469, 1900 UNION AVENUE, MEMPHIS, TN, 
47470, 1900 VICTORIA #3, MEMPHIS, TN, 
47471, 1900 VICTORIA #4, MEMPHIS, TN, 
47472, 1900 WALL, MEMPHIS, TN, 
47473, 1900 WEST FLETCHER RUN CIR, MEMPHIS, TN, 
47474, 1900 WEST HOLMES RD, MEMPHIS, TN, 
47475, 1900 WEST WOLFCHASE CIR, MEMPHIS, TN, 
47476, 1900 WHITMAN RD, MEMPHIS, TN, 
