15336, 1400 MCNEIL, MEMPHIS, TN, 
15337, 1400 NORTH PKWY, MEMPHIS, TN, 
15338, 1400 PILLOW, MEMPHIS, TN, 
15339, 1400 PRIMACY PKWY, MEMPHIS, TN, 
15340, 1400 ROZELLE, MEMPHIS, TN, 
15341, 1400 S BELLEVUE ST, MEMPHIS, TN, 
15342, 1400 SALEM ST, MEMPHIS, TN, 
15343, 1400 TUMBERLAND, MEMPHIS, TN, 
15344, 1400 VANCE AVE, MEMPHIS, TN, 
15345, 1400 VICTOR, MEMPHIS, TN, 
15346, 1400 WOODWARD ST, MEMPHIS, TN, 
15347, 1500 ASTE ST, MEMPHIS, TN, 
15348, 1500 BARTON, MEMPHIS, TN, 
15349, 1500 CARLTON, MEMPHIS, TN, 
15350, 1500 CAROL, MEMPHIS, TN, 
15351, 1500 CARR AVE, MEMPHIS, TN, 
15352, 1500 COLLEGE ST, MEMPHIS, TN, 
15353, 1500 DORIS AVE, MEMPHIS, TN, 
15354, 1500 E RAINES, MEMPHIS, TN, 
15355, 1500 GAITHER ST, MEMPHIS, TN, 
15356, 1500 GHERALD, MEMPHIS, TN, 
15357, 1500 HAVERWOOD, MEMPHIS, TN, 
15358, 1500 HUGENOT, MEMPHIS, TN, 
15359, 1500 LEHR, MEMPHIS, TN, 
15360, 1500 LESLIE CV, MEMPHIS, TN, 
15361, 1500 MONTGOMERY, MEMPHIS, TN, 
15362, 1500 N HOLLYWOOD BLVD, MEMPHIS, TN, 
15363, 1500 OLD HICKORY RD, MEMPHIS, TN, 
15364, 1500 PRESTON ST, MEMPHIS, TN, 
15365, 1500 SOUTH PKWY, MEMPHIS, TN, 
15366, 1500 WEYMOUTH ST, MEMPHIS, TN, 
15367, 1500 WILLIS, MEMPHIS, TN, 
15368, 1500 WOODBINE, MEMPHIS, TN, 
15369, 1600 BROOKINS ST, MEMPHIS, TN, 
15370, 1600 DAVID ST, MEMPHIS, TN, 
15371, 1600 DEARING, MEMPHIS, TN, 
15372, 1600 DIMWOOD, MEMPHIS, TN, 
15373, 1600 DOTTIE, MEMPHIS, TN, 
15374, 1600 FORREST AVE, MEMPHIS, TN, 
15375, 1600 GAUSCO, MEMPHIS, TN, 
15376, 1600 HARMEN, MEMPHIS, TN, 
15377, 1600 HAYWOOD AVE, MEMPHIS, TN, 
15378, 1600 MAXINE, MEMPHIS, TN, 
15379, 1600 MONTGOMERY, MEMPHIS, TN, 
15380, 1600 N GRAHAM, MEMPHIS, TN, 
15381, 1600 PINECREST, MEMPHIS, TN, 
15382, 1600 ROBIN HOOD, MEMPHIS, TN, 
15383, 1600 ROZELLE, MEMPHIS, TN, 
15384, 1600 RUSSWOOD RD, MEMPHIS, TN, 
15385, 1600 S MONTGOMERY, MEMPHIS, TN, 
15386, 1600 SHADOWLAWN BLVD, MEMPHIS, TN, 
15387, 1600 SOUTH PKWY EAST, MEMPHIS, TN, 
15388, 1600 VINTON, MEMPHIS, TN, 
15389, 1600 WABASH, MEMPHIS, TN, 
15390, 1600 WALKER, MEMPHIS, TN, 
15391, 1600 WANDA ST, MEMPHIS, TN, 
15392, 1600 WHITE STATION, MEMPHIS, TN, 
15393, 1600 WILBEC, MEMPHIS, TN, 
15394, 1700 CHELSEA AVE, MEMPHIS, TN, 
15395, 1700 CLEMENTINE, MEMPHIS, TN, 
15396, 1700 HARBERT, MEMPHIS, TN, 
15397, 1700 HARVILLE ST, MEMPHIS, TN, 
15398, 1700 IVY, MEMPHIS, TN, 
15399, 1700 LEHR, MEMPHIS, TN, 
15400, 1700 LEIGH, MEMPHIS, TN, 
15401, 1700 MCLEMORE, MEMPHIS, TN, 
15402, 1700 ROCKDALE, MEMPHIS, TN, 
15403, 1700 S LAUDERDALE ST, MEMPHIS, TN, 
15404, 1700 SOUTH THIRD, MEMPHIS, TN, 
15405, 1700 VIA ROMA, MEMPHIS, TN, 
15406, 1700 WHITNEY AVE, MEMPHIS, TN, 
15407, 1800 BORDEN, MEMPHIS, TN, 
15408, 1800 EVELYN AVE, MEMPHIS, TN, 
15409, 1800 FARRINGTON ST, MEMPHIS, TN, 
15410, 1800 MILLBRANCH, MEMPHIS, TN, 
15411, 1800 MILLGATE, MEMPHIS, TN, 
15412, 1800 OVERTON PARK, MEMPHIS, TN, 
15413, 1800 S PKWY, MEMPHIS, TN, 
15414, 1800 STATE ST, MEMPHIS, TN, 
15415, 1800 THOMAS RD, MEMPHIS, TN, 
15416, 1800 WINCHESTER AVE, MEMPHIS, TN, 
15417, 1800 WINFIELD, MEMPHIS, TN, 
15418, 1900 BALL RD, MEMPHIS, TN, 
15419, 1900 BRENT CV, MEMPHIS, TN, 
15420, 1900 BRENTWOOD PLACE, MEMPHIS, TN, 
15421, 1900 EL DORADO, MEMPHIS, TN, 
15422, 1900 HARBOR, MEMPHIS, TN, 
15423, 1900 HUBERT, MEMPHIS, TN, 
15424, 1900 JANIS DR, MEMPHIS, TN, 
15425, 1900 PARNASSUS ST, MEMPHIS, TN, 
15426, 1900 QUAIL PATH CV, MEMPHIS, TN, 
15427, 1900 RAINES, MEMPHIS, TN, 
15428, 1900 S 3RD ST, MEMPHIS, TN, 
15429, 1900 SABLE PL, MEMPHIS, TN, 
15430, 1900 VANDERHORN DR, MEMPHIS, TN, 
15431, 1900 WELLINGTON, MEMPHIS, TN, 
15432, 1900 YOUNG AVE, MEMPHIS, TN, 
15433, 200 A W WILLIS, MEMPHIS, TN, 
15434, 200 CALDWELL AVE, MEMPHIS, TN, 
15435, 200 CRUMP, MEMPHIS, TN, 
15436, 200 DOVER, MEMPHIS, TN, 
15437, 200 E BODLEY, MEMPHIS, TN, 
15438, 200 E REDOAK, MEMPHIS, TN, 
15439, 200 EAST DAVANT, MEMPHIS, TN, 
15440, 200 GOODLOE AVE, MEMPHIS, TN, 
15441, 200 N EVERGREEN ST, MEMPHIS, TN, 
15442, 200 N SECOND, MEMPHIS, TN, 
15443, 200 NORTH MCLEAN, MEMPHIS, TN, 
15444, 200 PICKETT, MEMPHIS, TN, 
15445, 200 S GREER ST, MEMPHIS, TN, 
15446, 200 SCARBOROUGH, MEMPHIS, TN, 
15447, 200 WALNUT LN, MEMPHIS, TN, 
15448, 2000 COVENTRY DR, MEMPHIS, TN, 
15449, 2000 CT AVE, MEMPHIS, TN, 
15450, 2000 E PERSON AVE, MEMPHIS, TN, 
15451, 2000 JEFFERSON AVE, MEMPHIS, TN, 
15452, 2000 LATHAM, MEMPHIS, TN, 
15453, 2000 MANILLA, MEMPHIS, TN, 
15454, 2000 VOLLINTINE, MEMPHIS, TN, 
15455, 2100 BLAKEWOOD PL, MEMPHIS, TN, 
15456, 2100 BOYLE AVE, MEMPHIS, TN, 
15457, 2100 CHADWICK GLEN, MEMPHIS, TN, 
15458, 2100 CTLAND, MEMPHIS, TN, 
15459, 2100 DRIFTWOOD AVE, MEMPHIS, TN, 
15460, 2100 HARBERT AVE, MEMPHIS, TN, 
15461, 2100 KIRBY PKWY, MEMPHIS, TN, 
15462, 2100 RILE ST, MEMPHIS, TN, 
15463, 2100 S PKWY E, MEMPHIS, TN, 
15464, 2100 WESTCHESTER, MEMPHIS, TN, 
15465, 2200 CLAYTON AVE, MEMPHIS, TN, 
15466, 2200 ELDRIDGE AVE, MEMPHIS, TN, 
15467, 2200 ERIE AVE, MEMPHIS, TN, 
15468, 2200 GOLDBRIER LN, MEMPHIS, TN, 
15469, 2200 LONG, MEMPHIS, TN, 
15470, 2200 RAINES, MEMPHIS, TN, 
15471, 2200 WORCHESTER, MEMPHIS, TN, 
15472, 2300 CELESTE DR, MEMPHIS, TN, 
15473, 2300 DELRAY, MEMPHIS, TN, 
15474, 2300 HOMETOWN DR, MEMPHIS, TN, 
15475, 2300 HOMETOWN, MEMPHIS, TN, 
15476, 2300 MADISON AVE, MEMPHIS, TN, 
15477, 2300 MONROE, MEMPHIS, TN, 
15478, 2300 MORNING VISTA, MEMPHIS, TN, 
15479, 2300 WINCHESTER RD, MEMPHIS, TN, 
15480, 2400 CEYLON, MEMPHIS, TN, 
15481, 2400 DUNN, MEMPHIS, TN, 
15482, 2400 LISA, MEMPHIS, TN, 
15483, 2400 MALONE AVE, MEMPHIS, TN, 
15484, 2400 OAK SPRINGS, MEMPHIS, TN, 
15485, 2400 PALM CV, MEMPHIS, TN, 
15486, 2400 VANDALE AVE, MEMPHIS, TN, 
15487, 2400 WILLOW WOOD, MEMPHIS, TN, 
15488, 2500 BLAKEMORE, MEMPHIS, TN, 
15489, 2500 BROWNING CIR, MEMPHIS, TN, 
15490, 2500 HUNTER AVE, MEMPHIS, TN, 
