11387, 3800 PARAKEET, MEMPHIS, TN, 
11388, 3800 RANGELINE, MEMPHIS, TN, 
11389, 3900 AUTUMN RIDGE CT, MEMPHIS, TN, 
11390, 3900 CARAVEL, MEMPHIS, TN, 
11391, 3900 DANTE, MEMPHIS, TN, 
11392, 3900 GLENCOE DR, MEMPHIS, TN, 
11393, 3900 KEARNEY, MEMPHIS, TN, 
11394, 3900 KIRBY PKWY, MEMPHIS, TN, 
11395, 3900 MENDENHALL RD, MEMPHIS, TN, 
11396, 3900 OAKSHIRE, MEMPHIS, TN, 
11397, 3900 OLD GETWELL, MEMPHIS, TN, 
11398, 3900 VERNON AVE, MEMPHIS, TN, 
11399, 3900 WALNUT CREEK CV, MEMPHIS, TN, 
11400, 400 ASHLAND, MEMPHIS, TN, 
11401, 400 CLOWER, MEMPHIS, TN, 
11402, 400 GARLAND, MEMPHIS, TN, 
11403, 400 MALVERN, MEMPHIS, TN, 
11404, 400 N AVALON, MEMPHIS, TN, 
11405, 400 S WALDRAN, MEMPHIS, TN, 
11406, 400 W FAY, MEMPHIS, TN, 
11407, 400 W WALDORF, MEMPHIS, TN, 
11408, 400 WASHBURN DR, MEMPHIS, TN, 
11409, 4000 CALLAHAN DR, MEMPHIS, TN, 
11410, 4000 ELVIS PRESLEY BL, MEMPHIS, TN, 
11411, 4000 FERDIE CV, MEMPHIS, TN, 
11412, 4000 JAMES RD, MEMPHIS, TN, 
11413, 4000 LEECH, MEMPHIS, TN, 
11414, 4000 WATKINS, MEMPHIS, TN, 
11415, 4100 AIR PARK, MEMPHIS, TN, 
11416, 4100 BASKEL, MEMPHIS, TN, 
11417, 4100 COCHESE RD, MEMPHIS, TN, 
11418, 4100 DENVER CV, MEMPHIS, TN, 
11419, 4100 FRANSOL CV, MEMPHIS, TN, 
11420, 4100 ORLEANS, MEMPHIS, TN, 
11421, 4100 SAINT PIERRE BLVD, MEMPHIS, TN, 
11422, 4100 SOUTH THIRD ST, MEMPHIS, TN, 
11423, 4100 TWILIGHT, MEMPHIS, TN, 
11424, 4200 ANN ARBOR CT, MEMPHIS, TN, 
11425, 4200 CLAUDETTE CV, MEMPHIS, TN, 
11426, 4200 COVENTRY, MEMPHIS, TN, 
11427, 4200 DEERLAND, MEMPHIS, TN, 
11428, 4200 HILLGATE, MEMPHIS, TN, 
11429, 4200 MILL BRANCH RD, MEMPHIS, TN, 
11430, 4200 N AMANDA CIR, MEMPHIS, TN, 
11431, 4200 REED AVE, MEMPHIS, TN, 
11432, 4200 ROBERT EVERETT CV, MEMPHIS, TN, 
11433, 4200 ROSEWIND CIR, MEMPHIS, TN, 
11434, 4200 TIME, MEMPHIS, TN, 
11435, 4200 WINDINGBROOK, MEMPHIS, TN, 
11436, 4300 ANN ARBOR LN, MEMPHIS, TN, 
11437, 4300 ARROW RD, MEMPHIS, TN, 
11438, 4300 BOYCE AVE, MEMPHIS, TN, 
11439, 4300 NEELY, MEMPHIS, TN, 
11440, 4300 PARK FOREST DR, MEMPHIS, TN, 
11441, 4300 PARK FORREST, MEMPHIS, TN, 
11442, 4300 RED LEAF CV, MEMPHIS, TN, 
11443, 4300 TUTWILER, MEMPHIS, TN, 
11444, 4400 DAYTONA, MEMPHIS, TN, 
11445, 4400 HAZEL CV, MEMPHIS, TN, 
11446, 4400 MERLCREST CV, MEMPHIS, TN, 
11447, 4400 MOUNTAIN TERRACE, MEMPHIS, TN, 
11448, 4400 POPLAR, MEMPHIS, TN, 
11449, 4400 RIDGE VALLEY TRAIL, MEMPHIS, TN, 
11450, 4500 HODGE, MEMPHIS, TN, 
11451, 4500 KAMALI CT, MEMPHIS, TN, 
11452, 4500 ROSE HEATHER, MEMPHIS, TN, 
11453, 4600 BOGART, MEMPHIS, TN, 
11454, 4600 MISTY MOOR LN, MEMPHIS, TN, 
11455, 4600 SANDY PARK DR, MEMPHIS, TN, 
11456, 4700 AIRWAYS BLVD, MEMPHIS, TN, 
11457, 4700 ANDREW CROSSING, MEMPHIS, TN, 
11458, 4700 BOWEN, MEMPHIS, TN, 
11459, 4700 DAMASCUS, MEMPHIS, TN, 
11460, 4700 HORNLAKE, MEMPHIS, TN, 
11461, 4700 LEATHERWOOD, MEMPHIS, TN, 
11462, 4700 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
11463, 4700 ROYAL RIDGE DR, MEMPHIS, TN, 
11464, 4700 STAGE, MEMPHIS, TN, 
11465, 4700 WATER MILL DR, MEMPHIS, TN, 
11466, 4800 BLUFF WOOD CV, MEMPHIS, TN, 
11467, 4800 CHUMBLER, MEMPHIS, TN, 
11468, 4800 DANDELION CT, MEMPHIS, TN, 
11469, 4800 GILBERT, MEMPHIS, TN, 
11470, 4800 HICKORY HILL, MEMPHIS, TN, 
11471, 4800 MALLARD RIDGE, MEMPHIS, TN, 
11472, 4800 OWEN RD, MEMPHIS, TN, 
11473, 4900 APPLESTONE ST, MEMPHIS, TN, 
11474, 4900 CROMWELL RD, MEMPHIS, TN, 
11475, 4900 FARRIS CR, MEMPHIS, TN, 
11476, 4900 MANSON RD, MEMPHIS, TN, 
11477, 4900 PARK AVE, MEMPHIS, TN, 
11478, 500 FOOTE PARK, MEMPHIS, TN, 
11479, 500 VANCE PARK PL, MEMPHIS, TN, 
11480, 5000 CITATION DR, MEMPHIS, TN, 
11481, 5000 LEONARD, MEMPHIS, TN, 
11482, 5100 BOEINGSHIRE, MEMPHIS, TN, 
11483, 5100 FAIRBROOK, MEMPHIS, TN, 
11484, 5100 FLANDERS, MEMPHIS, TN, 
11485, 5100 GULL, MEMPHIS, TN, 
11486, 5100 LONGBRANCH, MEMPHIS, TN, 
11487, 5100 NEWTON RD, MEMPHIS, TN, 
