3417, 3600 POWELL, MEMPHIS, TN, 
3418, 3600 SUZANNE, MEMPHIS, TN, 
3419, 3700 BAYLISS, MEMPHIS, TN, 
3420, 3700 MIDLAND, MEMPHIS, TN, 
3421, 3700 ORCHI, MEMPHIS, TN, 
3422, 3800 MENDENHALL, MEMPHIS, TN, 
3423, 3800 ST ELMO, MEMPHIS, TN, 
3424, 400 CHATHAM LN, MEMPHIS, TN, 
3425, 400 S BELLEVUE BLVD, MEMPHIS, TN, 
3426, 400 W MITCHELL, MEMPHIS, TN, 
3427, 4100 NAVAHO, MEMPHIS, TN, 
3428, 4200 ARGONNE, MEMPHIS, TN, 
3429, 4200 HOBSON, MEMPHIS, TN, 
3430, 4200 YELLOWBIRCH, MEMPHIS, TN, 
3431, 4500 OLD QUARRY, MEMPHIS, TN, 
3432, 4600 AIRWAYS, MEMPHIS, TN, 
3433, 500 HAYNES, MEMPHIS, TN, 
3434, 500 S MAIN, MEMPHIS, TN, 
3435, 5200 SHELBY DR, MEMPHIS, TN, 
3436, 600 HIGHLAND, MEMPHIS, TN, 
3437, 600 JEFFERSON, MEMPHIS, TN, 
3438, 6100 HICKORY MEADOW LN, MEMPHIS, TN, 
3439, 6400 THISTLEDOWN CV, MEMPHIS, TN, 
3440, 6500 QUINCE, MEMPHIS, TN, 
3441, 6600 GALLAN DR, MEMPHIS, TN, 
3442, 700 PATTERSON, MEMPHIS, TN, 
3443, 700 PEYTON CIRCLE, MEMPHIS, TN, 
3444, 700 S BELLEVUE, MEMPHIS, TN, 
3445, 700 SOUTHERN OAKS PLACE, MEMPHIS, TN, 
3446, 700 THOMAS, MEMPHIS, TN, 
3447, 7900 AUTUMN HOLLOW DR, MEMPHIS, TN, 
3448, 800 POPE ST, MEMPHIS, TN, 
3449, BEALE AND SECOND, MEMPHIS, TN, 
3450, CHELSEA AND BREEDLOVE, MEMPHIS, TN, 
3451, GETWELL AND KNIGHT ARNOLD, MEMPHIS, TN, 
3452, JACKSON AND HOLLYWOOD, MEMPHIS, TN, 
3453, SUMMER AND GRAHAM, MEMPHIS, TN, 
3454, SUMMER AND HIGHLAND, MEMPHIS, TN, 
3455, 100 S COOPER, MEMPHIS, TN, 
3456, 100 UNION AVE, MEMPHIS, TN, 
3457, 100 W FAY, MEMPHIS, TN, 
3458, 1000 JOEL, MEMPHIS, TN, 
3459, 1100 FORREST, MEMPHIS, TN, 
3460, 1100 MCEVERS, MEMPHIS, TN, 
3461, 1100 MOREHEAD, MEMPHIS, TN, 
3462, 1100 WRENWOOD, MEMPHIS, TN, 
3463, 1300 WELLS STATION, MEMPHIS, TN, 
3464, 1400 GLEASON, MEMPHIS, TN, 
3465, 1400 QUAILBROOK DR, MEMPHIS, TN, 
3466, 1500 PATTERSON, MEMPHIS, TN, 
3467, 1500 POPLAR AVE, MEMPHIS, TN, 
3468, 1600 E MCLEMORE, MEMPHIS, TN, 
