51326, 5000 BRADFORD, MEMPHIS, TN, 
51327, 5000 CEDARVIEW RD, MEMPHIS, TN, 
51328, 5000 CHICKASAW RD, MEMPHIS, TN, 
51329, 5000 CHUMBLER DR, MEMPHIS, TN, 
51330, 5000 COPPER VALLEY DR EAST, MEMPHIS, TN, 
51331, 5000 COPPERVALLEY CV, MEMPHIS, TN, 
51332, 5000 COTTONWOOD ST, MEMPHIS, TN, 
51333, 5000 CRAIGMONT RD, MEMPHIS, TN, 
51334, 5000 EAST RAINES, MEMPHIS, TN, 
51335, 5000 ESSEXSHIRE RD, MEMPHIS, TN, 
51336, 5000 FAIRFIELD CIR, MEMPHIS, TN, 
51337, 5000 FAIRLEY DR, MEMPHIS, TN, 
51338, 5000 FERNBROOK RD, MEMPHIS, TN, 
51339, 5000 FOX HALL DR, MEMPHIS, TN, 
51340, 5000 HIDDEN LAKE BLD 8, MEMPHIS, TN, 
51341, 5000 HIDDENWOODS CV, MEMPHIS, TN, 
51342, 5000 HORNSBY, MEMPHIS, TN, 
51343, 5000 JONETTA RD, MEMPHIS, TN, 
51344, 5000 JUDY LYNN RD, MEMPHIS, TN, 
51345, 5000 KINNARD, MEMPHIS, TN, 
51346, 5000 LAKE DR, MEMPHIS, TN, 
51347, 5000 LAMAR AVE., MEMPHIS, TN, 
51348, 5000 LARKWOOD RD, MEMPHIS, TN, 
51349, 5000 LOCHLOMOND, MEMPHIS, TN, 
51350, 5000 LOCKINVAR, MEMPHIS, TN, 
51351, 5000 LYNBAR AVE, MEMPHIS, TN, 
51352, 5000 MALONE, MEMPHIS, TN, 
51353, 5000 MCKELLAR, MEMPHIS, TN, 
51354, 5000 NEWHAVEN, MEMPHIS, TN, 
51355, 5000 NEWTON ST, MEMPHIS, TN, 
51356, 5000 OUTLAND, MEMPHIS, TN, 
51357, 5000 PLEASANT RUN, MEMPHIS, TN, 
51358, 5000 RALEIGH MILLINGTON RD, MEMPHIS, TN, 
51359, 5000 RIDGE TREE, MEMPHIS, TN, 
51360, 5000 RIDGESTONE, MEMPHIS, TN, 
51361, 5000 S 3RD ST, MEMPHIS, TN, 
51362, 5000 SCENIC WOOD CV, MEMPHIS, TN, 
