72320, DECEMBER AND LEVI, MEMPHIS, TN, 
72321, DEE AND FAIR MEADOW, MEMPHIS, TN, 
72322, DEE AND PERKINS RD, MEMPHIS, TN, 
72323, DEE AND WHEATON, MEMPHIS, TN, 
72324, DEE AND WHITE STATION, MEMPHIS, TN, 
72325, DEERFIELD DR AND DEER CREST, MEMPHIS, TN, 
72326, DEERLAND AND RAINES, MEMPHIS, TN, 
72327, DEERLAND ST AND WESTERN PARK DR, MEMPHIS, TN, 
72328, DEERSKIN AND BUFFALO, MEMPHIS, TN, 
72329, DEERWOOD AND TYNE, MEMPHIS, TN, 
72330, DELA AND FORD, MEMPHIS, TN, 
72331, DELLS AND ARDMORE, MEMPHIS, TN, 
72332, DELLWOOD AND RAINEY, MEMPHIS, TN, 
72333, DELLWOOD AVE AND MADEWELL DR, MEMPHIS, TN, 
72334, DELLWOOD AVE AND WHITNEY AVE, MEMPHIS, TN, 
72335, DELMAR AND RED SOX LN, MEMPHIS, TN, 
72336, DELMAR AND REDSOCK, MEMPHIS, TN, 
72337, DELOACH AND CENTRAL, MEMPHIS, TN, 
72338, DELP AND PILOT, MEMPHIS, TN, 
72339, DELP AND SHELBY DR, MEMPHIS, TN, 
72340, DELTA AND CHARTER, MEMPHIS, TN, 
72341, DELTA AND HORN LAKE RD, MEMPHIS, TN, 
72342, DELTA AND MASON, MEMPHIS, TN, 
72343, DELTA RD AND FORD RD, MEMPHIS, TN, 
72344, DEMOCRAT AND LAMB PLACE, MEMPHIS, TN, 
72345, DEMOCRAT AND PORTIA, MEMPHIS, TN, 
72346, DEMOCRAT AND RENTAL RD, MEMPHIS, TN, 
72347, DEMOCRAT AND REPUBLICAN, MEMPHIS, TN, 
72348, DEMOCRAT RD AND SPRANKLE, MEMPHIS, TN, 
72349, DEMOCRAT RD AND TCHULAHOMA RD, MEMPHIS, TN, 
72350, DEMOCRAT, MEMPHIS, TN, 
72351, DEMPSTER AND MAIN, MEMPHIS, TN, 
72352, DEMPSTER AND PRATT, MEMPHIS, TN, 
72353, DENSON AND WINBRANCH, MEMPHIS, TN, 
72354, DENVER AND CORNING, MEMPHIS, TN, 
72355, DENVER AND FRAYSER BLVD, MEMPHIS, TN, 
72356, DENVER AND GAYLE, MEMPHIS, TN, 
72357, DENVER AND JAN, MEMPHIS, TN, 
72358, DENVER AND TOWNSEND, MEMPHIS, TN, 
72359, DERBYSHIRE AND GLENALP, MEMPHIS, TN, 
72360, DERBYSHIRE AND HOFBURG, MEMPHIS, TN, 
72361, DERRON AND DARROW, MEMPHIS, TN, 
72362, DERRON AND ESTES, MEMPHIS, TN, 
72363, DESOTO AND HARRISON, MEMPHIS, TN, 
72364, DESOTO AND KANSAS, MEMPHIS, TN, 
72365, DESOTO DR AND PATTERSON, MEMPHIS, TN, 
72366, DEVON AND COMMONWEALTH, MEMPHIS, TN, 
72367, DEVOY AND DAWES, MEMPHIS, TN, 
72368, DEVOY AND N HOLLYWOOD, MEMPHIS, TN, 
72369, DEVOY AVE, MEMPHIS, TN, 
72370, DEXTER AND CHICKERING, MEMPHIS, TN, 
72371, DEXTER AND DEXTER LN, MEMPHIS, TN, 
72372, DEXTER AND GERMANTOWNN, MEMPHIS, TN, 
72373, DEXTER AND HUNTERS REST, MEMPHIS, TN, 
72374, DEXTER AND MEADOW GREEN, MEMPHIS, TN, 
72375, DEXTER AND TREZEVANT, MEMPHIS, TN, 
72376, DEXTER RD AND CHIMNEY ROCK DR, MEMPHIS, TN, 
72377, DEXTER RD AND GERMANTOWN PKWY, MEMPHIS, TN, 
72378, DIANA AND MONROE, MEMPHIS, TN, 
72379, DIANE AND JAMIE, MEMPHIS, TN, 
72380, DICKERSON AND VOLLINTINE, MEMPHIS, TN, 
72381, DICKMAN AND SEMMES, MEMPHIS, TN, 
72382, DILLWORTH AND GIVEN, MEMPHIS, TN, 
72383, DILLWORTH AND GUERNSEY, MEMPHIS, TN, 
72384, DISON AND BISMARK, MEMPHIS, TN, 
72385, DISTRIPLEX DR N AND GETWELL RD, MEMPHIS, TN, 
72386, DIXIE AND ALTA, MEMPHIS, TN, 
72387, DIXIE AND ROCHESTER, MEMPHIS, TN, 
72388, DOBBIN FERRY AND SUGAR CREEK, MEMPHIS, TN, 
72389, DOCTOR MLK JR AVE AND S LAUDERDALE ST, MEMPHIS, TN, 
72390, DOCTOR MLK JR AVE AND S ORLEANS ST, MEMPHIS, TN, 
72391, DODD AND DODD CV, MEMPHIS, TN, 
72392, DOGWOOD AND BARRON, MEMPHIS, TN, 
72393, DOGWOOD AND BROOKS, MEMPHIS, TN, 
72394, DOGWOOD APT, MEMPHIS, TN, 
72395, DOGWOOD LN AND E BROOKS RD, MEMPHIS, TN, 
72396, DOLAN AND OLD HICKORY, MEMPHIS, TN, 
72397, DOMAR AND DARGEN, MEMPHIS, TN, 
72398, DON AND BONWOOD, MEMPHIS, TN, 
