397, 3300 COSMIC CIRCLE, MEMPHIS, TN, 
398, 6200 WINCHESTER, MEMPHIS, TN, 
399, 3400 SUMMER, MEMPHIS, TN, 
400, 3700 N WATKINS ST, MEMPHIS, TN, 
401, 1700 JACKSON AVE, MEMPHIS, TN, 
402, 2800 CLAUDETTE, MEMPHIS, TN, 
403, 4500 MACON, MEMPHIS, TN, 
404, 1600 E BROOKS RD, MEMPHIS, TN, 
405, 2400 AIRWAYS BLVD, MEMPHIS, TN, 
406, 3500 SOUTHERN, MEMPHIS, TN, 
407, 4300 WINCHESTER RD, MEMPHIS, TN, 
408, 900 BREEDLOVE, MEMPHIS, TN, 
409, 1900 S THIRD ST, MEMPHIS, TN, 
410, 2600 KETCHUM, MEMPHIS, TN, 
411, 2800 S PERKINS, MEMPHIS, TN, 
412, 6000 GREEN DR, MEMPHIS, TN, 
413, 8100 GIACOSA PL, MEMPHIS, TN, 
414, 1300 THOMAS, MEMPHIS, TN, 
415, 1500 BRIARCREST LN, MEMPHIS, TN, 
416, 1900 KELTNER CIR, MEMPHIS, TN, 
417, 2900 COACH DR, MEMPHIS, TN, 
418, 5000 E SHELBY DR, MEMPHIS, TN, 
419, 6000 WINCHESTER, MEMPHIS, TN, 
420, 3700 CENTRAL, MEMPHIS, TN, 
421, 4000 COVINGTON PIKE, MEMPHIS, TN, 
422, 5900 POPLAR, MEMPHIS, TN, 
423, 1000 E BROOKS, MEMPHIS, TN, 
424, 4300 MACON, MEMPHIS, TN, 
425, 5100 SANDERLIN, MEMPHIS, TN, 
426, 5300 SUMMER, MEMPHIS, TN, 
427, 3200 THOMAS ST, MEMPHIS, TN, 
428, 3500 LAMAR, MEMPHIS, TN, 
429, 1500 E BROOKS RD, MEMPHIS, TN, 
430, 3100 LAMAR AVE, MEMPHIS, TN, 
431, 3900 N ADVANTAGE WAY, MEMPHIS, TN, 
432, 6100 PRIMACY PKWY, MEMPHIS, TN, 
433, 700 ST PAUL, MEMPHIS, TN, 
434, 6100 WALNUT GROVE RD, MEMPHIS, TN, 
435, 7500 WINCHESTER, MEMPHIS, TN, 
436, 1500 CHERRY RD, MEMPHIS, TN, 
437, 500 BEALE, MEMPHIS, TN, 
438, 2000 S THIRD ST, MEMPHIS, TN, 
439, 300 CHELSEA, MEMPHIS, TN, 
440, 2000 FRISCO, MEMPHIS, TN, 
441, 4500 POWELL, MEMPHIS, TN, 
442, 1300 FINLEY, MEMPHIS, TN, 
443, 4100 SUMMER, MEMPHIS, TN, 
444, 5200 WAYFARER CIRCLE, MEMPHIS, TN, 
445, 1300 RIDGEWAY, MEMPHIS, TN, 
446, 1500 N HOLLYWOOD, MEMPHIS, TN, 
447, 6500 LOST OAK DR, MEMPHIS, TN, 
448, 3600 WALKER, MEMPHIS, TN, 
449, 100 N BELVEDERE, MEMPHIS, TN, 
450, 2900 HICKORY HILL RD, MEMPHIS, TN, 
451, 4000 MACON, MEMPHIS, TN, 
452, 2700 GERMANTOWN PKWY, MEMPHIS, TN, 
453, 3600 COVINGTON PIKE, MEMPHIS, TN, 
454, 4400 WINCHESTER, MEMPHIS, TN, 
455, 2900 LEAFY HOLLOW, MEMPHIS, TN, 
456, 1300 WESLEY, MEMPHIS, TN, 
457, 3000 KIRBY PKWY, MEMPHIS, TN, 
458, 3400 S THIRD, MEMPHIS, TN, 
459, 4400 WINCHESTER RD, MEMPHIS, TN, 
460, 1100 NATIONAL, MEMPHIS, TN, 
461, 1200 FRAYSER BLVD, MEMPHIS, TN, 
462, 5800 SHELBY OAKS DR, MEMPHIS, TN, 
463, 2000 PHILSAR, MEMPHIS, TN, 
464, 1600 ELVIS PRESLEY, MEMPHIS, TN, 
465, 3300 WINCHESTER RD, MEMPHIS, TN, 
466, 4800 SHOWCASE BLVD, MEMPHIS, TN, 
