13336, 1700 POPLAR OAKS CIRCLE, MEMPHIS, TN, 
13337, 1700 SUTTON, MEMPHIS, TN, 
13338, 1700 WINFIELD, MEMPHIS, TN, 
13339, 1700 YORK AVE, MEMPHIS, TN, 
13340, 1800 CORNELIA, MEMPHIS, TN, 
13341, 1800 DORRIE, MEMPHIS, TN, 
13342, 1800 EDWARD AVE, MEMPHIS, TN, 
13343, 1800 HAYS, MEMPHIS, TN, 
13344, 1800 MILLBRANCH PARK, MEMPHIS, TN, 
13345, 1800 MILLGATE CV, MEMPHIS, TN, 
13346, 1800 MORYLE ST, MEMPHIS, TN, 
13347, 1800 PEACH AVE, MEMPHIS, TN, 
13348, 1800 RONDA, MEMPHIS, TN, 
13349, 1800 S PKWY E, MEMPHIS, TN, 
13350, 1800 STEVE ANN DR, MEMPHIS, TN, 
13351, 1800 WALKER AVE, MEMPHIS, TN, 
13352, 1800 WELLS STATION RD, MEMPHIS, TN, 
13353, 1800 WHITTEN, MEMPHIS, TN, 
13354, 1900 BECKER, MEMPHIS, TN, 
13355, 1900 BROWN, MEMPHIS, TN, 
13356, 1900 CASTALIA ST, MEMPHIS, TN, 
13357, 1900 GALLOWAY, MEMPHIS, TN, 
13358, 1900 NEW GATE, MEMPHIS, TN, 
13359, 1900 RANDOLPH PL, MEMPHIS, TN, 
13360, 1900 TITUS RD, MEMPHIS, TN, 
13361, 1900 YOUNG, MEMPHIS, TN, 
13362, 200 CUMBERLAND, MEMPHIS, TN, 
13363, 200 E FERNWOOD, MEMPHIS, TN, 
13364, 200 HARBOR VILLAGE DR, MEMPHIS, TN, 
13365, 200 N TUCKER ST, MEMPHIS, TN, 
13366, 200 NORTH AUBURNDALE, MEMPHIS, TN, 
13367, 200 RENO, MEMPHIS, TN, 
13368, 200 W BROOKS, MEMPHIS, TN, 
13369, 200 W MCLEMORE, MEMPHIS, TN, 
13370, 2000 GARDEN LEAF, MEMPHIS, TN, 
13371, 2000 JAMES RD, MEMPHIS, TN, 
13372, 2000 LAUSANNE, MEMPHIS, TN, 
13373, 2000 NANTUCKET, MEMPHIS, TN, 
13374, 2000 NELSON AVE, MEMPHIS, TN, 
13375, 2000 PEABODY, MEMPHIS, TN, 
13376, 2000 POMONA, MEMPHIS, TN, 
13377, 2000 SOUTH PKWY, MEMPHIS, TN, 
13378, 2000 VINTON, MEMPHIS, TN, 
13379, 2000 WILDE FALL RD, MEMPHIS, TN, 
13380, 2100 CABANA CIRCLE SOUTH, MEMPHIS, TN, 
13381, 2100 DUNN, MEMPHIS, TN, 
13382, 2100 ELZEY, MEMPHIS, TN, 
13383, 2100 GOODHAVEN, MEMPHIS, TN, 
13384, 2100 PERRY RD, MEMPHIS, TN, 
13385, 2100 WILSON RD, MEMPHIS, TN, 
13386, 2200 ABERDEEN, MEMPHIS, TN, 
13387, 2200 AIRWAYS BLVD, MEMPHIS, TN, 
13388, 2200 HENRIETTA RD, MEMPHIS, TN, 
13389, 2200 HUNTER AVE, MEMPHIS, TN, 
13390, 2200 RAYNER, MEMPHIS, TN, 
13391, 2200 S PKWY E, MEMPHIS, TN, 
13392, 2200 SHELBY DR, MEMPHIS, TN, 
13393, 2300 ARDMORE, MEMPHIS, TN, 
13394, 2300 ELDRIDGE ST, MEMPHIS, TN, 
13395, 2300 KIRBY PKWY, MEMPHIS, TN, 
13396, 2300 THEDA AVE, MEMPHIS, TN, 
13397, 2300 WASHINGTON, MEMPHIS, TN, 
13398, 2400 APPLING, MEMPHIS, TN, 
13399, 2400 BRIDGEPORT DR, MEMPHIS, TN, 
13400, 2400 LAROSE AVE, MEMPHIS, TN, 
13401, 2400 LATHAM, MEMPHIS, TN, 
13402, 2400 MANCHESTER, MEMPHIS, TN, 
13403, 2400 PAMELA, MEMPHIS, TN, 
13404, 2400 POE AVE, MEMPHIS, TN, 
13405, 2400 POPLAR AVE, MEMPHIS, TN, 
13406, 2400 SHASTA AVE, MEMPHIS, TN, 
13407, 2500 CORRY, MEMPHIS, TN, 
13408, 2500 JAMES RD, MEMPHIS, TN, 
13409, 2500 MATTHEWS, MEMPHIS, TN, 
13410, 2500 NORTHUMBERLAND, MEMPHIS, TN, 
13411, 2500 PERRY, MEMPHIS, TN, 
13412, 2500 THAMES, MEMPHIS, TN, 
13413, 2500 WARREN ST, MEMPHIS, TN, 
13414, 2500 WINCHESTER ROAD, MEMPHIS, TN, 
13415, 2600 APPLING, MEMPHIS, TN, 
13416, 2600 BURNS AVE, MEMPHIS, TN, 
13417, 2600 LISA AVE, MEMPHIS, TN, 
13418, 2600 MALONE AVE, MEMPHIS, TN, 
13419, 2600 MCARTHUR DR, MEMPHIS, TN, 
13420, 2600 SELECT AVE, MEMPHIS, TN, 
13421, 2600 WEST HILLVIEW DR, MEMPHIS, TN, 
13422, 2700 BEECHMONT, MEMPHIS, TN, 
13423, 2700 DONNA, MEMPHIS, TN, 
13424, 2700 HENDERSON, MEMPHIS, TN, 
13425, 2700 LAKE COUNTRY CV, MEMPHIS, TN, 
13426, 2700 MERLE, MEMPHIS, TN, 
13427, 2700 RANGELINE, MEMPHIS, TN, 
13428, 2800 DALEWOOD, MEMPHIS, TN, 
13429, 2800 DAUPHIN, MEMPHIS, TN, 
13430, 2800 JOLSON AVE, MEMPHIS, TN, 
13431, 2800 LAKE PARK RD, MEMPHIS, TN, 
13432, 2800 PRINCETON, MEMPHIS, TN, 
13433, 2800 SKYLAKE DR, MEMPHIS, TN, 
13434, 2800 STAGE COACH, MEMPHIS, TN, 
13435, 2800 TREASURE ISLAND EAST, MEMPHIS, TN, 
13436, 2800 WHITNEY, MEMPHIS, TN, 
13437, 2900 BUSINESS PARK DR, MEMPHIS, TN, 
13438, 2900 DEARING CV, MEMPHIS, TN, 
13439, 2900 DIRECTORS CV, MEMPHIS, TN, 
13440, 2900 HARVARD AVE, MEMPHIS, TN, 
13441, 2900 KIMBELL, MEMPHIS, TN, 
13442, 2900 NORTHMEADE, MEMPHIS, TN, 
13443, 2900 RAJA RD, MEMPHIS, TN, 
13444, 2900 SANDWOOD, MEMPHIS, TN, 
13445, 300 DANNY THOMAS BLVD, MEMPHIS, TN, 
13446, 300 DELOACH, MEMPHIS, TN, 
13447, 300 EASTVIEW, MEMPHIS, TN, 
13448, 300 IVAN RD, MEMPHIS, TN, 
13449, 300 N PERKINS, MEMPHIS, TN, 
13450, 300 RENO AVE, MEMPHIS, TN, 
13451, 300 S CLEVELAND ST, MEMPHIS, TN, 
13452, 300 S MCLEAN, MEMPHIS, TN, 
13453, 300 S WHITE STATION, MEMPHIS, TN, 
13454, 300 TIMBER LN, MEMPHIS, TN, 
13455, 300 W FRANK AVE, MEMPHIS, TN, 
13456, 300 WESLEY FOREST, MEMPHIS, TN, 
13457, 3000 COACH DR, MEMPHIS, TN, 
13458, 3000 EVEREST, MEMPHIS, TN, 
13459, 3000 GULF, MEMPHIS, TN, 
13460, 3000 JIB CV, MEMPHIS, TN, 
13461, 3000 KIMBALL AVE, MEMPHIS, TN, 
13462, 3000 KNIGHT, MEMPHIS, TN, 
13463, 3000 MANDALE, MEMPHIS, TN, 
13464, 3000 MEW CV, MEMPHIS, TN, 
13465, 3000 MONTAGUE CV, MEMPHIS, TN, 
13466, 3000 PAR 3 DR, MEMPHIS, TN, 
13467, 3000 SOUTH PERKINS, MEMPHIS, TN, 
13468, 3100 ARBOR PLACE, MEMPHIS, TN, 
13469, 3100 GOODLETT RD, MEMPHIS, TN, 
13470, 3100 LYNCHBURG, MEMPHIS, TN, 
13471, 3100 RHINE LN, MEMPHIS, TN, 
13472, 3100 ST CLAIR, MEMPHIS, TN, 
13473, 3100 ST CLOUD PLACE, MEMPHIS, TN, 
13474, 3100 SUNRISE ST, MEMPHIS, TN, 
13475, 3200 BLUFFDALE, MEMPHIS, TN, 
13476, 3200 CLARENDON, MEMPHIS, TN, 
13477, 3200 DANUBE, MEMPHIS, TN, 
