26379, 800 ESTATE PLACE, MEMPHIS, TN, 
26380, 800 EVERGREEN, MEMPHIS, TN, 
26381, 800 GALLOWAY, MEMPHIS, TN, 
26382, 800 GEORGE RD, MEMPHIS, TN, 
26383, 800 GILLEAS RD, MEMPHIS, TN, 
26384, 800 HALE RD, MEMPHIS, TN, 
26385, 800 HAWKEYE CV, MEMPHIS, TN, 
26386, 800 HILLCREST, MEMPHIS, TN, 
26387, 800 IVY RD, MEMPHIS, TN, 
26388, 800 LANE, MEMPHIS, TN, 
26389, 800 MARBLE, MEMPHIS, TN, 
26390, 800 MARIA ST, MEMPHIS, TN, 
26391, 800 MENDENHALL, MEMPHIS, TN, 
26392, 800 N ERICSON RD, MEMPHIS, TN, 
26393, 800 N FOURTH, MEMPHIS, TN, 
26394, 800 N MCNEIL ST, MEMPHIS, TN, 
26395, 800 N PERKINS, MEMPHIS, TN, 
26396, 800 N WILLETT ST, MEMPHIS, TN, 
26397, 800 PAR AVE, MEMPHIS, TN, 
26398, 800 PATTERSON ST, MEMPHIS, TN, 
26399, 800 RED LEAF, MEMPHIS, TN, 
26400, 800 REDDOCH, MEMPHIS, TN, 
26401, 800 ROSEBANKS, MEMPHIS, TN, 
26402, 800 S PERKINS, MEMPHIS, TN, 
26403, 800 S PKWY EAST, MEMPHIS, TN, 
26404, 800 S WHITE STATION, MEMPHIS, TN, 
26405, 800 SOUTHPARKWAY, MEMPHIS, TN, 
26406, 800 ST NICK, MEMPHIS, TN, 
26407, 800 STAGE AVE, MEMPHIS, TN, 
26408, 800 SUNSTONE, MEMPHIS, TN, 
26409, 800 TATE ST, MEMPHIS, TN, 
26410, 800 TM HENDERSON, MEMPHIS, TN, 
26411, 800 TRUSE PARKWAY, MEMPHIS, TN, 
26412, 800 UNION AVENUE, MEMPHIS, TN, 
26413, 800 WALNUT KNOLL LN, MEMPHIS, TN, 
26414, 800 WASHINGTON AVE, MEMPHIS, TN, 
26415, 800 WATSON ST, MEMPHIS, TN, 
26416, 800 WEST, MEMPHIS, TN, 
26417, 800 WILLIAMS ST, MEMPHIS, TN, 
26418, 8000 DEXTER RD, MEMPHIS, TN, 
26419, 8000 MEADOW TRAIL, MEMPHIS, TN, 
26420, 8000 PATRIOT CV, MEMPHIS, TN, 
26421, 8100 ARBOR BEND, MEMPHIS, TN, 
26422, 8100 CLUB PKWY, MEMPHIS, TN, 
26423, 8100 HAVISHIRE, MEMPHIS, TN, 
26424, 8100 ROCK CREEK CV, MEMPHIS, TN, 
26425, 8200 CARRIAGE LN, MEMPHIS, TN, 
26426, 8200 DEXTER RD, MEMPHIS, TN, 
26427, 8200 FOREST PARK DR SOUTH, MEMPHIS, TN, 
26428, 8200 HARLEY, MEMPHIS, TN, 
26429, 8200 STAGE RD, MEMPHIS, TN, 
26430, 8200 WALNUT RUN, MEMPHIS, TN, 
26431, 8300 HAY LOFT, MEMPHIS, TN, 
26432, 8300 TRINITY, MEMPHIS, TN, 
26433, 8400 MACON RD, MEMPHIS, TN, 
26434, 8500 KING WILLIAM ST, MEMPHIS, TN, 
26435, 8500 RIVERWOOD FARMS PKWY, MEMPHIS, TN, 
26436, 8500 WALNUT GROVE RD, MEMPHIS, TN, 
26437, 8500 WOOLRICH, MEMPHIS, TN, 
26438, 8600 BUCKHURST, MEMPHIS, TN, 
26439, 8600 KETTERING DR, MEMPHIS, TN, 
26440, 8600 SHADY ELM DR, MEMPHIS, TN, 
26441, 8600 WINCHESTER RD, MEMPHIS, TN, 
26442, 8700 CHIMNEYROCK BLVD, MEMPHIS, TN, 
26443, 8700 EAGLE VIEW, MEMPHIS, TN, 
26444, 8700 GRANDBURY, MEMPHIS, TN, 
26445, 8800 CHERRY SPRINGS, MEMPHIS, TN, 
26446, 8900 CHIMNEYROCK, MEMPHIS, TN, 
26447, 8900 REFLECTIONS CV, MEMPHIS, TN, 
26448, 900 BEEBEE, MEMPHIS, TN, 
26449, 900 BLUEBIRD, MEMPHIS, TN, 
26450, 900 COLONIAL RD, MEMPHIS, TN, 
26451, 900 DAWN DR, MEMPHIS, TN, 
26452, 900 E MC LEMORE AVE, MEMPHIS, TN, 
26453, 900 E MCKELLAR AVE, MEMPHIS, TN, 
26454, 900 ESTRIDGE DR, MEMPHIS, TN, 
26455, 900 FIELDS RD, MEMPHIS, TN, 
26456, 900 FRAYSER CIR, MEMPHIS, TN, 
26457, 900 GREENDALE, MEMPHIS, TN, 
26458, 900 HACKBERRY LN, MEMPHIS, TN, 
26459, 900 HERBERT RD, MEMPHIS, TN, 
26460, 900 HOLLIS PRICE, MEMPHIS, TN, 
26461, 900 KENSINGTON PL, MEMPHIS, TN, 
26462, 900 MARGO LN, MEMPHIS, TN, 
26463, 900 MARTHA CV, MEMPHIS, TN, 
26464, 900 MOON ST, MEMPHIS, TN, 
26465, 900 MOON, MEMPHIS, TN, 
26466, 900 N 3RD, MEMPHIS, TN, 
26467, 900 N EVERGREEN ST, MEMPHIS, TN, 
26468, 900 N MENDENHALL RD, MEMPHIS, TN, 
26469, 900 NEW YORK, MEMPHIS, TN, 
26470, 900 NORTH HOLMES ST, MEMPHIS, TN, 
26471, 900 PERKINS, MEMPHIS, TN, 
26472, 900 RAINES RD, MEMPHIS, TN, 
26473, 900 S COX ST, MEMPHIS, TN, 
26474, 900 SOUTH COX, MEMPHIS, TN, 
26475, 900 SOUTH THIRD ST, MEMPHIS, TN, 
26476, 900 SPRINGDALERUN, MEMPHIS, TN, 
26477, 900 TATUM, MEMPHIS, TN, 
26478, 900 WEST DR, MEMPHIS, TN, 
26479, 900 WINCHESTER, MEMPHIS, TN, 
26480, 900 WINGFIELD, MEMPHIS, TN, 
26481, 900 WOOD CADE CV, MEMPHIS, TN, 
26482, 9000 DEWBERRY LN, MEMPHIS, TN, 
26483, 9000 DEWBERRY, MEMPHIS, TN, 
