21437, FIRESTONE AND BREEDLOVE, MEMPHIS, TN, 
21438, FOURTH AND MCLEMORE, MEMPHIS, TN, 
21439, FOURTH AND WASHINGTON, MEMPHIS, TN, 
21440, FRAYSER BLVD AND MT TERRACE, MEMPHIS, TN, 
21441, FRONT AND PEABODY, MEMPHIS, TN, 
21442, GAYOSO AND MAIN, MEMPHIS, TN, 
21443, GOODLETT AND CAMELOT, MEMPHIS, TN, 
21444, GOODLETT AND WINDY HOLLOW, MEMPHIS, TN, 
21445, GOWAN AND N WATKINS, MEMPHIS, TN, 
21446, GRAND AND DOUGLASS, MEMPHIS, TN, 
21447, GUERNSEY AND HUDSON, MEMPHIS, TN, 
21448, HADLEY AND HIGHLAND, MEMPHIS, TN, 
21449, HERNANDO AND ALCY, MEMPHIS, TN, 
21450, HICKORY HILL AND APPLE TREE, MEMPHIS, TN, 
21451, HICKORY HILL AND SHELBY DR, MEMPHIS, TN, 
21452, HICKORY HILL RD AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
21453, HIGHLAND AND CARNES, MEMPHIS, TN, 
21454, HIGHLAND AND SAM COOPER, MEMPHIS, TN, 
21455, HOLLYWOOD AND SUMMER, MEMPHIS, TN, 
21456, HOLMES AND LAMPHIER, MEMPHIS, TN, 
21457, HORN LAKE AND RAINES, MEMPHIS, TN, 
21458, I 240 AND GETWELL, MEMPHIS, TN, 
21459, I-240 AND JACKSON, MEMPHIS, TN, 
21460, I-240 AND PERKINS RD, MEMPHIS, TN, 
21461, I-40 AND JACKSON AVE, MEMPHIS, TN, 
21462, I240 AND POPLAR AVE, MEMPHIS, TN, 
21463, I240 AND SOUTH PKWY, MEMPHIS, TN, 
21464, I240 AND WATKINS, MEMPHIS, TN, 
21465, I40 AND WARFORD, MEMPHIS, TN, 
21466, JACKSON AND ALASKA, MEMPHIS, TN, 
21467, JACKSON AND FARMVILLE, MEMPHIS, TN, 
21468, JACKSON AND N HOLLYWOOD, MEMPHIS, TN, 
21469, JACKSON AND SPRINGDALE, MEMPHIS, TN, 
21470, JACKSON AND WELLS, MEMPHIS, TN, 
21471, JAMES AND BIRCHFIELD, MEMPHIS, TN, 
21472, JAMES AND MCLEAN, MEMPHIS, TN, 
21473, JONAH AND HUGENOT, MEMPHIS, TN, 
21474, KANSAS AND FIELDS, MEMPHIS, TN, 
21475, KERR AND MARJORIE, MEMPHIS, TN, 
21476, KERWIN AND ST ELMO, MEMPHIS, TN, 
21477, KERWIN AND TESSLAND, MEMPHIS, TN, 
21478, KETCHUM AND IMOGENE, MEMPHIS, TN, 
21479, KIMBALL AND PRESCOTT, MEMPHIS, TN, 
