149357, EAST BROOKS RD AND ROSITA ST, MEMPHIS, TN, 
149358, EAST BROOKS, MEMPHIS, TN, 
149359, EAST CRESTWOOD AND GLENBRIER, MEMPHIS, TN, 
149360, EAST DEMPSTER AND ELVIS PRESLEY, MEMPHIS, TN, 
149361, EAST DEPEMSTER, MEMPHIS, TN, 
149362, EAST EHCRUMP BOULEVARD AND BARTON ST, MEMPHIS, TN, 
149363, EAST ESSEX AND RAYBURN, MEMPHIS, TN, 
149364, EAST ESSEX AND THIRD ST, MEMPHIS, TN, 
149365, EAST FALLS RD & HILLBROOK, MEMPHIS, TN, 
149366, EAST FIELD CV AND GREENBRACH, MEMPHIS, TN, 
149367, EAST FRANK AND MAIN, MEMPHIS, TN, 
149368, EAST GAGE AND SHELBY ST, MEMPHIS, TN, 
149369, EAST HICKORY BLUFF AND JAMES, MEMPHIS, TN, 
149370, EAST HILLVIEW AND ALCY RD, MEMPHIS, TN, 
149371, EAST HILLVIEW CV, MEMPHIS, TN, 
149372, EAST HOLMES AND BERTA, MEMPHIS, TN, 
149373, EAST HOLMES AND GETWELL RD, MEMPHIS, TN, 
149374, EAST HOLMES AND HORN LAKE, MEMPHIS, TN, 
149375, EAST HOLMES AND LOCH LOMOND, MEMPHIS, TN, 
149376, EAST HOLMES AND MARYNELLE, MEMPHIS, TN, 
149377, EAST HOLMES AND NEELY, MEMPHIS, TN, 
149378, EAST HOLMES RD AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
149379, EAST HOLMES RD AND SWINNEA RD, MEMPHIS, TN, 
149380, EAST LINE AND FRAYSER RALEIGH, MEMPHIS, TN, 
149381, EAST MALLORY AND COLEEN, MEMPHIS, TN, 
149382, EAST MALLORY AND GETWELL RD, MEMPHIS, TN, 
149383, EAST MALLORY AND GETWELL, MEMPHIS, TN, 
149384, EAST MALLORY AND RIVERSIDE, MEMPHIS, TN, 
149385, EAST MALLORY AND SOUTH LAUDERDALE, MEMPHIS, TN, 
149386, EAST MALLORY AVE AND ELVIS PRESLEY, MEMPHIS, TN, 
149387, EAST MALLORY AVE AND PINE HILL ST, MEMPHIS, TN, 
149388, EAST MCLEMORE AND JAMES, MEMPHIS, TN, 
149389, EAST MCLEMORE AND MISSISSIPPI, MEMPHIS, TN, 
149390, EAST MCLEMORE AND SHADY LN, MEMPHIS, TN, 
