10396, 2200 MCKELLAR WOOD CT, MEMPHIS, TN, 
10397, 2200 MOURFIELD, MEMPHIS, TN, 
10398, 2300 BALL, MEMPHIS, TN, 
10399, 2300 NUNNELEE, MEMPHIS, TN, 
10400, 2300 RIDGEWAY RD, MEMPHIS, TN, 
10401, 2400 RILEY, MEMPHIS, TN, 
10402, 2500 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
10403, 2600 LYNDALE, MEMPHIS, TN, 
10404, 2600 RIDGEWAY, MEMPHIS, TN, 
10405, 2600 THOUSAND OAKS BL, MEMPHIS, TN, 
10406, 2600 WINNONA, MEMPHIS, TN, 
10407, 2600 YALE AVE, MEMPHIS, TN, 
10408, 2700 BREEZY RIDGE TRAIL, MEMPHIS, TN, 
10409, 2700 DAVEY, MEMPHIS, TN, 
10410, 2700 EAST BARBARA CIRCLE, MEMPHIS, TN, 
10411, 2700 FILMORE AVE, MEMPHIS, TN, 
10412, 2700 S MENDENHALL, MEMPHIS, TN, 
10413, 2700 SUMMER, MEMPHIS, TN, 
10414, 2700 WAYNE PLACE, MEMPHIS, TN, 
10415, 2700 WINDSOR PKWY, MEMPHIS, TN, 
10416, 2800 ARBOR LN, MEMPHIS, TN, 
10417, 2800 LAKESIDE DR, MEMPHIS, TN, 
10418, 2800 OVERTON CROSSING, MEMPHIS, TN, 
10419, 2800 RANGE LINE, MEMPHIS, TN, 
10420, 2800 SPOTTSWOOD AVE, MEMPHIS, TN, 
10421, 2900 BIRCHFIELD, MEMPHIS, TN, 
10422, 2900 CURTIS ST, MEMPHIS, TN, 
10423, 2900 LAREDO, MEMPHIS, TN, 
10424, 2900 MEADOW LAKE DR, MEMPHIS, TN, 
10425, 2900 SPOTTSWOOD, MEMPHIS, TN, 
10426, 2900 SUMMIT ARBORS, MEMPHIS, TN, 
10427, 2900 WATERBURY CV, MEMPHIS, TN, 
10428, 2900 WATERS EDGE, MEMPHIS, TN, 
10429, 300 BALTIC ST, MEMPHIS, TN, 
10430, 300 CARBON, MEMPHIS, TN, 
10431, 300 E ALSTON, MEMPHIS, TN, 
10432, 300 MAIN, MEMPHIS, TN, 
10433, 300 N MANASSAS ST, MEMPHIS, TN, 
10434, 300 NORTH BELLEVUE, MEMPHIS, TN, 
10435, 300 S SUSSEX, MEMPHIS, TN, 
10436, 300 W JOHNSON CIRCLE, MEMPHIS, TN, 
10437, 300 WEST PERSON, MEMPHIS, TN, 
10438, 3000 ESTES, MEMPHIS, TN, 
10439, 3000 RIDGEWAY RD, MEMPHIS, TN, 
10440, 3000 THRUSH, MEMPHIS, TN, 
10441, 3100 CLAUDETTE, MEMPHIS, TN, 
10442, 3100 CROLEY, MEMPHIS, TN, 
10443, 3100 FLEETBROOK, MEMPHIS, TN, 
10444, 3100 GULF AVE, MEMPHIS, TN, 
10445, 3100 PERSHING AVE, MEMPHIS, TN, 
10446, 3100 ROCHESTER, MEMPHIS, TN, 
10447, 3200 AQUARIUS, MEMPHIS, TN, 
10448, 3200 CANYON, MEMPHIS, TN, 
10449, 3200 CHISCA AVE, MEMPHIS, TN, 
10450, 3200 CRUMP AVE, MEMPHIS, TN, 
10451, 3200 FORD, MEMPHIS, TN, 
10452, 3200 HILDA, MEMPHIS, TN, 
10453, 3200 JEAN DR, MEMPHIS, TN, 
10454, 3200 KETTLE CREEK DR, MEMPHIS, TN, 
10455, 3200 MADELINE CIR, MEMPHIS, TN, 
10456, 3200 MADRID, MEMPHIS, TN, 
10457, 3200 MONTERREY SQ, MEMPHIS, TN, 
10458, 3200 POWELL AVE, MEMPHIS, TN, 
10459, 3200 SHARP, MEMPHIS, TN, 
10460, 3200 SOUTHERN AVE, MEMPHIS, TN, 
10461, 3200 WALNUT GROVE RD, MEMPHIS, TN, 
10462, 3300 ANSNOW, MEMPHIS, TN, 
10463, 3300 E SHELBY, MEMPHIS, TN, 
10464, 3300 FORREST GLEN, MEMPHIS, TN, 
10465, 3300 KNIGHT TRAILS CIR, MEMPHIS, TN, 
10466, 3300 MAGEVNEY, MEMPHIS, TN, 
10467, 3300 PECAN LAKE, MEMPHIS, TN, 
10468, 3300 S 3RD ST, MEMPHIS, TN, 
10469, 3300 SARABEE, MEMPHIS, TN, 
10470, 3300 SOUTH MENDENHALL, MEMPHIS, TN, 
10471, 3300 SPRING GROVE CIRCLE, MEMPHIS, TN, 
10472, 3400 ADAIR, MEMPHIS, TN, 
10473, 3400 BOWEN AVE, MEMPHIS, TN, 
10474, 3400 DEMOCRAT, MEMPHIS, TN, 
10475, 3400 DENVER, MEMPHIS, TN, 
10476, 3400 HANNA DR, MEMPHIS, TN, 
10477, 3400 HENRY AVE, MEMPHIS, TN, 
10478, 3400 HICKORY VIEW, MEMPHIS, TN, 
10479, 3400 KINGS ARMS, MEMPHIS, TN, 
10480, 3400 N THOMAS, MEMPHIS, TN, 
10481, 3400 PAT, MEMPHIS, TN, 
10482, 3400 STELLA, MEMPHIS, TN, 
10483, 3400 WINCHESTER PL, MEMPHIS, TN, 
10484, 3500 BARCLAY AVE, MEMPHIS, TN, 
10485, 3500 FOX LEIGH, MEMPHIS, TN, 
10486, 3500 HALLSHIRE DR, MEMPHIS, TN, 
10487, 3500 KENIE, MEMPHIS, TN, 
10488, 3500 MITCH, MEMPHIS, TN, 
10489, 3500 THOMAS, MEMPHIS, TN, 
