35401, 100 E GALLOWAY, MEMPHIS, TN, 
35402, 100 E PEBBLES, MEMPHIS, TN, 
35403, 100 E TRIGG ST, MEMPHIS, TN, 
35404, 100 E VIRGINIA, MEMPHIS, TN, 
35405, 100 EAST BELZ, MEMPHIS, TN, 
35406, 100 EAST BODLEY, MEMPHIS, TN, 
35407, 100 EAST CAROLINA, MEMPHIS, TN, 
35408, 100 EAST CRUMP, MEMPHIS, TN, 
35409, 100 EAST EMORY, MEMPHIS, TN, 
35410, 100 EAST PAXTON LN, MEMPHIS, TN, 
35411, 100 EAST UTAH, MEMPHIS, TN, 
35412, 100 EASTLAND, MEMPHIS, TN, 
35413, 100 EMORY, MEMPHIS, TN, 
35414, 100 FOURTH, MEMPHIS, TN, 
35415, 100 GE PATTERSON, MEMPHIS, TN, 
35416, 100 GLENARM AVE, MEMPHIS, TN, 
35417, 100 HICKORY, MEMPHIS, TN, 
35418, 100 HUMPHRIES CENTER, MEMPHIS, TN, 
35419, 100 IDLEWILD, MEMPHIS, TN, 
35420, 100 JACKSON, MEMPHIS, TN, 
35421, 100 LINDEN, MEMPHIS, TN, 
35422, 100 LOMBARDY RD, MEMPHIS, TN, 
35423, 100 LUCY AVE, MEMPHIS, TN, 
35424, 100 MABEL DR, MEMPHIS, TN, 
35425, 100 MINA, MEMPHIS, TN, 
35426, 100 MORNINGSIDE PLACE, MEMPHIS, TN, 
35427, 100 MUDDY RIVER LN S, MEMPHIS, TN, 
35428, 100 N B B KING BLVD, MEMPHIS, TN, 
35429, 100 N BB KING, MEMPHIS, TN, 
35430, 100 N BELVEDERE AVE, MEMPHIS, TN, 
35431, 100 N DULAP, MEMPHIS, TN, 
35432, 100 N HUMPHREYS RD, MEMPHIS, TN, 
35433, 100 N HUMPHRIES, MEMPHIS, TN, 
35434, 100 N MERTON ST, MEMPHIS, TN, 
35435, 100 N REMBERT ST, MEMPHIS, TN, 
35436, 100 N SOMERVILLE AVE, MEMPHIS, TN, 
35437, 100 N WILLET ST, MEMPHIS, TN, 
35438, 100 NORTH BELEVEDERE, MEMPHIS, TN, 
35439, 100 NORTH COX, MEMPHIS, TN, 
35440, 100 NORTH HOLMES ST, MEMPHIS, TN, 
35441, 100 NORTH HUMPHREYS BOULEVARD, MEMPHIS, TN, 
