52305, 6700 IMPERIAL OAK, MEMPHIS, TN, 
52306, 6700 IMPERIAL OAKS, MEMPHIS, TN, 
52307, 6700 MALLARDS NEST CV, MEMPHIS, TN, 
52308, 6700 MULLINS STATION, MEMPHIS, TN, 
52309, 6700 PIDGEON WOODS CV, MEMPHIS, TN, 
52310, 6700 PONDVIEW CV, MEMPHIS, TN, 
52311, 6700 QUAILBROOK DR, MEMPHIS, TN, 
52312, 6700 RAINBROOK CV, MEMPHIS, TN, 
52313, 6700 SANTOLINA, MEMPHIS, TN, 
52314, 6700 STOCK PORT, MEMPHIS, TN, 
52315, 6700 W QUAIL BROOK, MEMPHIS, TN, 
52316, 6700 WALNUT GROVE, MEMPHIS, TN, 
52317, 6700 WEST QUAILBROOK, MEMPHIS, TN, 
52318, 6700 WHISPERING OAK, MEMPHIS, TN, 
52319, 6700 WHITTEN GROVE RD, MEMPHIS, TN, 
52320, 6700 WHITTEN RD, MEMPHIS, TN, 
52321, 6800 ABELIA HILL CV, MEMPHIS, TN, 
52322, 6800 BROWN BARK CV, MEMPHIS, TN, 
52323, 6800 CASTLEGATE CV, MEMPHIS, TN, 
52324, 6800 DEVONSHIRE, MEMPHIS, TN, 
52325, 6800 EINAT, MEMPHIS, TN, 
52326, 6800 ENCHANTED CV, MEMPHIS, TN, 
52327, 6800 ENCHANTED OAK PL, MEMPHIS, TN, 
52328, 6800 ESHELBY DR, MEMPHIS, TN, 
52329, 6800 FOSSIL CREEK, MEMPHIS, TN, 
52330, 6800 FRENCH CV, MEMPHIS, TN, 
52331, 6800 GREAT OAKS RD, MEMPHIS, TN, 
52332, 6800 GREAT OAKS, MEMPHIS, TN, 
52333, 6800 HUNTERS OAK, MEMPHIS, TN, 
52334, 6800 KAMALI RD, MEMPHIS, TN, 
52335, 6800 KEYSTONE RD, MEMPHIS, TN, 
52336, 6800 MEADOW OAKS, MEMPHIS, TN, 
52337, 6800 MESSICK, MEMPHIS, TN, 
52338, 6800 N LANDING, MEMPHIS, TN, 
52339, 6800 N REGENCY PARK, MEMPHIS, TN, 
52340, 6800 RAINES, MEMPHIS, TN, 
52341, 6800 RAQUET CLUB, MEMPHIS, TN, 
52342, 6800 REGENCY PARK CIRCLE, MEMPHIS, TN, 
52343, 6800 ROCK BROOK, MEMPHIS, TN, 
52344, 6800 STORNOWAY DR, MEMPHIS, TN, 
52345, 6800 THE WILLOW, MEMPHIS, TN, 
52346, 6800 WILD BERRY LN, MEMPHIS, TN, 
52347, 6800 WILD RIDGE, MEMPHIS, TN, 
52348, 6800 WILDBERRY LN, MEMPHIS, TN, 
52349, 6800 WINCHESTER POINT, MEMPHIS, TN, 
52350, 6900 APPLING FARMS PKWY (MPD), MEMPHIS, TN, 
52351, 6900 BOOTHBAY CV, MEMPHIS, TN, 
52352, 6900 BORDEAUX LN, MEMPHIS, TN, 
52353, 6900 BROOK MEADOW, MEMPHIS, TN, 
52354, 6900 CLUB RIDGE CR DR, MEMPHIS, TN, 
52355, 6900 CLUB RIDGE LN, MEMPHIS, TN, 
52356, 6900 CLUB, MEMPHIS, TN, 
52357, 6900 CORSICA, MEMPHIS, TN, 
52358, 6900 COUNTRY PARK, MEMPHIS, TN, 
52359, 6900 COURTNEY LANE, MEMPHIS, TN, 
