18274, METRO / LARGE, LOUISVILLE, KY, 40202
18275, MILL BROOK RD / ORMSBY STATION RD, LOUISVILLE, KY, 40223
18276, MILNER RD / ZAYRE RD, LOUISVILLE, KY, 40216
18277, MILTON ST / TEXAS AVE, LOUISVILLE, KY, 40217
18278, MINYARD DR / SOUTHACRES DR, LOUISVILLE, KY, 40219
18279, MONTANA AVE / RODMAN ST, LOUISVILLE, KY, 40208
18280, MOUNT RAINIER DR / U S HIGHWAY 42, LOUISVILLE, KY, 40241
18281, MURPHY LN / NANSEMOND DR, LOUISVILLE, KY, 40241
18282, N 17TH ST / LYTLE ST, LOUISVILLE, KY, 40203
18283, N 33RD ST / PORTLAND PLZ, LOUISVILLE, KY, 40212
18284, N 34TH ST / RUDD AVE, LOUISVILLE, KY, 40212
18285, N 38TH ST / PARKER AVE, LOUISVILLE, KY, 40212
18286, N 39TH ST / JEWELL AVE, LOUISVILLE, KY, 40212
18287, N 39TH ST / PFLANZ AVE, LOUISVILLE, KY, 40212
18288, N 44TH ST / BANK ST, LOUISVILLE, KY, 40212
18289, N 9TH ST / I 64 RAMP, LOUISVILLE, KY, 40202
18290, N BAYLY AVE / FRANKFORT AVE, LOUISVILLE, KY, 40206
18291, N HITE AVE / LE BLANC CT, LOUISVILLE, KY, 40206
18292, N HUBBARDS LN / MASSIE AVE, LOUISVILLE, KY, 40207
18293, N HUBBARDS LN, LOUISVILLE, KY, 40207
18294, N HURSTBOURNE PKY / TAMARISK PKY, LOUISVILLE, KY, 40223
18295, N HURSTBOURNE PKY, LOUISVILLE, KY, 40223
18296, N PRESTON ST, LOUISVILLE, KY, 40202
18297, NANSEMOND CT / NANSEMOND DR, LOUISVILLE, KY, 40245
18298, NATIONAL TPKE / I265N, LOUISVILLE, KY, 40118
18299, NEW LA GRANGE RD / VIRGINIA AVE, LOUISVILLE, KY, 40222
18300, NOLIN PL / E SOUTHLAND BLVD, LOUISVILLE, KY, 40214
18301, NORTON HEALTHCARE BLVD / VON ALLMEN CT, LOUISVILLE, KY, 40241
