13327, 1400 TUCKER STATION RD, LOUISVILLE, KY, 40299
13328, 14200 BOHANNON AVE, LOUISVILLE, KY, 40272
13329, 1500 BRASHEAR DR, LOUISVILLE, KY, 40210
13330, 1500 HELMRIDGE CT, LOUISVILLE, KY, 40222
13331, 1500 HOLLY AVE, LOUISVILLE, KY, 40118
13332, 1500 PORTLAND AVE, LOUISVILLE, KY, 40203
13333, 1600 ASHMOOR LN, LOUISVILLE, KY, 40223
13334, 1600 CANARY PL, LOUISVILLE, KY, 40222
13335, 1600 CHRISTIAN ST, LOUISVILLE, KY, 40213
13336, 1600 CRISTLAND RD, LOUISVILLE, KY, 40214
13337, 1600 DUNBARTON WYNDE, LOUISVILLE, KY, 40205
13338, 1600 FOREST HILL DR, LOUISVILLE, KY, 40205
13339, 1600 GLENGARRY DR, LOUISVILLE, KY, 40118
13340, 1600 ROOSEVELT AVE, LOUISVILLE, KY, 40242
13341, 1600 RUSSELL AVE, LOUISVILLE, KY, 40213
13342, 1600 S 34TH ST, LOUISVILLE, KY, 40211
13343, 1600 SPEED AVE, LOUISVILLE, KY, 40205
13344, 1600 SUTHERLAND DR, LOUISVILLE, KY, 40205
13345, 1700 EDGELAND AVE, LOUISVILLE, KY, 40204
13346, 1700 HARVARD DR, LOUISVILLE, KY, 40205
13347, 1700 HILL ST, LOUISVILLE, KY, 40210
13348, 1700 KURZ WAY, LOUISVILLE, KY, 40216
13349, 1700 ORMSBY AVE, LOUISVILLE, KY, 40210
13350, 17200 MALLET HILL DR, LOUISVILLE, KY, 40245
13351, 17500 AIKEN RD, LOUISVILLE, KY, 40245
13352, 1800 AUSTINWOOD PL, LOUISVILLE, KY, 40214
13353, 1800 JEFFERSON AVE, LOUISVILLE, KY, 40242
13354, 1800 LA FONTENAY CT, LOUISVILLE, KY, 40223
13355, 1800 QUARRY ST, LOUISVILLE, KY, 40206
13356, 1800 STRAND AVE, LOUISVILLE, KY, 40205
13357, 1800 WOODBOURNE AVE, LOUISVILLE, KY, 40205
13358, 18700 WILLINGTON CIR, LOUISVILLE, KY, 40245
13359, 1900 ACORN WAY, LOUISVILLE, KY, 40216
13360, 1900 BRENTMOOR LN, LOUISVILLE, KY, 40223
13361, 1900 GLADSTONE AVE, LOUISVILLE, KY, 40205
13362, 1900 GREYLING DR, LOUISVILLE, KY, 40272
13363, 200 BLANKENBAKER LN, LOUISVILLE, KY, 40207
13364, 200 DECLARATION DR, LOUISVILLE, KY, 40214
13365, 200 DON ALLEN RD, LOUISVILLE, KY, 40207
13366, 200 E WOODLAWN AVE, LOUISVILLE, KY, 40209
13367, 200 N BROOK ST, LOUISVILLE, KY, 40202
13368, 200 N CHADWICK RD, LOUISVILLE, KY, 40223
13369, 200 PEPPERBUSH RD, LOUISVILLE, KY, 40207
13370, 200 SENECA TRL, LOUISVILLE, KY, 40214
13371, 200 SOUTH PARK RD, LOUISVILLE, KY, 40118
13372, 200 SYCAMORE DR, LOUISVILLE, KY, 40223
13373, 200 TOWNEPARK CIR, LOUISVILLE, KY, 40243
13374, 2000 ALLENE AVE, LOUISVILLE, KY, 40217
13375, 2000 BEN ALI RD, LOUISVILLE, KY, 40223
13376, 2000 EMERALD AVE, LOUISVILLE, KY, 40206
13377, 2000 PATRICIA DR, LOUISVILLE, KY, 40272
13378, 2000 S 39TH ST, LOUISVILLE, KY, 40211
13379, 2100 DOROTHY AVE, LOUISVILLE, KY, 40205
13380, 2100 HIGH WICKHAM PL, LOUISVILLE, KY, 40245
13381, 2100 HIGHLAND SPRINGS PL, LOUISVILLE, KY, 40245
