12376, ATLAS RD / BLUE LICK RD, LOUISVILLE, KY, 40229
12377, BARDSTOWN RD / BEARGRASS AVE, LOUISVILLE, KY, 40218
12378, BARDSTOWN RD / CAREY AVE, LOUISVILLE, KY, 40218
12379, BARDSTOWN RD / EMERSON AVE, LOUISVILLE, KY, 40205
12380, BARDSTOWN RD / GERALD CT, LOUISVILLE, KY, 40218
12381, BARRET AVE / ELLISON AVE, LOUISVILLE, KY, 40204
12382, BASHFORD MANOR LN / MALL RD, LOUISVILLE, KY, 40218
12383, BAYBERRY PL / COTTONWOOD DR, LOUISVILLE, KY, 40242
12384, BEARGRASS RD / PARK BOUNDARY RD, LOUISVILLE, KY, 40205
12385, BELLEVUE AVE / W EVELYN AVE, LOUISVILLE, KY, 40215
12386, BELRAD DR / CAWOOD DR, LOUISVILLE, KY, 40218
12387, BERGMAN ST / S SHELBY ST, LOUISVILLE, KY, 40217
12388, BERRY BLVD / WARREN AVE, LOUISVILLE, KY, 40215
12389, BICKNELL AVE / LA SALLE AVE, LOUISVILLE, KY, 40215
12390, BLAIRWOOD RD / BLAIRWOOD ACCESS WAY, LOUISVILLE, KY, 40222
12391, BLUE LICK RD, LOUISVILLE, KY, 40229
12392, BRECKENRIDGE LN / CHURCHILL PARK DR, LOUISVILLE, KY, 40220
12393, CALHOUN AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
12394, CANE RUN RD / COVENTRY COMMONS DR, LOUISVILLE, KY, 40216
12395, CANE RUN RD / DONALD DR, LOUISVILLE, KY, 40216
12396, CANE RUN RD / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40258
12397, CANE RUN RD / NEW LYNNVIEW DR, LOUISVILLE, KY, 40216
12398, CANE RUN RD / OLD MILLERS LN, LOUISVILLE, KY, 40211
12399, CANE RUN RD / RONALD CT, LOUISVILLE, KY, 40216
12400, CANE RUN RD, LOUISVILLE, KY, 40258
12401, CANNONS LN / DUTCHMANS LN, LOUISVILLE, KY, 40205
12402, CANNONS LN / I64, LOUISVILLE, KY, 40205
12403, CARROLL AVE / DURRETT LN, LOUISVILLE, KY, 40213
12404, CECIL AVE / SUNSET AVE, LOUISVILLE, KY, 40211
12405, CHAMBERLAIN LN, LOUISVILLE, KY, 40241
12406, CHARLES ST / KRIEGER ST, LOUISVILLE, KY, 40204
12407, CHEROKEE RD / PATTERSON AVE, LOUISVILLE, KY, 40204
12408, CHICKASAW AVE / N HITE AVE, LOUISVILLE, KY, 40206
12409, CLARA AVE / POWELL AVE, LOUISVILLE, KY, 40215
12410, CLEVELAND BLVD / COUNTRY CLUB RD, LOUISVILLE, KY, 40206
12411, CLEVELAND BLVD / ZORN AVE, LOUISVILLE, KY, 40206
12412, CONGRESS ST / DR W J HODGE ST, LOUISVILLE, KY, 40203
12413, COOPER ST / PAYNE ST, LOUISVILLE, KY, 40204
12414, CRUMS LN, LOUISVILLE, KY, 40215
12415, DEL PARK TER / SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
12416, DIXIE HWY / HARDESTY AVE, LOUISVILLE, KY, 40216
