1323, 1100 S 15TH ST, LOUISVILLE, KY, 40210
1324, 1200 DURRETT LN, LOUISVILLE, KY, 40213
1325, 1200 LARCHMONT AVE, LOUISVILLE, KY, 40215
1326, 1200 VIM DR, LOUISVILLE, KY, 40213
1327, 1400 STANDARD VILLAGE CIR, LOUISVILLE, KY, 40210
1328, 1700 VALLEY FORGE WAY, LOUISVILLE, KY, 40215
1329, 1700 W CHESTNUT ST, LOUISVILLE, KY, 40203
1330, 200 ALPHA AVE, LOUISVILLE, KY, 40218
1331, 2300 DUMESNIL ST, LOUISVILLE, KY, 40210
1332, 2600 DIXDALE AVE, LOUISVILLE, KY, 40210
1333, 2600 GREENWOOD AVE, LOUISVILLE, KY, 40211
1334, 3300 LESTER AVE, LOUISVILLE, KY, 40215
1335, 400 E BROADWAY, LOUISVILLE, KY, 40202
1336, 4300 WHITMORE AVE, LOUISVILLE, KY, 40215
1337, 600 RUBEL AVE, LOUISVILLE, KY, 40204
1338, 600 S 36TH ST, LOUISVILLE, KY, 40211
1339, 6800 PRESTON HWY, LOUISVILLE, KY, 40219
1340, 7300 GARRISON RD, LOUISVILLE, KY, 40214
1341, 800 W WHITNEY AVE, LOUISVILLE, KY, 40215
1342, COMMUNITY / LARGE, LOUISVILLE, KY, 40205
1343, E LIBERTY ST / S PRESTON ST, LOUISVILLE, KY, 40202
1344, S 3RD ST / W FLORENCE AVE, LOUISVILLE, KY, 40214
1345, 1400 ARLING AVE, LOUISVILLE, KY, 40215
1346, 1400 CATALPA ST, LOUISVILLE, KY, 40211
1347, 1400 LONGFIELD AVE, LOUISVILLE, KY, 40215
1348, 1800 GARDINER LN, LOUISVILLE, KY, 40205
1349, 1800 LA SALLE PL, LOUISVILLE, KY, 40210
1350, 2100 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
1351, 2600 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
1352, 4100 S 2ND ST, LOUISVILLE, KY, 40214
1353, 4800 EXETER AVE, LOUISVILLE, KY, 40218
1354, 4900 SADDLEBROOK CT, LOUISVILLE, KY, 40216
1355, 5800 ROBINWOOD RD, LOUISVILLE, KY, 40218
1356, 600 BELLAMY CIR, LOUISVILLE, KY, 40208
1357, 8400 PRESTON HWY, LOUISVILLE, KY, 40219
1358, 900 S HANCOCK ST, LOUISVILLE, KY, 40203
1359, 900 SINCLAIR ST, LOUISVILLE, KY, 40118
1360, S 1ST ST, LOUISVILLE, KY, 40202
1361, S 4TH ST / W ORMSBY AVE, LOUISVILLE, KY, 40203
1362, 1000 EASTERN PKY, LOUISVILLE, KY, 40217
1363, 10400 SHELBYVILLE RD, LOUISVILLE, KY, 40223
1364, 2000 ST LOUIS AVE, LOUISVILLE, KY, 40210
1365, 2500 BANK ST, LOUISVILLE, KY, 40212
1366, 2700 RIEDLING DR, LOUISVILLE, KY, 40206
1367, 3800 GRAND AVE, LOUISVILLE, KY, 40211
1368, 600 N 24TH ST, LOUISVILLE, KY, 40212
1369, LOUIS COLEMAN JR DR / VERMONT AVE, LOUISVILLE, KY, 40211
1370, S PRESTON ST / E ST CATHERINE ST, LOUISVILLE, KY, 40203
1371, 1 CALUMET DR, LOUISVILLE, KY, 40214
1372, 100 ROCK CLIFF CT, LOUISVILLE, KY, 40218
1373, 1000 S 32ND ST, LOUISVILLE, KY, 40211
1374, 10800 SOUTHGATE MANOR DR, LOUISVILLE, KY, 40229
1375, 1200 MANITAU AVE, LOUISVILLE, KY, 40215
1376, 1300 EARL AVE, LOUISVILLE, KY, 40215
1377, 1400 BARDSTOWN RD, LOUISVILLE, KY, 40204
1378, 1700 ALGONQUIN PKY, LOUISVILLE, KY, 40210
1379, 1700 HARROD CT, LOUISVILLE, KY, 40210
1380, 1800 W JEFFERSON ST, LOUISVILLE, KY, 40203
1381, 200 S 41ST ST, LOUISVILLE, KY, 40212
1382, 200 S SHAWNEE TER, LOUISVILLE, KY, 40212
1383, 2200 7TH STREET RD, LOUISVILLE, KY, 40208
1384, 2300 W JEFFERSON ST, LOUISVILLE, KY, 40212
1385, 2300 WOODLAND AVE, LOUISVILLE, KY, 40210
1386, 2700 TAYLOR BLVD, LOUISVILLE, KY, 40208
1387, 2900 SLEVIN ST, LOUISVILLE, KY, 40212
1388, 300 N 24TH ST, LOUISVILLE, KY, 40212
1389, 3400 W MARKET ST, LOUISVILLE, KY, 40212
1390, 4200 NORBROOK DR, LOUISVILLE, KY, 40218
1391, 6300 SYDNEY RENEE WAY, LOUISVILLE, KY, 40272
1392, 6400 GREENWOOD RD, LOUISVILLE, KY, 40258
1393, 7200 EGYPT LN, LOUISVILLE, KY, 40219
1394, 7300 GRADE LN, LOUISVILLE, KY, 40219
1395, 800 S 6TH ST, LOUISVILLE, KY, 40203
1396, S 19TH ST / W BROADWAY, LOUISVILLE, KY, 40203
1397, 1 REESER PL, LOUISVILLE, KY, 40208
1398, 100 BLUE CREEK CT, LOUISVILLE, KY, 40229
1399, 100 N 39TH ST, LOUISVILLE, KY, 40212
1400, 100 VERNON AVE, LOUISVILLE, KY, 40206
1401, 1000 LINCOLN AVE, LOUISVILLE, KY, 40208
1402, 1000 S SHELBY ST, LOUISVILLE, KY, 40203
1403, 1200 HULL ST, LOUISVILLE, KY, 40204
1404, 1300 HUNTOON AVE, LOUISVILLE, KY, 40215
1405, 1600 BARDSTOWN RD, LOUISVILLE, KY, 40205
1406, 1600 DIXDALE AVE, LOUISVILLE, KY, 40210
1407, 1600 STORY AVE, LOUISVILLE, KY, 40206
1408, 1800 BAIRD ST, LOUISVILLE, KY, 40203
1409, 200 OTTAWA AVE, LOUISVILLE, KY, 40209
1410, 200 RESERVOIR AVE, LOUISVILLE, KY, 40206
1411, 2200 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
1412, 400 AMY AVE, LOUISVILLE, KY, 40212
1413, 400 W SOUTHLAND BLVD, LOUISVILLE, KY, 40214
1414, 4100 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
1415, 4300 S 2ND ST, LOUISVILLE, KY, 40214
1416, 4400 NORENE LN, LOUISVILLE, KY, 40219
1417, 5000 SOUTHSIDE DR, LOUISVILLE, KY, 40214
1418, 6100 BARDSTOWN RD, LOUISVILLE, KY, 40291
1419, 700 E KENTUCKY ST, LOUISVILLE, KY, 40203
1420, 7900 CANDLEGLOW LN, LOUISVILLE, KY, 40214
1421, 900 E MADISON ST, LOUISVILLE, KY, 40204
1422, 900 S 5TH ST, LOUISVILLE, KY, 40203
1423, N 26TH ST / SLEVIN ST, LOUISVILLE, KY, 40212
1424, TAYLOR BLVD / I264, LOUISVILLE, KY, 40215
1425, 100 S 2ND ST, LOUISVILLE, KY, 40202
