4227, 1100 S 43RD ST, LOUISVILLE, KY, 40211
4228, 11000 BROWNSBORO RD, LOUISVILLE, KY, 40059
4229, 11700 LEEMONT DR, LOUISVILLE, KY, 40272
4230, 1200 CECIL AVE, LOUISVILLE, KY, 40211
4231, 1200 ROYAL AVE, LOUISVILLE, KY, 40204
4232, 1200 S 32ND ST, LOUISVILLE, KY, 40211
4233, 12200 SHELBYVILLE RD, LOUISVILLE, KY, 40243
4234, 1300 E WASHINGTON ST, LOUISVILLE, KY, 40206
4235, 1300 W BROADWAY, LOUISVILLE, KY, 40203
4236, 1400 LEXINGTON RD, LOUISVILLE, KY, 40206
4237, 1400 S 22ND ST, LOUISVILLE, KY, 40210
4238, 1500 DAWN DR, LOUISVILLE, KY, 40216
4239, 1500 HIGHLAND AVE, LOUISVILLE, KY, 40204
4240, 1700 CYPRESS ST, LOUISVILLE, KY, 40210
4241, 1700 RANGELAND RD, LOUISVILLE, KY, 40219
4242, 1700 RUSSELL LEE DR, LOUISVILLE, KY, 40211
4243, 1800 PAYNE ST, LOUISVILLE, KY, 40206
4244, 200 CUMBERLAND AVE, LOUISVILLE, KY, 40214
4245, 200 GHEENS AVE, LOUISVILLE, KY, 40214
4246, 200 LAWSON LN, LOUISVILLE, KY, 40214
4247, 200 MOHAWK AVE, LOUISVILLE, KY, 40209
4248, 200 N 28TH ST, LOUISVILLE, KY, 40212
4249, 200 PARADISE LN, LOUISVILLE, KY, 40258
4250, 200 W TENNY AVE, LOUISVILLE, KY, 40214
4251, 2000 FORT ST, LOUISVILLE, KY, 40217
4252, 2000 ST XAVIER ST, LOUISVILLE, KY, 40203
4253, 2000 VILLAGE DR, LOUISVILLE, KY, 40205
4254, 2100 DIXDALE AVE, LOUISVILLE, KY, 40210
4255, 2100 EASTERN PKY, LOUISVILLE, KY, 40204
4256, 2100 LANCASHIRE AVE, LOUISVILLE, KY, 40205
4257, 2100 WOODBOURNE AVE, LOUISVILLE, KY, 40205
4258, 2200 GRINSTEAD DR, LOUISVILLE, KY, 40204
4259, 2300 NORTHWESTERN PKY, LOUISVILLE, KY, 40212
4260, 2300 S 35TH ST, LOUISVILLE, KY, 40211
4261, 2400 DUNCAN ST, LOUISVILLE, KY, 40212
4262, 2500 MEADOW DR, LOUISVILLE, KY, 40218
4263, 2600 ALANMEDE RD, LOUISVILLE, KY, 40205
4264, 2800 HALE AVE, LOUISVILLE, KY, 40211
4265, 2800 W JEFFERSON ST, LOUISVILLE, KY, 40212
4266, 2900 GARFIELD AVE, LOUISVILLE, KY, 40212
4267, 300 E CHESTNUT ST, LOUISVILLE, KY, 40202
4268, 300 KENILWORTH RD, LOUISVILLE, KY, 40206
4269, 300 S 12TH ST, LOUISVILLE, KY, 40203
4270, 3000 DR WILLIAM G WEATHERS DR, LOUISVILLE, KY, 40211
4271, 3000 S 5TH ST, LOUISVILLE, KY, 40208
4272, 3800 MAMARONECK RD, LOUISVILLE, KY, 40218
4273, 3900 SHELBYVILLE RD, LOUISVILLE, KY, NA
4274, 400 POPLAR LEVEL CT, LOUISVILLE, KY, 40219
4275, 400 ROY WILKINS AVE, LOUISVILLE, KY, 40203
4276, 400 W KENWOOD DR, LOUISVILLE, KY, 40214
4277, 4000 DUTCHMANS LN, LOUISVILLE, KY, 40207
4278, 4000 LAURELWOOD AVE, LOUISVILLE, KY, 40220
4279, 4200 HALE AVE, LOUISVILLE, KY, 40211
4280, 4400 LA SALLE AVE, LOUISVILLE, KY, 40215
4281, 4500 LUNENBURG DR, LOUISVILLE, KY, 40245
4282, 4600 MELTON AVE, LOUISVILLE, KY, 40213
4283, 4600 S 2ND ST, LOUISVILLE, KY, 40214
4284, 4900 S 1ST ST, LOUISVILLE, KY, 40214
4285, 500 FORUM AVE, LOUISVILLE, KY, 40214
4286, 500 WASHBURN AVE, LOUISVILLE, KY, 40222
4287, 5100 ROEDERER DR, LOUISVILLE, KY, 40219
4288, 5100 TERRY RD, LOUISVILLE, KY, 40216
4289, 5300 VALLEY STATION RD, LOUISVILLE, KY, 40272
4290, 600 M ST, LOUISVILLE, KY, 40208
4291, 600 N 26TH ST, LOUISVILLE, KY, 40212
