address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112",23,,39.041786,-94.585531,0.7,nearest_rooftop_match,101,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64112,US,"City of Kansas City"
"1300 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64111",23,,39.041786,-94.570248,0.9,rooftop,1300,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64110,US,"City of Kansas City"
"3100 GILLHAM PL, KANSAS CITY, MO, 64111",23,,39.070272,-94.579291,0.9,rooftop,3100,"Gillham Plz","Kansas City",MO,"Jackson County",64109,US,Jackson
"4600 BROADWAY, KANSAS CITY, MO, 64111",23,,39.04395,-94.591454,0.9,range_interpolation,4600,"Broadway St","Kansas City",MO,"Jackson County",64112,US,"TIGER/Line® dataset from the US Census Bureau"
"8500 STATE LINE ROAD, KANSAS CITY, MO, 64130",23,,38.974543,-94.60873,0.9,rooftop,8500,"State Line Rd","Kansas City",MO,,64114,US,"City of Olathe"
"E 35 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64109",23,,39.062869,-94.560552,0.73,intersection,,"E 35th St","Kansas City",MO,"Jackson County",64109,US,"TIGER/Line® dataset from the US Census Bureau"
"E 54 STREET and PASEO, KANSAS CITY, MO, 64110",23,,39.028786,-94.567414,0.8,intersection,,"E 54th St","Kansas City",MO,"Jackson County",64110,US,"TIGER/Line® dataset from the US Census Bureau"
"E BANNISTER ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64137",23,,38.953278,-94.530732,0.6,intersection,,"E Bannister Rd","Kansas City",MO,"Jackson County",64137,US,"TIGER/Line® dataset from the US Census Bureau"
"GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64126",23,,39.106528,-94.557147,0.9,intersection,,"Garfield Ave","Kansas City",MO,"Jackson County",64124,US,"TIGER/Line® dataset from the US Census Bureau"
"W 47 STREET and J C NICHOLS PARKWAY, KANSAS CITY, MO, 64111",23,,39.042148,-94.588036,0.9,intersection,,"J C Nichols Pkwy","Kansas City",MO,"Jackson County",64112,US,"TIGER/Line® dataset from the US Census Bureau"
"W 6 STREET and BROADWAY, KANSAS CITY, MO, 64105",23,,39.106572,-94.588162,0.79,intersection,,"W 6th St","Kansas City",MO,"Jackson County",64105,US,"TIGER/Line® dataset from the US Census Bureau"
"100 ARROWHEAD DR, KANSAS CITY, MO, 64127",22,,39.051623,-94.492698,0.5,nearest_rooftop_match,1,"Arrowhead Dr","Kansas City",MO,"Jackson County",64129,US,Jackson
"12300 STATE LINE ROAD, KANSAS CITY, MO, 64145",22,,38.907002,-94.607824,0.9,range_interpolation,12300,"State Line Rd","Kansas City",MO,"Jackson County",64145,US,"TIGER/Line® dataset from the US Census Bureau"
"47 and JC NICHOLS PKWY, KANSAS CITY, MO, 64111",22,,39.378207,-94.794058,0.5,street_center,,"Andy St","Platte City",MO,"Platte County",64079,US,"TIGER/Line® dataset from the US Census Bureau"
"7400 STATE LINE ROAD, KANSAS CITY, MO, 64114",22,,38.994298,-94.608274,1,rooftop,7400,"State Line Rd","Kansas City",MO,,64114,US,"City of Olathe"
"8500 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152",22,,39.249659,-94.66169,0.9,rooftop,8500,"NW Prairie View Rd","Kansas City",MO,"Platte County",64153,US,"City of Kansas City"
