address_string,n,coords,google_lat,google_lon,centroid
"ARCHIBALD AVENUE and CENTRAL STREET, KANSAS CITY, MO, 64111",10,"39.0530331,-94.588613",39.0530331,-94.588613,FALSE
"BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64106",10,"39.1060927,-94.5443302",39.1060927,-94.5443302,FALSE
"BENTON BOULEVARD and LOCKRIDGE STREET, KANSAS CITY, MO, 64127",10,"39.0758757,-94.5490583",39.0758757,-94.5490583,FALSE
"BLUE PK E and CLEVELAND AVENUE, KANSAS CITY, MO, 64129",10,"39.0361726,-94.5407554",39.0361726,-94.5407554,FALSE
"BROOKLYN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64108",10,"39.0949031,-94.5562446",39.0949031,-94.5562446,FALSE
"BROOKLYN AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64106",10,"39.1064778,-94.5556723",39.1064778,-94.5556723,FALSE
"BROOKLYN AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64106",10,"39.1137704,-94.5554767",39.1137704,-94.5554767,FALSE
"COLLINS AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127",10,"39.0941827,-94.5211967",39.0941827,-94.5211967,FALSE
"E 11 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64124",10,"39.1004017,-94.5443758",39.1004017,-94.5443758,FALSE
"E 30 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",10,"39.0716676,-94.5527366",39.0716676,-94.5527366,FALSE
"E 39 STREET and WALNUT STREET, KANSAS CITY, MO, 64111",10,"39.0565457,-94.5850458",39.0565457,-94.5850458,FALSE
"E 40 STREET and TROOST AVENUE, KANSAS CITY, MO, 64129",10,"39.0543207,-94.5722154",39.0543207,-94.5722154,FALSE
"E 43 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64127",10,"39.0485006,-94.5611947",39.0485006,-94.5611947,FALSE
"E 59 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",10,"39.019953,-94.5742062",39.019953,-94.5742062,FALSE
"E 63 STREET and SWOPE PK, KANSAS CITY, MO, 64130",10,"39.0118234,-94.5423339",39.0118234,-94.5423339,FALSE
"E 71 TERRACE and BROOKLYN AVENUE, KANSAS CITY, MO, 64132",10,"38.997315,-94.5615502",38.997315,-94.5615502,FALSE
"E 85 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64132",10,"39.073899,-94.5607174",39.073899,-94.5607174,FALSE
