address_string,n,coords
"E 14 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64106",4,
"E 14 STREET and PASEO, KANSAS CITY, MO, 64106",4,
"E 15 TERRACE and WINCHESTER AVENUE, KANSAS CITY, MO, 64126",4,
"E 16 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126",4,
"E 16 TERRACE and OAKLEY AVENUE, KANSAS CITY, MO, 64124",4,
"E 18 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106",4,
"E 18 STREET and LOCUST STREET, KANSAS CITY, MO, 64109",4,
"E 18 STREET and MAIN STREET, KANSAS CITY, MO, 64106",4,
"E 18 STREET and VINE STREET, KANSAS CITY, MO, 64111",4,
"E 19 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64106",4,
"E 20 STREET and INDIANA AVENUE, KANSAS CITY, MO,",4,
"E 20 STREET and LISTER AVENUE, KANSAS CITY, MO, 64127",4,
"E 22 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64106",4,
"E 22 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64123",4,
"E 22 STREET and GILLHAM STREET, KANSAS CITY, MO, 64106",4,
"E 22 STREET and GILLHAM STREET, KANSAS CITY, MO, 64108",4,
"E 22 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64108",4,
"E 22 STREET and OAKLEY AVENUE, KANSAS CITY, MO, 64126",4,
"E 23 STREET and I 70 E TO 23 STREET RA, KANSAS CITY, MO, 64124",4,
"E 23 TRAFFICWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64127",4,
"E 24 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64107",4,
"E 24 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126",4,
"E 24 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64123",4,
"E 24 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64127",4,
"E 24 STREET and POPLAR AVE, KANSAS CITY, MO, 64128",4,
"E 25 STREET and BOOTH AVENUE, KANSAS CITY, MO, 64126",4,
"E 26 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131",4,
"E 26 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127",4,
"E 27 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64108",4,
"E 27 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64111",4,
"E 27 STREET and I 70 HIGHWAY OFF RA, KANSAS CITY, MO, 64123",4,
"E 27 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64111",4,
"E 27 TERRACE and HOLMES STREET, KANSAS CITY, MO, 64110",4,
"E 28 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64124",4,
"E 29 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127",4,
"E 29 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64128",4,
"E 29 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",4,
"E 3 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64105",4,
"E 33 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130",4,
"E 33 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127",4,
"E 33 STREET and TRACY AVENUE, KANSAS CITY, MO, 64110",4,
"E 33 STREET and WABASH AVENUE, KANSAS CITY, MO, 64111",4,
"E 34 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64127",4,
"E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110",4,
"E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64120",4,
"E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126",4,
"E 35 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64110",4,
"E 35 STREET and MERSINGTON AVENUE, KANSAS CITY, MO, 64127",4,
"E 35 STREET and S EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64128",4,
"E 35 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109",4,
"E 36 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",4,
"E 36 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131",4,
"E 37 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130",4,
"E 37 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64101",4,
"E 37 STREET and PASEO, KANSAS CITY, MO, 64111",4,
"E 38 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64109",4,
"E 38 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109",4,
"E 38 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64129",4,
"E 38 TERRACE and BLUE RIDGE COURT, KANSAS CITY, MO, 64133",4,
"E 39 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64110",4,
"E 39 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64111",4,
"E 39 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64110",4,
"E 39 STREET and QUINCY AVENUE, KANSAS CITY, MO, 64128",4,
"E 39 STREET and S EMANUEL CLEAVER II BOULEVARD S, KANSAS CITY, MO, 64129",4,
"E 39 STREET and WALNUT STREET, KANSAS CITY, MO, 64110",4,
"E 40 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64111",4,
"E 40 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64127",4,
"E 42 TERRACE and MILL STREET, KANSAS CITY, MO, 64111",4,
"E 43 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64128",4,
"E 43 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127",4,
"E 43 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64128",4,
"E 43 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64128",4,
"E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109",4,
"E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64111",4,
"E 45 STREET and LISTER AVENUE, KANSAS CITY, MO, 64128",4,
"E 45 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64128",4,
"E 46 STREET and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO,",4,
"E 46 TERRACE and MYRTLE AVENUE, KANSAS CITY, MO, 64127",4,
"E 47 TERRACE and VIRGINIA AVENUE, KANSAS CITY, MO, 64110",4,
"E 48 TERRACE and WOODLAND AVENUE, KANSAS CITY, MO, 64128",4,
"E 50 STREET and PASEO, KANSAS CITY, MO, 64110",4,
"E 55 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64131",4,
"E 55 STREET and EASTERN AVENUE, KANSAS CITY, MO, 64130",4,
"E 56 STREET and PASEO, KANSAS CITY, MO, 64130",4,
"E 56 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64130",4,
"E 57 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110",4,
"E 57 STREET and SWOPE PK, KANSAS CITY, MO, 64130",4,
"E 58 STREET and SWOPE PK, KANSAS CITY, MO, 64132",4,
"E 58 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",4,
"E 6 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64123",4,
"E 6 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64126",4,
"E 6 STREET and WALNUT STREET, KANSAS CITY, MO, 64109",4,
"E 60 TERRACE and ELMWOOD AVENUE, KANSAS CITY, MO, 64130",4,
"E 62 STREET and PROSPECT AVE, KANSAS CITY, MO, 64132",4,
"E 63 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64134",4,
"E 63 TRAFFICWAY and BLUE PK W, KANSAS CITY, MO, 64130",4,
"E 63 TRAFFICWAY and I 435 HIGHWAY, KANSAS CITY, MO, 64132",4,
"E 63 TRAFFICWAY and I 435 HIGHWAY, KANSAS CITY, MO, 64133",4,
"E 63 TRAFFICWAY and WINCHESTER AVENUE, KANSAS CITY, MO, 64132",4,
"E 66 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64138",4,
"E 67 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64132",4,
"E 69 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130",4,
"E 7 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64123",4,
"E 7 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",4,
"E 7 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64124",4,
"E 7 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123",4,
"E 75 STREET and MONROE AVENUE, KANSAS CITY, MO, 64130",4,
"E 75 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109",4,
"E 75 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131",4,
"E 75 TERRACE and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64132",4,
"E 77 STREET and HOLMES ROAD, KANSAS CITY, MO, 64130",4,
"E 79 STREET and TROOST AVENUE, KANSAS CITY, MO, 64131",4,
"E 8 STREET and NORTON AVENUE, KANSAS CITY, MO, 64126",4,
"E 8 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64124",4,
"E 80 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",4,
"E 80 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64132",4,
