address_string,n,coords,google_lat,google_lon,centroid
"S 4TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202",136,"38.2538378,-85.7570209",38.2538378,-85.7570209,FALSE
"700 S 3RD ST, LOUISVILLE, KY, 40202",135,"38.2459714,-85.7567228",38.2459714,-85.7567228,FALSE
"CAMP ST / S PRESTON ST, LOUISVILLE, KY, 40203",135,"38.2320789,-85.7498262",38.2320789,-85.7498262,FALSE
"S 1ST ST / E JEFFERSON ST, LOUISVILLE, KY, 40202",135,"38.2532957,-85.7520548",38.2532957,-85.7520548,FALSE
"5300 VALKYRIE WAY, LOUISVILLE, KY, 40272",134,"38.1071941,-85.8608243",38.1071941,-85.8608243,FALSE
"2700 BROWNSBORO RD, LOUISVILLE, KY, 40206",133,"38.2586477,-85.6973523",38.2586477,-85.6973523,FALSE
"4900 CAWOOD DR, LOUISVILLE, KY, 40218",133,"38.1805468,-85.6427845",38.1805468,-85.6427845,FALSE
"N HURSTBOURNE PKY / WESTPORT RD, LOUISVILLE, KY, 40241",133,"38.2876674,-85.5722299",38.2876674,-85.5722299,FALSE
"S 12TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203",133,"38.2526107,-85.7707268",38.2526107,-85.7707268,FALSE
"S 41ST ST / W MARKET ST, LOUISVILLE, KY, 40212",133,"38.2626392,-85.8161033",38.2626392,-85.8161033,FALSE
"W BROADWAY / CECIL AVE, LOUISVILLE, KY, 40211",133,"38.250315,-85.8206161",38.250315,-85.8206161,FALSE
"1200 SOUTHWESTERN PKY, LOUISVILLE, KY, 40211",132,"38.2420371,-85.8326019",38.2420371,-85.8326019,FALSE
"2900 HIKES LN, LOUISVILLE, KY, 40218",132,"38.2096938,-85.6422426",38.2096938,-85.6422426,FALSE
"4200 SUMMIT PLAZA DR, LOUISVILLE, KY, 40241",132,"38.3076148,-85.5793395",38.3076148,-85.5793395,FALSE
"E BROADWAY / S PRESTON ST, LOUISVILLE, KY, 40202",132,"38.2452818,-85.7475977",38.2452818,-85.7475977,FALSE
"3000 CHAMBERLAIN LN, LOUISVILLE, KY, 40241",131,"38.287662,-85.5209837",38.287662,-85.5209837,FALSE
"S 3RD ST / CENTRAL AVE, LOUISVILLE, KY, 40214",130,"38.2048126,-85.7639509",38.2048126,-85.7639509,FALSE
"W BROADWAY / DIXIE HWY, LOUISVILLE, KY, 40203",130,"38.2490001,-85.7820613",38.2490001,-85.7820613,FALSE
"3400 COVENTRY COMMONS DR, LOUISVILLE, KY, 40216",129,"38.195291,-85.844463",38.195291,-85.844463,FALSE
"GREENWOOD BOAT RAMP, LOUISVILLE, KY, 40258",128,"38.1486019,-85.9019546",38.1486019,-85.9019546,FALSE
"S 28TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40211",128,"38.2435961,-85.7993447",38.2435961,-85.7993447,FALSE
"4100 BLUE LICK CT, LOUISVILLE, KY, 40229",127,"38.0954808,-85.6954769",38.0954808,-85.6954769,FALSE
"300 E BROADWAY, LOUISVILLE, KY, 40202",126,"38.2454342,-85.7496881",38.2454342,-85.7496881,FALSE
"BARDSTOWN RD / EASTERN PKY, LOUISVILLE, KY, 40204",126,"38.2319918,-85.7093174",38.2319918,-85.7093174,FALSE
"S 12TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40203",126,"38.2553383,-85.7702438",38.2553383,-85.7702438,FALSE
"S 6TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202",125,"38.254196,-85.7603372",38.254196,-85.7603372,FALSE
"4300 POPLAR LEVEL RD, LOUISVILLE, KY, 40213",124,"38.1936599,-85.7088805",38.1936599,-85.7088805,FALSE
"4600 TIPSY CIR, LOUISVILLE, KY, 40216",124,"38.1913077,-85.8443954",38.1913077,-85.8443954,FALSE
"5100 NORTON HEALTHCARE BLVD, LOUISVILLE, KY, 40241",124,"38.3133183,-85.570376",38.3133183,-85.570376,FALSE
"S CLAY ST / E JACOB ST, LOUISVILLE, KY, 40203",124,"38.2429824,-85.7418588",38.2429824,-85.7418588,FALSE
"ALGONQUIN PKY / DIXIE HWY, LOUISVILLE, KY, 40210",123,"38.2231628,-85.7925736",38.2231628,-85.7925736,FALSE
"S 4TH ST / CENTRAL AVE, LOUISVILLE, KY, 40208",123,"38.2051007,-85.7655916",38.2051007,-85.7655916,FALSE
"S 4TH ST / IOWA AVE, LOUISVILLE, KY, 40208",122,"38.2077251,-85.7651296",38.2077251,-85.7651296,FALSE
"900 ESQUIRE ALY, LOUISVILLE, KY, 40203",121,"38.2476333,-85.7665465",38.2476333,-85.7665465,FALSE
"3600 BARDSTOWN RD, LOUISVILLE, KY, 40218",120,"38.2002198,-85.6627253",38.2002198,-85.6627253,FALSE
"CANE RUN RD / CRUMS LN, LOUISVILLE, KY, 40216",120,"38.1993186,-85.8374055",38.1993186,-85.8374055,FALSE
"E BROADWAY / S JACKSON ST, LOUISVILLE, KY, 40202",120,"38.24513,-85.7456097",38.24513,-85.7456097,FALSE
"N PRESTON ST / E WITHERSPOON ST, LOUISVILLE, KY, 40202",120,"38.2577431,-85.7454672",38.2577431,-85.7454672,FALSE
"S 4TH ST, LOUISVILLE, KY, 40208",120,"38.2171496,-85.7635091",38.2171496,-85.7635091,FALSE
"2800 FERN VALLEY RD, LOUISVILLE, KY, 40213",119,"38.1566952,-85.7128766",38.1566952,-85.7128766,FALSE
"N 26TH ST / BANK ST, LOUISVILLE, KY, 40212",119,"38.2693339,-85.7909935",38.2693339,-85.7909935,FALSE
"S 15TH ST / W OAK ST, LOUISVILLE, KY, 40210",119,"38.2366513,-85.7783848",38.2366513,-85.7783848,FALSE
"2000 W BROADWAY, LOUISVILLE, KY, 40203",118,"38.2487722,-85.7852579",38.2487722,-85.7852579,FALSE
"2400 MCKENDREE CT, LOUISVILLE, KY, 40211",118,"38.2485349,-85.793366",38.2485349,-85.793366,FALSE
"3600 7TH STREET RD, LOUISVILLE, KY, 40216",118,"38.199383,-85.797498",38.199383,-85.797498,FALSE
"DIXIE HWY / DUMESNIL ST, LOUISVILLE, KY, 40210",118,"38.236377,-85.7872043",38.236377,-85.7872043,FALSE
"S 18TH ST / W MARKET ST, LOUISVILLE, KY, 40203",118,"38.2577898,-85.7799371",38.2577898,-85.7799371,FALSE
"S 22ND ST / W MARKET ST, LOUISVILLE, KY, 40212",118,"38.25853,-85.7865734",38.25853,-85.7865734,FALSE
"S 32ND ST / GREENWOOD AVE, LOUISVILLE, KY, 40211",118,"38.24286,-85.8062166",38.24286,-85.8062166,FALSE
"S 38TH ST / W MARKET ST, LOUISVILLE, KY, 40212",118,"38.2614661,-85.8117951",38.2614661,-85.8117951,FALSE
"500 LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211",117,"38.2567016,-85.8076901",38.2567016,-85.8076901,FALSE
"DIXIE HWY / W ORMSBY AVE, LOUISVILLE, KY, 40210",116,"38.235324,-85.787627",38.235324,-85.787627,FALSE
"EASTERN PKY / S PRESTON ST, LOUISVILLE, KY, 40217",116,"38.2145892,-85.743113",38.2145892,-85.743113,FALSE
"S 3RD ST / W BROADWAY, LOUISVILLE, KY, 40202",116,"38.245967,-85.7567236",38.245967,-85.7567236,FALSE
"1900 W BROADWAY, LOUISVILLE, KY, 40203",115,"38.2490968,-85.7844547",38.2490968,-85.7844547,FALSE
"4000 BUECHEL BANK RD, LOUISVILLE, KY, 40225",115,"38.1752758,-85.6502637",38.1752758,-85.6502637,FALSE
"BISHOP LN / NEWBURG RD, LOUISVILLE, KY, 40218",115,"38.2007332,-85.6859669",38.2007332,-85.6859669,FALSE
