id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
25512,3800 LENTZ AVE,LOUISVILLE,KY,40215,Match,Exact,3800 Lentz Ave,LOUISVILLE,KY,40215,-85.78624,38.188236,96886230,R
25754,4800 RED OAK LN,LOUISVILLE,KY,40219,Match,Non_Exact,4800 Red Oak Ln,LOUISVILLE,KY,40218,-85.67244,38.17272,96858190,R
25996,6400 DUTCHMANS PKY,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25511,3800 KLONWAY CT,LOUISVILLE,KY,40220,Match,Exact,3800 Klonway Ct,LOUISVILLE,KY,40220,-85.633446,38.20619,96856824,R
25753,4800 RED MAPLE WAY,LOUISVILLE,KY,40229,Match,Exact,4800 Red Maple Way,LOUISVILLE,KY,40229,-85.6725,38.086067,96882793,R
25995,6400 DIXIE HWY,LOUISVILLE,KY,40258,Match,Exact,6400 Dixie Hwy,LOUISVILLE,KY,40258,-85.83453,38.156223,96839316,R
25514,3800 TYNEBRAE CT,LOUISVILLE,KY,40241,Match,Exact,3800 Tynebrae Ct,LOUISVILLE,KY,40241,-85.57908,38.300934,96876880,L
25756,4800 WHITE ASH CT,LOUISVILLE,KY,40229,Match,Exact,4800 White Ash Ct,LOUISVILLE,KY,40229,-85.67256,38.08558,96882796,R
25998,6400 OAK VALLEY DR,LOUISVILLE,KY,40214,Match,Exact,6400 Oak Valley Dr,LOUISVILLE,KY,40214,-85.818146,38.159447,620594577,R
25513,3800 S 4TH ST,LOUISVILLE,KY,40208,Match,Exact,3800 S 4th St,LOUISVILLE,KY,40208,-85.76774,38.199303,618509559,R
25755,4800 WALNUT HILLS DR,LOUISVILLE,KY,40299,Match,Exact,4800 Walnut Hills Dr,LOUISVILLE,KY,40299,-85.61052,38.179672,96880568,R
25997,6400 JACOB SCHOOL RD,LOUISVILLE,KY,40059,Match,Non_Exact,6400 Jacob School Rd,PROSPECT,KY,40059,-85.62435,38.343925,620668477,L
25516,3800 VILLAGE GREEN DR,LOUISVILLE,KY,40299,Match,Exact,3800 Village Green Dr,LOUISVILLE,KY,40299,-85.60621,38.192837,96890155,L
25758,4810 ANDALUSIA LN,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25515,3800 VERMONT AVE,LOUISVILLE,KY,40212,Match,Non_Exact,3800 Vermont Ave,LOUISVILLE,KY,40211,-85.813934,38.256275,632852460,L
25757,4801 OUTER LOOP,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25999,6400 OLD HEADY RD,LOUISVILLE,KY,40299,Match,Exact,6400 Old Heady Rd,LOUISVILLE,KY,40299,-85.48609,38.1497,96905295,R
25990,632 INVERNESS AVE,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
25750,4800 FOREST PARK DR,LOUISVILLE,KY,40219,Match,Exact,4800 Forest Park Dr,LOUISVILLE,KY,40219,-85.69278,38.16633,96857938,R
25992,6400 BURLWOOD DR,LOUISVILLE,KY,40229,Match,Exact,6400 Burlwood Dr,LOUISVILLE,KY,40229,-85.642166,38.114452,96882907,R
25991,6400 BASS RD,LOUISVILLE,KY,40059,No_Match,,,,,,,,,
25727,4700 CHENOWETH RUN RD,LOUISVILLE,KY,40299,Match,Exact,4700 Chenoweth Run Rd,LOUISVILLE,KY,40299,-85.55024,38.17396,620640465,R
25969,6200 BURNHAM PL,LOUISVILLE,KY,40059,Match,Non_Exact,6200 Burnham Pl,PROSPECT,KY,40059,-85.6278,38.351517,96978415,R
25726,4700 ASTOR RD,LOUISVILLE,KY,40218,Match,Exact,4700 Astor Rd,LOUISVILLE,KY,40218,-85.69059,38.18611,96857748,R
25968,6200 BASS RD,LOUISVILLE,KY,40059,No_Match,,,,,,,,,
25729,4700 GOEPPER RD,LOUISVILLE,KY,40258,Match,Exact,4700 Goepper Rd,LOUISVILLE,KY,40258,-85.8423,38.154022,96838850,L
25728,4700 CRITTENDEN DR,LOUISVILLE,KY,40209,Match,Exact,4700 Crittenden Dr,LOUISVILLE,KY,40209,-85.7503,38.18228,96850174,R
25961,6100 RODES DR,LOUISVILLE,KY,40222,Match,Exact,6100 Rodes Dr,LOUISVILLE,KY,40222,-85.64131,38.28969,96854470,R
25960,6100 OLD HEADY RD,LOUISVILLE,KY,40299,Match,Exact,6100 Old Heady Rd,LOUISVILLE,KY,40299,-85.49958,38.16055,96990018,R
25721,4600 S 5TH ST,LOUISVILLE,KY,40214,Match,Exact,4600 S 5th St,LOUISVILLE,KY,40214,-85.76903,38.1854,612629150,R
25963,6100 STONE BLUFF RD,LOUISVILLE,KY,40291,Match,Exact,6100 Stone Bluff Rd,LOUISVILLE,KY,40291,-85.621765,38.16068,96860218,R
25720,4600 RIVER RD,LOUISVILLE,KY,40222,Match,Exact,4600 River Rd,LOUISVILLE,KY,40222,-85.66192,38.303463,96840243,R
