BLOCK_ADDRESS,geocode_city,geocode_state,ZIP_CODE,.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
"100 BLUE CREEK CT",Louisville,Kentucky,40229,49,38.104055,-85.697434,1,range_interpolation,100,"Blue Creek Ct",Louisville,KY,"Jefferson County",40229,US
"100 BLUE FIELDS RD",Louisville,Kentucky,40223,9,38.244758,-85.566203,1,range_interpolation,100,"Blue Fields Rd",Louisville,KY,"Jefferson County",40223,US
"100 BLUE RIDGE RD",Louisville,Kentucky,40223,7,38.245415,-85.566141,1,range_interpolation,100,"Blue Ridge Rd",Louisville,KY,"Jefferson County",40223,US
"100 BONNIE LN",Louisville,Kentucky,40218,6,38.189229,-85.639316,1,range_interpolation,100,"Bonnie Ln",Louisville,KY,"Jefferson County",40218,US
"100 BOSTON CT",Louisville,Kentucky,40212,38,38.264671,-85.817096,1,range_interpolation,100,"Boston Ct",Louisville,KY,"Jefferson County",40212,US
"100 BRAMTON RD",Louisville,Kentucky,40207,3,38.25131,-85.629961,1,range_interpolation,100,"Bramton Rd",Louisville,KY,"Jefferson County",40207,US
"100 BRECKENRIDGE LN",Louisville,Kentucky,40207,72,38.252633,-85.655293,1,range_interpolation,100,"Breckenridge Ln",Louisville,KY,"Jefferson County",40207,US
"100 BRECKINRIDGE SQ",Louisville,Kentucky,40220,48,38.224691,-85.636534,1,range_interpolation,100,"Breckinridge Sq",Louisville,KY,"Jefferson County",40220,US
"100 BRECKINRIDGE ST",Louisville,Kentucky,40203,2,38.241203,-85.75414,1,range_interpolation,100,"Breckinridge Sq",Louisville,KY,"Jefferson County",40203,US
"100 BROADWAY",Louisville,Kentucky,40202,2,38.246105,-85.7608,0.8,street_center,,"Us Hwy 150",Louisville,KY,"Jefferson County",40202,US
"100 BROOKSIDE DR",Louisville,Kentucky,40243,1,38.247173,-85.554307,0.8,street_center,,"Brookside Dr",Louisville,KY,"Jefferson County",40243,US
"100 BUCHANAN ST",Louisville,Kentucky,40206,2,38.255255,-85.729998,1,range_interpolation,100,"Buchanan St",Louisville,KY,"Jefferson County",40206,US
"100 BULLITT LN",Louisville,Kentucky,40222,10,38.246661,-85.613562,1,range_interpolation,100,"Bullitt Ln",Louisville,KY,"Jefferson County",40222,US
"100 BURNLEY RD",Louisville,Kentucky,40243,2,38.24423,-85.551383,1,range_interpolation,100,"Burnley Rd",Louisville,KY,"Jefferson County",40243,US
"100 BURNSDALE RD",Louisville,Kentucky,40243,5,38.244525,-85.55478,1,range_interpolation,100,"Burnsdale Rd",Louisville,KY,"Jefferson County",40243,US
"100 BUTTERCUP RD",Louisville,Kentucky,40218,9,38.177346,-85.627264,1,range_interpolation,100,"Buttercup Rd",Louisville,KY,"Jefferson County",40218,US
"100 CABEL ST",Louisville,Kentucky,40206,4,38.256155,-85.727943,1,range_interpolation,100,"Cabel St",Louisville,KY,"Jefferson County",40206,US
"100 CALDWELL ST",Louisville,Kentucky,40203,100,38.239766,-85.754392,1,range_interpolation,100,"E Caldwell St",Louisville,KY,"Jefferson County",40203,US
"100 CALUMET DR",Louisville,Kentucky,40214,3,38.13028,-85.760904,1,range_interpolation,100,"Calumet Dr",Louisville,KY,"Jefferson County",40214,US
"100 CAMBRIDGE DR",Louisville,Kentucky,40214,15,38.161529,-85.764827,1,range_interpolation,100,"Cambridge Dr",Louisville,KY,"Jefferson County",40214,US
"100 CANNONS LN",Louisville,Kentucky,40206,14,38.253909,-85.670468,1,range_interpolation,100,"Cannons Ln",Louisville,KY,"Jefferson County",40206,US
"100 CAREY AVE",Louisville,Kentucky,40218,2,38.190689,-85.638767,1,range_interpolation,100,"Carey Ave",Louisville,KY,"Jefferson County",40218,US
"100 CASA BELLA CT",Louisville,Kentucky,40220,20,38.216686,-85.630875,1,range_interpolation,100,"Casa Bella Ct",Louisville,KY,"Jefferson County",40220,US
"100 CENTRAL AVE",Louisville,Kentucky,40208,1,38.203132,-85.750753,1,range_interpolation,100,"Central Ave",Louisville,KY,"Jefferson County",40209,US
"100 CENTRAL AVE",Louisville,Kentucky,40209,100,38.203132,-85.750753,1,range_interpolation,100,"Central Ave",Louisville,KY,"Jefferson County",40209,US
"100 CENTRAL AVE",Louisville,Kentucky,40217,1,38.203132,-85.750753,1,range_interpolation,100,"Central Ave",Louisville,KY,"Jefferson County",40209,US
"100 CHANCERY CT",Louisville,Kentucky,40222,1,38.246318,-85.58626,1,range_interpolation,100,"Chancery Ct",Louisville,KY,"Jefferson County",40222,US
"100 CHANTILLY AVE",Louisville,Kentucky,40214,7,38.129625,-85.768125,1,range_interpolation,100,"Chantilly Ave",Louisville,KY,"Jefferson County",40214,US
"100 CHARIOT CT",Louisville,Kentucky,40219,17,38.126716,-85.664743,1,range_interpolation,100,"Chariot Ct",Louisville,KY,"Jefferson County",40219,US
"100 CHARLESTOWN CT",Louisville,Kentucky,40243,7,38.242936,-85.554447,1,range_interpolation,100,"Charlestown Ct",Louisville,KY,"Jefferson County",40243,US
"100 CHARLTON WYNDE DR",Louisville,Kentucky,40245,3,38.239211,-85.496511,1,range_interpolation,100,"Charlton Wynde Dr",Louisville,KY,"Jefferson County",40245,US
"100 CHARTER OAKS DR",Louisville,Kentucky,40241,34,38.302144,-85.548282,1,range_interpolation,100,"Charteroaks Dr",Louisville,KY,"Jefferson County",40241,US
"100 CHATTANOOGA AVE",Louisville,Kentucky,40214,4,38.128707,-85.768437,1,range_interpolation,100,"Chattanooga Ave",Louisville,KY,"Jefferson County",40214,US
"100 CHESTNUT ST",Louisville,Kentucky,40214,1,38.248551,-85.752917,1,range_interpolation,100,"W Chestnut St",Louisville,KY,"Jefferson County",40202,US
"100 CHIPPING WAY",Louisville,Kentucky,40222,5,38.245575,-85.584689,1,range_interpolation,100,"Chipping Way",Louisville,KY,"Jefferson County",40222,US
"100 CLAREMONT AVE",Louisville,Kentucky,40206,10,38.254847,-85.677075,1,range_interpolation,100,"Claremont Ave",Louisville,KY,"Jefferson County",40206,US
"100 COLLEGE CT",Louisville,Kentucky,40203,2,38.240724,-85.764851,1,range_interpolation,100,"College Ct",Louisville,KY,"Jefferson County",40203,US
"100 COLONIAL OAKS CT",Louisville,Kentucky,40214,36,38.174102,-85.763084,1,range_interpolation,100,"Colonial Oaks Ct",Louisville,KY,"Jefferson County",40214,US
"100 CORAL AVE",Louisville,Kentucky,40206,40,38.255136,-85.711084,1,range_interpolation,100,"Coral Ave",Louisville,KY,"Jefferson County",40206,US
"100 CORAL CT",Louisville,Kentucky,40206,6,38.255136,-85.711084,1,range_interpolation,100,"Coral Ct",Louisville,KY,"Jefferson County",40206,US
"100 COUNTRY ACRES",Louisville,Kentucky,40218,10,38.183208,-85.628072,1,range_interpolation,100,"Country Acres",Louisville,KY,"Jefferson County",40218,US
"100 CRESCENT AVE",Louisville,Kentucky,40206,23,38.254957,-85.686773,1,range_interpolation,100,"Crescent Ave",Louisville,KY,"Jefferson County",40206,US
"100 CRESCENT CT",Louisville,Kentucky,40206,10,38.254419,-85.686428,1,range_interpolation,100,"Crescent Ct",Louisville,KY,"Jefferson County",40206,US
"100 CRESTWOOD AVE",Louisville,Kentucky,40206,15,38.254216,-85.676366,1,range_interpolation,100,"Crestwood Ave",Louisville,KY,"Jefferson County",40206,US
"100 CREWS DR",Louisville,Kentucky,40218,11,38.180383,-85.62563,1,range_interpolation,100,"Crews Dr",Louisville,KY,"Jefferson County",40218,US
"100 CROP CT",Louisville,Kentucky,40212,6,38.26145,-85.79233,1,range_interpolation,100,"Crop Ct",Louisville,KY,"Jefferson County",40212,US
