BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
8700 STOCKPORT RD,2,,,,,,,,1,3
8900 COLTSFOOT TRCE,,,,,,2,,1,,3
8900 CREEK WAY CT,,1,,1,,,,,1,3
8900 WOODBRIDGE MEADOWS CT,2,1,,,,,,,,3
900 AMBRIDGE DR,,1,,,,,,,2,3
900 NORTON AVE,1,,1,1,,,,,,3
900 RIVER RD,,1,1,1,,,,,,3
900 ST PAUL CT,,,1,,,,,1,1,3
900 TAMARISK CT,2,1,,,,,,,,3
9000 COLTSFOOT TRCE,,,,1,1,,,1,,3
9000 INDEPENDENCE SCHOOL RD,,,2,1,,,,,,3
9000 WESTPORT RD,2,,1,,,,,,,3
9100 BLUE BOULDER CT,,,,,,,,2,1,3
9100 DARLEY DR,,1,,,,,,,2,3
9100 MARIAN CT,,3,,,,,,,,3
9100 THIXTON LN,,1,2,,,,,,,3
9113 BROOKWOOD PATH,,3,,,,,,,,3
9300 BERGAMOT DR,,,,3,,,,,,3
9300 CROSS MEADOWS CIR,,,,,,,,,3,3
9300 FIESTA WAY,,,,2,,,,,1,3
9300 HI VIEW LN,,,,1,,,,,2,3
9300 HURSTBOURNE PARK BLVD,,2,1,,,,,,,3
9500 CHAMBERS WAY,2,,1,,,,,,,3
9500 HI VIEW LN,,1,,2,,,,,,3
9700 GALLATIN CT,,,2,,,,,,1,3
9700 SOMERFORD RD,,2,,1,,,,,,3
9700 WINGFIELD RD,,,,3,,,,,,3
9800 FAIRMOUNT RD,,,1,1,,,,,1,3
9800 SEATONVILLE RD,,,3,,,,,,,3
9800 SPRINGBARK DR,,,2,1,,,,,,3
9900 FERN CREEK RD,1,,2,,,,,,,3
9900 PARK LAKE CIR,,,3,,,,,,,3
9900 PENTEL LN,,1,,,,,,,2,3
9900 PRESTON HWY,2,,1,,,,,,,3
ABELL AVE / KNOPP AVE,1,,1,1,,,,,,3
ABIGAIL DR / DUTCHMANS LN,1,1,1,,,,,,,3
AFTERGLOW DR / ANDLE CT,,,1,2,,,,,,3
AINTREE WAY / FOXY POISE RD,3,,,,,,,,,3
ALEXANDER AVE / KESWICK BLVD,,,,1,,,,,2,3
ALLEN AVE / GATHWRIGHT DR,,,3,,,,,,,3
AMBRIDGE DR / PENWERN CT,3,,,,,,,,,3
ANITA BLVD / GRANADA DR,,3,,,,,,,,3
ANITA BLVD / MID DR,1,,2,,,,,,,3
ANTLE DR / OLD PRESTON HWY,2,1,,,,,,,,3
APPLEGATE LN / JOYCE DR,2,,1,,,,,,,3
AQUA LN / NORTHGATE RD,,,,3,,,,,,3
ARDEN RD / ESSEX RD,3,,,,,,,,,3
ARISTIDES DR / MATTHEWS RD,,2,1,,,,,,,3
ARMSMERE WAY,3,,,,,,,,,3
ARTHUR ST / E BLOOM ST,1,,,1,,,,,1,3
ARVIS DR,3,,,,,,,,,3
ARVIS DR / MCGEE DR,,2,1,,,,,,,3
ASHLEYWOOD DR / BARBOUR LN,3,,,,,,,,,3
ASPENVIEW CT / WILLOWVIEW BLVD,2,1,,,,,,,,3
ASPENWOOD AVE / OVERLOOK DR,,,3,,,,,,,3
ATHENS DR / POPLAR LEVEL RD,1,2,,,,,,,,3
AYLESBURY DR / GOOSE CREEK RD,,,2,,,,,,1,3
BALLARDSVILLE RD / HITT RD,,1,1,1,,,,,,3
BARBOUR LN / WOLF PEN BRANCH RD,1,,,2,,,,,,3
BARDSTOWN RD / WENDELL AVE,1,2,,,,,,,,3
BARRET AVE / MERCY WAY,1,,2,,,,,,,3
BAXTER AVE / BARDSTOWN RD,,2,1,,,,,,,3
BEARCAMP RD / BLEVINS GAP RD,,2,1,,,,,,,3
BECKER AVE / MARION AVE,,1,1,,,,,,1,3
BEDUM LN / FEYHURST DR,,,3,,,,,,,3
BEECHBROOK RD / BEECHBROOK CT,3,,,,,,,,,3
BELLS LN / I264W,,2,,1,,,,,,3
BELMAR DR / CARDINAL DR,,,,1,,,,,2,3
BELMAR DR / SHERMAN AVE,1,1,1,,,,,,,3
BERKSHIRE AVE / ESTHER BLVD,3,,,,,,,,,3
BERNHEIM LN / WINGFIELD AVE,1,,,2,,,,,,3
BERRY HILL RD / TUCKER STATION RD,2,,1,,,,,,,3
BETHANY LN / BLAZE WAY,1,1,,1,,,,,,3
BEULAH CHURCH RD / CEDAR SPRINGS DR,1,2,,,,,,,,3
BEULAH CHURCH RD / COOPER CHAPEL RD,1,1,,1,,,,,,3
BEULAH CHURCH RD / DELCOUR WAY,,,,3,,,,,,3
BEULAH CHURCH RD / GLASER LN,2,,1,,,,,,,3
BEULAH CHURCH RD / STONE BROOK DR,,1,2,,,,,,,3
BICKEL RD / CRESCENT SPRING DR,1,,,2,,,,,,3
BISHOP LN / RADIO DR,,,,,,,,,3,3
BLACK OAK LN / RONNIE AVE,1,,,2,,,,,,3
BLAND ST / MERIWETHER AVE,,2,,,,,,,1,3
BLANTON LN / ROSEMARY LN,1,2,,,,,,,,3
BLAZE WAY / NOCTURNE DR,,,,3,,,,,,3
BLOSSOM LN / HERMITAGE WAY,3,,,,,,,,,3
BLUE LICK RD / I265,1,,,,,,,,2,3
BLUEBONNET RD / DAFFODIL DR,,,,1,,,,,2,3
BLUEGRASS AVE / WHEELER AVE,,1,,1,,,,,1,3
BOST LN / LONGBRANCH CT,,,1,,,,,,2,3
BOST LN / TIMBER HOLLOW DR,1,,,1,,,,,1,3
BOULEVARD NAPOLEON / DOUGLASS BLVD,3,,,,,,,,,3
BRADLEY AVE / DUVALL ST,3,,,,,,,,,3
BRADLEY AVE / LILLY AVE,,,1,,,,,,2,3
BRADLEY AVE / PENGUIN ST,,,,,,,,,3,3
BRECKENRIDGE LN / HILLSBORO RD,,,,,,,,,3,3
BRECKENRIDGE LN / PLYMOUTH RD,,,2,1,,,,,,3
BRENTWOOD AVE / WARREN AVE,,,3,,,,,,,3
BRIDGE - I265S / LEWIS AND CLARK,,,,,,,,,3,3
BRIDGE - I64W / CLARK MEMORIAL,2,,1,,,,,,,3
BRIDGE - I65S / LINCOLN,,,,,,,,3,,3
BRIGHTON SPRINGS LN / SEATONVILLE RD,3,,,,,,,,,3
BROADLEAF DR,3,,,,,,,,,3
BROOKSIDE DR / SHELBYVILLE RD,,2,,1,,,,,,3
BROWNSBORO RD / CHATTESWORTH LN,3,,,,,,,,,3
BROWNSBORO RD / MOCKINGBIRD GARDENS DR,2,,1,,,,,,,3
BROWNSBORO RD / OLD BROWNSBORO RD,,2,1,,,,,,,3
BROWNSBORO RD / WORTHINGTON GLEN DR,,2,,1,,,,,,3
BROWNSBORO RD//264E,,,,,,,,,3,3
BRUSH RUN RD / ECHO TRL,2,,1,,,,,,,3
BUECHEL BANK RD,3,,,,,,,,,3
BUECHEL BYP / BUECHEL BYPASS RAMP,3,,,,,,,,,3
BUNSEN PKY / SWOPE AUTOCENTER DR,2,1,,,,,,,,3
CAMDEN AVE / HENRY AVE,1,,,2,,,,,,3
CANE RUN RD / I264W,,1,,2,,,,,,3
CANE RUN RD / WINSTEAD DR,,3,,,,,,,,3
CANNONS LN / CENTURY DIVISION WAY,3,,,,,,,,,3
CANNONS LN / FENLEY AVE,,1,,2,,,,,,3
CANNONS LN / I64E,2,,,1,,,,,,3
CANNONS LN / OLD CANNONS LN,1,,1,,,,,,1,3
CANNONS LN S / I64W,,2,1,,,,,,,3
CANTER RIDGE CT / DORSEY WAY,1,,2,,,,,,,3
CARDINAL DR / CROSS BILL RD,,,,3,,,,,,3
CARMACK CT / DOYLE DR,,,,3,,,,,,3
CAROL RD / HIKES LN,1,,2,,,,,,,3
CAROLINA AVE / WOODBOURNE AVE,2,,,1,,,,,,3
CAROLINA CROSSINGS WAY / SHEPHERDSVILLE RD,,,3,,,,,,,3
CARSON WAY / TAYLORSVILLE RD,,2,,1,,,,,,3
CASPER DR / GOALBY DR,,3,,,,,,,,3
CATHEEN WAY / GLORIA LN,,3,,,,,,,,3
CAVEN AVE,3,,,,,,,,,3
CEDAR CREEK RD / MOUNT WASHINGTON RD,,1,,2,,,,,,3
CEDAR CT / S 11TH ST,1,1,1,,,,,,,3
CENTRAL AVE / S 3RD ST,,2,1,,,,,,,3
CHAMBERLAIN LN / NORTON COMMONS BLVD,1,1,,,,,,,1,3
CHAMBERLAIN LN / POINTE BAY BLVD,3,,,,,,,,,3
CHAMBERLAIN LN / SHENANDOAH DR,1,1,,1,,,,,,3
CHAMBERLAIN LN / WOLF PEN BRANCH RD,1,1,1,,,,,,,3
CHAMPIONS TRACE LN / FOUNTAIN DR,3,,,,,,,,,3
CHARLOTTE ANN DR / S CRUMS LN,,,,1,,,,,2,3
CHEROKEE RD,3,,,,,,,,,3
CHEROKEE TER / SPEED AVE,,,,3,,,,,,3
CHESTNUT GLEN DR / SHELBYVILLE RD,1,,,1,,,,,1,3
CIMMARON TRL / FARNHAM DR,1,2,,,,,,,,3
CIVIC WAY / FEATHERBELL BLVD,3,,,,,,,,,3
CLARA AVE / GLENDALE AVE,,,1,2,,,,,,3
CLARION CT / POPLAR VIEW DR,,1,1,,,,,,1,3
CLAVER CT / CEDAR CT,1,2,,,,,,,,3
COD DR / YOUNGTOWN DR,,3,,,,,,,,3
COLUMBIA AVE / WASHBURN AVE,3,,,,,,,,,3
COMMERCE CROSSINGS DR / COOPER CHAPEL RD,1,1,1,,,,,,,3
CORINTH WAY / OAKLAWN LN,,,3,,,,,,,3
COTTINGHAM WAY / SEAFORTH DR,,,3,,,,,,,3
COUNTRY CLUB RD / UNIVERSITY AVE,,,,,,,,,3,3
COUNTRY CLUB RD / ZORN AVE,2,1,,,,,,,,3
CRAWFORD AVE,2,1,,,,,,,,3
CRAWFORD AVE / SIX MILE LN,1,,,2,,,,,,3
CRESTWOOD AVE / FRANKFORT AVE,,,2,1,,,,,,3
CRITTENDEN DR / FERN VALLEY RD,2,,,1,,,,,,3
CYPRESS ST / ALGONQUIN PKY,,2,1,,,,,,,3
CYPRESS ST / OREGON AVE,1,,,2,,,,,,3
DAHLIA DR,1,2,,,,,,,,3
DAKOTA ST / PARK BLVD,,,,3,,,,,,3
DARBYSHIRE RD / NEW LA GRANGE RD,3,,,,,,,,,3
DATURA LN / MANGO DR,,,,3,,,,,,3
DAYTONA AVE / LARCHMONT AVE,,,,3,,,,,,3
DEA DEA DR / STANALOUISE DR,,,,,,,,,3,3
DEARCY AVE / QUEEN AVE,,,,3,,,,,,3
DEBARR ST / RUBEL AVE,,1,2,,,,,,,3
DELIGHTFUL WAY / HAPPINESS WAY,3,,,,,,,,,3
DELOR AVE / TEXAS AVE,,,,,,,,,3,3
DEMPLEY AVE / JOHNSONTOWN RD,,,,3,,,,,,3
DISTRIBUTION DR / GREENBELT HWY,,3,,,,,,,,3
DIXIE HWY / BONNYVILLE BLVD,,3,,,,,,,,3
DIXIE HWY / I 265 RAMP,3,,,,,,,,,3
DORA DR / PAGEANT WAY,,,3,,,,,,,3
DOROTHY AVE / VILLAGE DR,1,,2,,,,,,,3
DOWNING WAY / SUNDER AVE,,,,,,,,,3,3
DR W J HODGE ST / PLYMOUTH CT,,1,,,,1,,,1,3
DR WILLIAM G WEATHERS DR / LYMAN JOHNSON DR,1,,,2,,,,,,3
DUNBARTON WYNDE / NEWBURG RD,1,,1,1,,,,,,3
DUNCAN ST / N 26TH ST,1,2,,,,,,,,3
DUNCAN ST / N 40TH ST,,3,,,,,,,,3
DURRETT LN,3,,,,,,,,,3
E KENTUCKY ST / S BROOK ST,,3,,,,,,,,3
E ORMSBY AVE / S BROOK ST,,,3,,,,,,,3
E PAGES LN / STONELANDING PL,1,,2,,,,,,,3
E WHEATMORE DR / S WHEATMORE DR,1,,2,,,,,,,3
E WITHERSPOON ST / N FLOYD ST,,2,1,,,,,,,3
EARLHAM DR / ASHMOOR LN,,3,,,,,,,,3
ECHO TRL / THURMAN RD,1,,1,1,,,,,,3
ELEANOR AVE / WOODBOURNE AVE,1,,,1,,,,,1,3
ELLIS WAY / STANTON BLVD,3,,,,,,,,,3
ELMORE ST / GRASTON AVE,1,,,2,,,,,,3
ESKRIDGE LN / MANSLICK RD,,,3,,,,,,,3
ETAWAH AVE / LA GRANGE RD,2,1,,,,,,,,3
EVANGELINE AVE / MILES AVE,,,,3,,,,,,3
EVERGREEN RD/SHELBYVILLE RD,,,,3,,,,,,3
EXETER AVE,2,,,1,,,,,,3
FAIRGROUND RD / KEEGAN WAY,,,,,,,,,3,3
FALLING TREE WAY / TIMBERWOOD CIR,3,,,,,,,,,3
FAMOUS WAY / PINA WAY,,,2,1,,,,,,3
FEGENBUSH LN / PEPPERMILL LN,1,,,2,,,,,,3
FENLEY AVE,2,1,,,,,,,,3
FENLEY AVE / VINE CREST AVE,,,3,,,,,,,3
FENSKE LN / KENHURST DR,1,,2,,,,,,,3
FERNDALE RD / BARDSTOWN RD,3,,,,,,,,,3
FEYS DR / UPPER HUNTERS TRCE,1,2,,,,,,,,3
FINZER ST / S CLAY ST,1,2,,,,,,,,3
FISHERMANS PARK,,,,,,,,,3,3
FOREMAN LN / WOODBURY DR,,,,,,,,,3,3
FOREST GREEN BLVD / ORMSBY STATION RD,,1,,2,,,,,,3
FOREST HILL DR,1,2,,,,,,,,3
FOREST PLACE CT / SHELBYVILLE RD,,,3,,,,,,,3
FOX HARBOR RD / U S HIGHWAY 42,1,,2,,,,,,,3
FOXGATE RD / WARD AVE,2,,1,,,,,,,3
FRANKLIN ST / N WENZEL ST,1,,,1,,,,,1,3
FREEPORT CT / TRADE PORT DR,,1,1,1,,,,,,3
GARDEN GREEN WAY / GENERAL LN,2,,1,,,,,,,3
GARLAND AVE / S 42ND ST,,3,,,,,,,,3
GEORGE HAUCK WAY / GOSS AVE,,,2,1,,,,,,3
GLO JEAN WAY / SANTA FE TRL,2,1,,,,,,,,3
GOOSE CREEK RD / TEN BROECK WAY,1,1,,1,,,,,,3
GRAF DR / POMEROY DR,1,2,,,,,,,,3
GRAND AVE / S 26TH ST,,3,,,,,,,,3
GRAND AVE / S 32ND ST,,2,1,,,,,,,3
GRANGER RD / HOGAN LN,,,,3,,,,,,3
GRASTON AVE / LANDRUM AVE,,2,,1,,,,,,3
GRECIAN RD / HANEY WAY,2,,,,,,,,1,3
GREEN ACRES DR / LOWER HUNTERS TRCE,,,,1,,,,,2,3
GREENVIEW CT / GREENVIEW DR,3,,,,,,,,,3
GREENWOOD RD / WESTBROOK RD,2,,,,,,,,1,3
GRINSTEAD DR / ETLEY AVE,,2,1,,,,,,,3
GRINSTEAD DR / KENNEDY AVE,2,1,,,,,,,,3
GRISSOM WAY / TITAN DR,,,,3,,,,,,3
HALLSDALE DR / SUFFOLK LN,,,,3,,,,,,3
HAMPDEN CT / SPEED AVE,1,,,1,,,,,1,3
HARMONY RD / TAYLORSVILLE RD,3,,,,,,,,,3
HARNED AVE / KURTZ AVE,,3,,,,,,,,3
HARRISON AVE,1,1,1,,,,,,,3
HARRODS OLD TRCE / TAYLORSVILLE RD,3,,,,,,,,,3
HATHAWAY AVE / PEACHTREE AVE,1,,2,,,,,,,3
HAZELWOOD AVE / BICKNELL AVE,1,1,1,,,,,,,3
HENRY AVE / CARLISLE AVE,,2,1,,,,,,,3
HENRY FIRPO ST / S SHELBY ST,1,2,,,,,,,,3
HERITAGE PL / MANSLICK RD,1,,,,,,,,2,3
HERR LN / LIME KILN LN,3,,,,,,,,,3
HICKORY ST / E BURNETT AVE,1,2,,,,,,,,3
HIGH WICKHAM PL / TERRA VIEW TRL,,,,,1,1,,1,,3
HIGHLAND AVE / CHEROKEE RD,,3,,,,,,,,3
HIGHLAND AVE / EDWARD ST,,2,1,,,,,,,3
HIKES LN / YOUNGWOOD RD,1,1,1,,,,,,,3
HILLCREST AVE / ZORN AVE,2,1,,,,,,,,3
HILLCROSS DR / HILLPARK DR,,,1,1,,,,,1,3
HOBBLEBUSH ST / MEETING ST,1,,2,,,,,,,3
HOLLY LAKE DR / CEDAR LAKE DR,,,3,,,,,,,3
HOMESTEAD DR / E KENWOOD DR,,2,1,,,,,,,3
HORNBEAM BLVD / MEADOW SWEET WAY,,,,3,,,,,,3
HUDSON LN / BARDSTOWN RD,,3,,,,,,,,3
HUDSON LN / MICHAEL EDWARD DR,1,,1,,,,,,1,3
HUNSINGER LN,3,,,,,,,,,3
HUNSINGER LN / SIX MILE LN,1,,,,,,,,2,3
I 0064,,,,,1,2,,,,3
I 0264/ MM 13.8,,,,,,,,3,,3
I 264 RAMP / BROWNSBORO RD,3,,,,,,,,,3
I 264 RAMP / I 264 EAST,1,,,2,,,,,,3
I 264 RAMP / I 264 WEST,,1,,2,,,,,,3
I 264 RAMP / W MUHAMMAD ALI BLVD,,,2,,1,,,,,3
I 265 NORTH / I 265 RAMP,,,,3,,,,,,3
I 265 RAMP / KY-841,,1,2,,,,,,,3
I 64 EAST / I 64 EAST,2,1,,,,,,,,3
I 64 RAMP / GRINSTEAD DR,3,,,,,,,,,3
I 64 RAMP / S HURSTBOURNE PKY,2,1,,,,,,,,3
I 65 RAMP / I 65 NORTH,,,,,,2,1,,,3
I264E / BELLS LN,1,,,1,,,,1,,3
I264E / CANE RUN RD,1,1,1,,,,,,,3
I264E / CANE RUN RD (SHIVELY SIDE),,,,,,,,3,,3
I264E / I71S,,,1,1,,,,1,,3
I264E / POPLAR LEVEL RD N,2,1,,,,,,,,3
I264W / ALI,,,1,1,,,1,,,3
I264W / CANE RUN RD,,,,,,1,2,,,3
I264W / I64 EE,,,,,,1,1,,1,3
I264W / POPLAR LEVEL RD S,1,2,,,,,,,,3
I264W / RALPH AVE,1,,,,,2,,,,3
I264W EXIT 11,,,,,3,,,,,3
I265N / I65S,1,,2,,,,,,,3
I265S / CHAMBERLAIN LN,2,,,,,,,1,,3
I64 / I65N,,,,,1,1,1,,,3
I64 / I65S,,,,,,,,3,,3
I64E / PAYNE ST,1,,,,,,,,2,3
I64W / HURSTBOURNE PKY EAST SIDE IN JTN,1,,1,,,,,1,,3
I65N / WARNOCK ST,,,1,1,1,,,,,3
I65S / HUTCHERSON DR,2,,1,,,,,,,3
I65S EXIT 125,,,,,,,,,3,3
I71N / I264W,2,,,1,,,,,,3
I71N EXIT 2,,,,,,,,2,1,3
I71S / COUNTY LINE,,1,1,,,,,1,,3
I71S / I265N,2,1,,,,,,,,3
INVERNESS AVE,,3,,,,,,,,3
JAMES RD / PHILLIPS LN,2,1,,,,,,,,3
JARVIS WOODS CT / ZORN AVE,,2,1,,,,,,,3
JEFFERSON CT / PRESTON HWY,1,,1,1,,,,,,3
JOHN PAUL CT / JOHN PAUL LN,,,,3,,,,,,3
JOHNSONTOWN RD / ALEXANDER AVE,,2,1,,,,,,,3
KENNY BLVD / MARY ELLEN DR,,,,,,,,,3,3
KENTON AVE / RESERVOIR AVE,,,1,2,,,,,,3
KENTUCKY AVE,3,,,,,,,,,3
KERRY DR / BASHFORD MANOR LN,,3,,,,,,,,3
KERRY DR / PEABODY LN,2,,,1,,,,,,3
KEYS FERRY RD / W MANSLICK RD,,1,,,,,,,2,3
KILMORY AVE / NEW WAY,,1,,,,,,,2,3
KNOXSHIRE PL / SKYVIEW DR,,,,,,,,,3,3
KRANET WAY / SEBREE LN,2,1,,,,,,,,3
LA GRANGE RD / CHAMBERLAIN,,,,3,,,,,,3
LA GRANGE RD / LUCAS LN,3,,,,,,,,,3
LA GRANGE RD / REAMERS RD,2,1,,,,,,,,3
LA GRANGE RD / ROOSEVELT AVE,1,2,,,,,,,,3
LA GRANGE RD / SADDLECREEK DR,2,,1,,,,,,,3
LA GRANGE RD / WASHINGTON BLVD,1,2,,,,,,,,3
LAKE FOREST PKY / OAK BRANCH RD,,,,1,,,,,2,3
LAMPTON ST / S JACKSON ST,2,,1,,,,,,,3
LARUE AVE / PRESTON HWY,,3,,,,,,,,3
LAURELWOOD AVE / HILLBROOK DR,,3,,,,,,,,3
LEES LN / ROCKFORD LN,2,,1,,,,,,,3
LEESGATE RD,,2,1,,,,,,,3
LENTZ AVE / SQUIRES DR,1,1,1,,,,,,,3
LESANE DR / SCOTTSDALE BLVD,1,,1,1,,,,,,3
LESTER AVE / SOUTHGATE AVE,,2,1,,,,,,,3
LEXINGTON RD / LEXINGTON CIR,,3,,,,,,,,3
LEXINGTON RD / RAINBOW DR,1,1,,1,,,,,,3
LEXINGTON RD / WALLACE AVE,2,,,1,,,,,,3
LIBERTY CT / S 12TH ST,,3,,,,,,,,3
LINDA RD / ST RITA DR,,,,3,,,,,,3
LINWOOD AVE / PRESTON HWY,,,,,,,,,3,3
LOIS MORRIS DR / YOUNG AVE,,,,,,,,,3,3
LORETTA ST / MARIGOLD AVE,1,1,,1,,,,,,3
LULA WAY / NAOMI DR,,,,3,,,,,,3
LYNDON LN,3,,,,,,,,,3
LYNDON LN / OSBORNE DR,1,,1,1,,,,,,3
LYNDON LN / WOOD RD,,1,1,1,,,,,,3
LYNDON WAY / THIERMAN LN,,,1,2,,,,,,3
LYNNHURST AVE / PEACHTREE AVE,,,2,1,,,,,,3
LYNNVIEW DR / NEW LYNNVIEW DR,,,1,2,,,,,,3
LYTLE ST / N 27TH ST,,2,1,,,,,,,3
MANNER DALE DR / SUMMERFIELD DR,1,2,,,,,,,,3
MANSLICK RD / YAKIMA ST,,2,1,,,,,,,3
MAPLE ST / DIXIE HWY,,,3,,,,,,,3
MARIAN CT / MARIAN DR,,,,,,,,,3,3
MARY ST / E ST CATHERINE ST,,3,,,,,,,,3
MAYLAWN AVE / SHERRY RD,2,,,,,,,,1,3
MEDFORD LN / TERRIER LN,,,1,2,,,,,,3
MEDORA PARK,,2,,,,,,,1,3
MELLWOOD AVE / RIVER DELL DR,1,,,,,,,,2,3
MILE OF SUNSHINE DR / COPRA LN,1,2,,,,,,,,3
MILES LN,3,,,,,,,,,3
MOCKINGBIRD VALLEY RD / RIVER RD,2,1,,,,,,,,3
MOLTER AVE / PRESTON HWY,3,,,,,,,,,3
MORNING GLORY LN / SEAFORTH DR,,3,,,,,,,,3
N 17TH ST / COLUMBIA ST,,2,1,,,,,,,3
N 18TH ST/ MAIN ST,3,,,,,,,,,3
N 22ND ST CONNECTOR / DUNCAN ST,,1,,,,,,,2,3
N 24TH ST / GILLIGAN ST,1,,1,,,,,,1,3
N 24TH ST / TYLER AVE,,,2,,,,,,1,3
N 25TH ST / CORNWALL ST,3,,,,,,,,,3
N 37TH ST / JEWELL AVE,,,,3,,,,,,3
N 38TH ST / PFLANZ AVE,,,3,,,,,,,3
N 39TH ST / WEWOKA AVE,3,,,,,,,,,3
N 43RD ST / PARKER AVE,,2,,1,,,,,,3
N 44TH ST,3,,,,,,,,,3
N CLAY ST,,,3,,,,,,,3
N HUBBARDS LN,1,,,,,,,,2,3
N HURSTBOURNE PKY / SPRINGDALE RD,2,1,,,,,,,,3
N SPRING ST / ADAMS ST,3,,,,,,,,,3
NAPA VALLEY DR / TUSCANY VALLEY DR,,,1,2,,,,,,3
NEW CUT RD / HARPERS FERRY RD,3,,,,,,,,,3
NEW LA GRANGE RD / OLD MILL RD,,,,3,,,,,,3
NEWBURG RD / BLUEGRASS PARK DR,,,3,,,,,,,3
NEWBURG RD / THOUSAND OAKS DR,2,,1,,,,,,,3
NORENE LN / RETREAT RD,1,1,1,,,,,,,3
NORWOOD DR / N PARK PL,3,,,,,,,,,3
OLD HENRY RD / I265S,,2,,1,,,,,,3
OLD PRESTON HWY / WALDEN DR,,,,,,,,3,,3
OLD SPRINGDALE RD / SPRINGDALE RD,2,,1,,,,,,,3
ORMSBY LN / PARTRIDGE WALK LN,,,,3,,,,,,3
OUTER LOOP / FEGENBUSH LN,2,,1,,,,,,,3
PACKARD AVE / PRESTON HWY,,,,,,,,,3,3
PADDOCK CT / PADDOCK LN,,,3,,,,,,,3
PARK - HOUNZ LANE PARK,,,,3,,,,,,3
PARK - LOUISVILLE SOCCER PARK,1,,,,1,1,,,,3
PARKWAY DR / POPLAR LEVEL RD,2,,1,,,,,,,3
PAUL YOST PARK,,,,,,,,,3,3
PAYNE ST / LEXINGTON RD,,1,1,1,,,,,,3
PEPPERMILL LN / VAUGHN MILL RD,1,1,,1,,,,,,3
PIRTLE ST / DR W J HODGE ST,3,,,,,,,,,3
PLACE BLANC / W MUHAMMAD ALI BLVD,,3,,,,,,,,3
PLAYER DR / TERRY RD,1,,,2,,,,,,3
PLYMOUTH CT / S 22ND ST,,3,,,,,,,,3
POPLAR LEVEL RD / GOSS AVE,,3,,,,,,,,3
POPLAR LEVEL RD / HESS LN,,2,1,,,,,,,3
PORTLAND AVE / N 18TH ST,,,3,,,,,,,3
PRESTON HWY / FERN VALLEY RD,1,1,1,,,,,,,3
PRESTON HWY / ROSEMARY DR,,,,3,,,,,,3
PRESTON HWY S / I65N,1,1,,1,,,,,,3
PRODUCE RD / JENNINGS LN,,,3,,,,,,,3
RAGGARD RD,,,2,1,,,,,,3
REAMERS RD / ROCK BAY DR,2,1,,,,,,,,3
RED FERN RD / RIDGECREST RD,2,,1,,,,,,,3
RED OAK LN / ROBINWOOD RD,1,,2,,,,,,,3
RED OAK LN / RUSTIC WAY,2,1,,,,,,,,3
REDLEAF DR,,1,2,,,,,,,3
REGAL DR / RIATA DR,,1,1,1,,,,,,3
RIDGEWAY AVE / WESTPORT RD,,,2,,,,,,1,3
RIPPLE CREEK DR,2,,,,,,,,1,3
RIPPLE LN / RUNIC WAY,,,,,,,,,3,3
RIVERSIDE GARDENS,,,,,,,,,3,3
ROGERS ST / BAXTER AVE,1,1,,1,,,,,,3
ROMAN DR / STONY BROOK DR,,,3,,,,,,,3
RONWOOD DR / SHEPHERDSVILLE RD,,3,,,,,,,,3
RUBEL AVE / E BRECKINRIDGE ST,,1,2,,,,,,,3
RUBEL AVE / E BROADWAY,1,1,1,,,,,,,3
RUBEL AVE / ROGERS ST,3,,,,,,,,,3
RURAL WAY / ROBINWOOD RD,,3,,,,,,,,3
S 17TH ST / CEDAR ST,,,1,,,,,,2,3
S 19TH ST / PLYMOUTH CT,,,,,,,,,3,3
S 1ST ST / I 65 RAMP,,3,,,,,,,,3
S 1ST ST / W BURNETT AVE,,1,2,,,,,,,3
S 1ST ST / W KENTUCKY ST,2,1,,,,,,,,3
S 1ST ST / W LIBERTY ST,,,1,2,,,,,,3
S 20TH ST / PLYMOUTH CT,2,,,1,,,,,,3
S 23RD ST / WINGFIELD LN,1,1,1,,,,,,,3
S 25TH ST / WOODLAND AVE,2,,,1,,,,,,3
S 29TH ST / W MAIN ST,,2,1,,,,,,,3
S 30TH ST,3,,,,,,,,,3
S 30TH ST / WILSON AVE,,,,3,,,,,,3
S 34TH ST / KIRBY AVE,3,,,,,,,,,3
S 43RD ST / SUNSET AVE,2,,,,,,,,1,3
S 45TH ST / HALE AVE,,,1,,,,,,2,3
S 5TH ST / W WOODLAWN AVE,,,,,,,,,3,3
S 6TH ST / BRUCE ST,,1,2,,,,,,,3
S 7TH ST / W MAIN ST,2,,1,,,,,,,3
S BECKLEY STATION RD / BLUE HERON RD,,,,,,,,,3,3
S BROOK ST / E BRECKINRIDGE ST,1,,2,,,,,,,3
S BROOK ST / E KENTON ST,,,2,1,,,,,,3
S BROOK ST / PRODUCE PLZ,,3,,,,,,,,3
S CAMPBELL ST,3,,,,,,,,,3
S CHADWICK RD / SPRINGSBURY PL,,3,,,,,,,,3
S CHARLTON ST / POPE ST,3,,,,,,,,,3
S CLAY ST / E CHESTNUT ST,1,1,1,,,,,,,3
S CLAY ST / MERIWETHER AVE,,,,1,,,,,2,3
S CRUMS LN / MAE AVE,,2,1,,,,,,,3
S ENGLISH STATION RD / ENGLISH VILLA DR,3,,,,,,,,,3
S FLOYD ST / ABRAHAM FLEXNER WAY,,1,2,,,,,,,3
S FLOYD ST / OLD EASTERN PKY,1,,1,,,,,,1,3
