1316, 5900 PASEO, KANSAS CITY, MO, 64131
1317, 600 ELMWOOD AVENUE, KANSAS CITY, MO, 64123
1318, 6000 E 31 STREET, KANSAS CITY, MO, 64128
1319, 6300 BLUE PARKWAY DR, KANSAS CITY, MO, 64129
1320, 6300 E 102 TERRACE, KANSAS CITY, MO, 64134
1321, 6400 E 87 STREET, KANSAS CITY, MO, 64132
1322, 6500 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1323, 6600 E US HIGHWAY 40, KANSAS CITY, MO, 64127
1324, 6700 MYRTLE AVENUE, KANSAS CITY, MO, 64130
1325, 6800 BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
1326, 6900 E 114 TERRACE, KANSAS CITY, MO, 64134
1327, 6TH/HARDESTY AVENUE, KANSAS CITY, MO, 64123
1328, 700 BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
1329, 700 E 101 TERRACE, KANSAS CITY, MO, 64114
1330, 700 MAIN STREET, KANSAS CITY, MO, 64106
1331, 700 NE 45 STREET, KANSAS CITY, MO, 64117
1332, 7000 E US HIGHWAY 40, KANSAS CITY, MO, 64129
1333, 7100 NW BARRY ROAD, KANSAS CITY, MO, 64152
1334, 7100 NW CHAPEL WOODS CI, KANSAS CITY, MO, 64152
1335, 7100 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152
1336, 7200 EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64129
1337, 7200 OLIVE STREET, KANSAS CITY, MO, 64130
1338, 7400 E BANNISTER ROAD, KANSAS CITY, MO, 64134
1339, 7400 WABASH AVENUE, KANSAS CITY, MO, 64131
1340, 7500 PROSPECT AVENUE, KANSAS CITY, MO, 64130
1341, 7500 WASHINGTON AVENUE, KANSAS CITY, MO, 64114
1342, 7600 E 108 TERRACE, KANSAS CITY, MO, 64134
1343, 7600 NE 38 STREET, KANSAS CITY, MO, 64116
1344, 7900 LONGVIEW ROAD, KANSAS CITY, MO, 64138
1345, 7900 NE 75 TERRACE, KANSAS CITY, MO, 64158
1346, 7900 WORNALL ROAD, KANSAS CITY, MO, 64131
1347, 800 BENTON BOULEVARD, KANSAS CITY, MO, 64127
1348, 800 E 117 TERRACE, KANSAS CITY, MO, 64131
1349, 800 E 27 STREET, KANSAS CITY, MO, 64109
1350, 800 E 39 STREET, KANSAS CITY, MO, 64111
1351, 800 E ARMOUR BOULEVARD, KANSAS CITY, MO, 64111
1352, 800 INDIANA AVENUE, KANSAS CITY, MO, 64123
1353, 8000 E 80 STREET, KANSAS CITY, MO, 64131
1354, 8300 N STREET CLAIR AVENUE, KANSAS CITY, MO, 64154
1355, 8300 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152
1356, 8400 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152
1357, 8400 STATE LINE ROAD, KANSAS CITY, MO, 64114
1358, 8500 E 108 TERRACE, KANSAS CITY, MO, 64134
1359, 8500 E 350 HIGHWAY, KANSAS CITY, MO, 64133
1360, 8500 E 80 TERRACE, KANSAS CITY, MO, 64138
1361, 8500 N PLATTE PURCHASE DR, KANSAS CITY, MO, 64151
