2264, E 19 STREET and HOLMES STREET, KANSAS CITY, MO, 64106
2265, E 20 STREET and MCGEE STREET, KANSAS CITY, MO, 64106
2266, E 22 STREET and HOLMES STREET, KANSAS CITY, MO, 64108
2267, E 22 STREET and PASEO, KANSAS CITY, MO, 64109
2268, E 26 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64127
2269, E 26 STREET and DENVER AVENUE, KANSAS CITY, MO, 64127
2270, E 27 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
2271, E 27 STREET and DRURY AVENUE, KANSAS CITY, MO, 64127
2272, E 27 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64130
2273, E 27 STREET and PASEO, KANSAS CITY, MO, 64109
2274, E 27 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64110
2275, E 27 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
2276, E 28 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64128
2277, E 29 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64128
2278, E 29 STREET and WALROND AVENUE, KANSAS CITY, MO, 64128
2279, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
2280, E 3 STREET and HOLMES STREET, KANSAS CITY, MO, 64106
2281, E 31 STREET and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64127
2282, E 34 STREET and AGNES AVENUE, KANSAS CITY, MO, 64128
2283, E 34 STREET and HARRISON STREET, KANSAS CITY, MO, 64109
2284, E 34 STREET and PASEO, KANSAS CITY, MO, 64111
2285, E 34 STREET and TRACY AVENUE, KANSAS CITY, MO, 64109
2286, E 35 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64109
2287, E 35 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64128
2288, E 35 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64127
2289, E 35 TERRACE and MONTGALL AVENUE, KANSAS CITY, MO, 64128
2290, E 36 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64128
2291, E 36 STREET and MAIN STREET, KANSAS CITY, MO, 64111
2292, E 37 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64127
2293, E 39 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64110
2294, E 39 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64110
2295, E 39 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64130
2296, E 43 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
2297, E 43 STREET and CARLISLE, KANSAS CITY, MO, 64133
2298, E 43 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64130
2299, E 43 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
2300, E 43 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64110
2301, E 47 STREET and STERLING AVENUE, KANSAS CITY, MO, 64133
2302, E 5 STREET and MAIN STREET, KANSAS CITY, MO, 64105
2303, E 50 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
2304, E 53 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64130
2305, E 53 TERRACE and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64112
2306, E 55 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
2307, E 59 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
2308, E 59 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64130
2309, E 6 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64123
2310, E 63 TRAFFICWAY and I 435 HIGHWAY, KANSAS CITY, MO, 64132
2311, E 67 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64130
2312, E 68 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64132
2313, E 68 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64132
2314, E 68 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64132
2315, E 7 STREET and MONROE AVENUE, KANSAS CITY, MO, 64123
2316, E 7 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64124
2317, E 7 STREET and SPRUCE AVENUE, KANSAS CITY, MO, 64124
2318, E 74 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64131
2319, E 75 STREET and MONROE AVENUE, KANSAS CITY, MO, 64132
2320, E 77 STREET and HOLMES ROAD, KANSAS CITY, MO, 64131
2321, E 78 STREET and TROOST AVENUE, KANSAS CITY, MO, 64131
2322, E 83 STREET and TROOST AVENUE, KANSAS CITY, MO, 64131
2323, E 84 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64131
2324, E 85 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64131
2325, E 9 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64127
2326, E 9 STREET and PASEO, KANSAS CITY, MO, 64123
2327, E ARMOUR BOULEVARD and HARRISON BOULEVARD, KANSAS CITY, MO, 64109
2328, E ARMOUR BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64109
2329, E BANNISTER ROAD and MCGEE STREET, KANSAS CITY, MO, 64114
2330, E BLUE RIDGE BOULEVARD and BLUE RIVER ROAD, KANSAS CITY, MO, 64146
2331, E COAL MINE ROAD and WINCHESTER AVENUE, KANSAS CITY, MO, 64127
2332, E FRONT STREET and UNIVERSAL AVENUE, KANSAS CITY, MO, 64123
2333, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64129
2334, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64130
2335, E LINWOOD BOULEVARD and MCGEE STREET, KANSAS CITY, MO, 64111
2336, E LINWOOD BOULEVARD and PASEO, KANSAS CITY, MO, 64109
2337, E MEYER BOULEVARD and SWOPE PK, KANSAS CITY, MO, 64132
2338, E MISSOURI AVENUE and PASEO, KANSAS CITY, MO, 64106
2339, ELMWOOD AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO,
2340, ELMWOOD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
2341, EMANUEL CLEAVER II BOULEVARD and OAK STREET, KANSAS CITY, MO, 64111
2342, EWING AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
2343, FRONT STREET and N OLIVE STREET, KANSAS CITY, MO, 64120
2344, GARFIELD AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64109
2345, GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
2346, GENESSEE STREET and WESTPORT ROAD, KANSAS CITY, MO, 64111
2347, HOLMES ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64131
2348, HOLMES STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64108
2349, I 435 HIGHWAY and E TRUMAN ROAD E, KANSAS CITY, MO, 64124
2350, I 435 HIGHWAY and WINNER ROAD, KANSAS CITY, MO, 64124
2351, I 70 HIGHWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64130
2352, I 70 HIGHWAY and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
2353, INDEPENDENCE AVENUE and JACKSON AVENUE, KANSAS CITY, MO, 64123
2354, INDEPENDENCE AVENUE and LAWNDALE AVENUE, KANSAS CITY, MO, 64123
2355, INDEPENDENCE AVENUE and OLIVE STREET, KANSAS CITY, MO, 64109
2356, INDEPENDENCE AVENUE and PARK AVENUE, KANSAS CITY, MO, 64125
2357, LAWN AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127
2358, MAIN STREET and WARWICK TRAFFICWAY, KANSAS CITY, MO, 64108
2359, MILL STREET and WESTPORT ROAD, KANSAS CITY, MO,
2360, MILL STREET and WESTPORT ROAD, KANSAS CITY, MO, 64109
2361, N ANTIOCH ROAD and NE VIVION ROAD, KANSAS CITY, MO, 64118
2362, N BELMONT BOULEVARD and SCARRITT AVENUE, KANSAS CITY, MO, 64123
2363, N GOWER AVENUE and NW WAUKOMIS DR, KANSAS CITY, MO, 64151
2364, NE 50 STREET and N MANCHESTER AVENUE, KANSAS CITY, MO, 64119
2365, NE 57 STREET and N PALMER AVENUE, KANSAS CITY, MO, 64119
2366, NW 64 STREET and I 29 HIGHWAY, KANSAS CITY, MO, 64151
2367, NW ENGLEWOOD ROAD and N US 169 RA, KANSAS CITY, MO, 64118
