nibrs_offense_code,nibrs_crime_against,nibrs_offense_cactegory,nibrs_offense_type,ofns_desc,pd_desc
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,OFFENSES INVOLVING FRAUD,"FORGERY,ETC.-MISD."
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,,"FRAUD,UNCLASSIFIED-FELONY"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,,"FRAUD,UNCLASSIFIED-MISDEMEANOR"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUDULENT ACCOSTING,"ACCOSTING,FRAUDULENT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT"
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,PETIT LARCENY,"LARCENY,PETIT BY FALSE PROMISE"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,,"LARCENY,PETIT BY CREDIT CARD U"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,GRAND LARCENY,"LARCENY,GRAND BY ACQUIRING LOS"
26B,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26B Credit Card/Automated Teller Machine Fraud,GRAND LARCENY,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD"
