NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY OF A BANK WITH A KNIFE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY OF A BANK WITH BODILY FORCE
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY ON THE STREET W/DEADLY WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A KNIFE
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH A DEADLY WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH A GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH A KNIFE
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ATTEMPTED ROBBERY RESIDENCE WITH BODILY FORCE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY SERVICE STATION W/BODILY FORCE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY SERVICE STATION W/DEADLY WEAPON
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY SERVICE STATION WITH A GUN
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ATTEMPTED ROBBERY SERVICE STATION WITH A KNIFE
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY WITH A DEADLY WEAPON
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY WITH A GUN
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY WITH A KNIFE
12U,Crimes against property,Robbery,12U Other Robbery,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE
23C,Crimes against property,Larceny/Theft Offenses,23C Shoplifting,LARCENY/THEFT,ATTEMPTED SHOPLIFTING
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,ATTEMPTED SIMPLE ASSAULT
240,Crimes against property,Motor Vehicle Theft,240 Motor Vehicle Theft,VEHICLE THEFT,ATTEMPTED STOLEN VEHICLE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY ASPHYXIATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY DROWNING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY FIRE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY FIREARMS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY INGESTION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY JUMPING
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY LACERATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUICIDE,ATTEMPTED SUICIDE BY STRANGULATION
23E,Crimes against property,Larceny/Theft Offenses,23E Theft From Coin-Operated Machine or Device,LARCENY/THEFT,ATTEMPTED THEFT COIN OPERATED MACHINE
23D,Crimes against property,Larceny/Theft Offenses,23D Theft From Building,LARCENY/THEFT,ATTEMPTED THEFT FROM A BUILDING
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE
