NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,BATTERY WITH SERIOUS INJURIES
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,"BATTERY, OF A POLICE OFFICER"
11D,Crimes against person,Sex Offenses,11D Fondling,ASSAULT,"BATTERY, SEXUAL"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,BEGGING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,BEYOND PARENTAL CONTROL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, FORCIBLE","BIGAMY, INCEST, AND THE CRIME AGAINST NATURE (GENERAL)"
13C,Crimes against person,Assault Offenses,13C Intimidation,OTHER MISCELLANEOUS,BOMB THREAT OR FALSE REPORT OF BOMB
200,Crimes against property,Arson,200 Arson,WEAPON LAWS,BOMBING OF POLICE BUILDING
39B,Crimes against society,Gambling Offenses,39B Operating/Promoting/Assisting Gambling,GAMBLING,BOOKMAKING
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBERY OF EXECUTIVE OFFICER
510,Crimes against property,Bribery,510 Bribery,BRIBERY,BRIBERY OF WITNESSES
510,Crimes against property,Bribery,510 Bribery,OTHER MISCELLANEOUS,BRIBERY OF WITNESSES
510,Crimes against property,Bribery,510 Bribery,OTHER MISCELLANEOUS,"BRIBERY OR GRATUITY,  PUBLIC EMPLOYEES"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF FLAT, ATTEMPTED FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF FLAT, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF HOTEL ROOM, ATTEMPTED FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF HOTEL ROOM, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF WAREHOUSE, ATTEMPTED FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"BURGLARY TOOLS, POSSESSION OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"BURGLARY TOOLS, POSSESSION OF W/PRIOR"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APARTMENT HOUSE, ATT. FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APARTMENT HOUSE, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APARTMENT HOUSE, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APT UNDER CONSTR., ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APT UNDER CONSTR., FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, APT UNDER CONSTR., UNLAWFUL ENTRY"
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,"BURGLARY, ATTEMPTED FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT UNDER CONSTR., ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT UNDER CONSTR., FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT UNDER CONSTR., UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT, ATT. FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FLAT, UNLAWFUL ENTRY"
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,"BURGLARY, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOT PROWL, ATT. FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOTEL ROOM, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOTEL ROOM, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOTEL UNDER CONSTR., FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, HOTEL UNDER CONSTR., UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, NON-RESIDENTIAL, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, NON-RESIDENTIAL, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, NON-RESIDENTIAL, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG. UNDER CONSTR., ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG. UNDER CONSTR., FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG. UNDER CONSTR., UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG., ATT. FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG., FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, OTHER BLDG., UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE UNDER CONSTR, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE UNDER CONSTR, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE UNDER CONSTR, UNLAWFUL ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE, ATT. FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE, FORCIBLE ENTRY"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, RESIDENCE, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE,  HOTEL"
22A,Crimes against property,Burglary/Breaking & Entering,22A Residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE,  RESIDENCE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE,  STORE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE,  WAREHOUSE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE, APARTMENT"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE, OTHER"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE, OTHER, WITH EXPLOSIVES"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, SAFE, WAREHOUSE, WITH EXPLOSIVES"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, STORE, ATT. FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, STORE, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, STORE, UNLAWFUL ENTRY"
22U,Crimes against property,Burglary/Breaking & Entering,22U Other Burglary/Breaking & Entering,BURGLARY,"BURGLARY, UNLAWFUL ENTRY"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"BURGLARY, VEHICLE (ARREST MADE)"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),BURGLARY,"BURGLARY, VEHICLE, ATT. (ARREST MADE)"
23F,Crimes against property,Larceny/Theft Offenses,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),LARCENY/THEFT,"BURGLARY, VEHICLE, ATT. (ARREST MADE)"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, WAREHOUSE UNDER CONSTR, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, WAREHOUSE UNDER CONSTR, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, WAREHOUSE, ATT. FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, WAREHOUSE, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY, WAREHOUSE, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,APT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,FLAT UNDER CONSTRUCTION, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,FLAT UNDER CONSTRUCTION, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,FLAT UNDER CONSTRUCTION, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,HOTEL UNDER CONSTRUCTION, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,HOTEL UNDER CONSTRUCTION, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,HOTEL UNDER CONSTRUCTION, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,WAREHOUSE UNDER CONSTRT, ATT. FORCIBLE"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,WAREHOUSE UNDER CONSTRT, FORCIBLE ENTRY"
22B,Crimes against property,Burglary/Breaking & Entering,22B Non-residential Burglary/Breaking & Entering,BURGLARY,"BURGLARY,WAREHOUSE UNDER CONSTRT, UNLAWFUL ENTRY"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"CABLE TV CONNECTION OR DECODING DEVICE, UNAUTHORIZED"
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,CARJACKING WITH A DANGEROUS WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,CARJACKING WITH A GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,CARJACKING WITH A KNIFE
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,CARJACKING WITH BODILY FORCE
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,CARRYING A CONCEALED WEAPON
520,Crimes against society,Weapon Law Violations,523 Weapon Law Violations,WEAPONS CARRYING ETC,CARRYING A CONCEALED WEAPON
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON
520,Crimes against society,Weapon Law Violations,524 Weapon Law Violations,WEAPONS CARRYING ETC,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,CASE CLOSURE,CASE CLOSURE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,CASE CLOSURE
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,"CASH DISPENSING MACHINES (ATM), LOITERING PROHIBI"
520,Crimes against society,Weapon Law Violations,574 Weapon Law Violations,WEAPONS OFFENSE,"CAUSTIC CHEMICAL, POSSESSION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,FRAUD,"CELLULAR OR CORDLESS PHONE COMMUNICATIONS, INTERCEPTING"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, BLANK OR FORGED, FRAUDULENT POSSESSION"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, FALSE, MAKING, UTTERING OR POSSESSING"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (MISDEMEANOR)"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,"CHECKS, MAKING OR UTTERING WITH INSUFFICIENT FUNDS"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,"CHECKS, MONEY ORDERS, COMPLETED, FRAUDULENT POSSESSION"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),BAD CHECKS,"CHECKS, NON-SUFFICIENT FUNDS (FELONY)"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),BAD CHECKS,"CHECKS, NON-SUFFICIENT FUNDS (MISDEMEANOR)"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"CHECKS, POSSESSION WITH INTENT TO PASS"
90A,Crimes against property,Bad Checks (except Counterfeit Checks or Forged Checks),90A Bad Checks (except Counterfeit Checks or Forged Checks),FRAUD,"CHECKS, THEFT/NON-SUFFICIENT FUNDS, FELONY"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,CHILD ABUSE (PHYSICAL)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, FORCIBLE",CHILD ABUSE SEXUAL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,SEX OFFENSE,"CHILD ABUSE, EXPLOITATION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,"SEX OFFENSES, FORCIBLE","CHILD ABUSE, EXPLOITATION"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,SEX OFFENSE,"CHILD ABUSE, PORNOGRAPHY"
