NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
35A,NARCOTICS,NARC-SMUGGLE-OTHER,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
90Z,OBSTRUCT,OBSTRUCT,90Z All Other Offenses,All Other Offenses,All Other Offenses
23G,OTHER PROPERTY,THEFT-AUTO PARTS,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property
23F,OTHER PROPERTY,THEFT-AUTOACC,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property
23D,OTHER PROPERTY,THEFT-BUILDING,23D Theft From Building,Larceny/Theft Offenses,Crimes against property
23E,OTHER PROPERTY,THEFT-COINOP,23E Theft From Coin-Operated Machine or Device,Larceny/Theft Offenses,Crimes against property
23F,OTHER PROPERTY,THEFT-LICENSE PLATE,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property
23H,OTHER PROPERTY,THEFT-OTH,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
90A,OTHER PROPERTY,THEFT-UNLAWFUL ISSUANCE OF BAN,90A Bad Checks (except Counterfeit Checks or Forged Checks),Bad Checks (except Counterfeit Checks or Forged Checks),Crimes against property
23A,PICKPOCKET,THEFT-PKPOCKET,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property
370,PORNOGRAPHY,PORNOGRAPHY-OBSCENE MATERIAL,370 Pornography/Obscene Material,Pornography/Obscene Material,Crimes against society
290,PROPERTY DAMAGE,PROPERTY DAMAGE - GRAFFITI,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
290,PROPERTY DAMAGE,PROPERTY DAMAGE-NON RESIDENTIA,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
290,PROPERTY DAMAGE,PROPERTY DAMAGE-RESIDENTIAL,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
40A,PROSTITUTION,PROSTITUTION,40A Prostitution,Prostitution Offenses,Crimes against society
40A,PROSTITUTION,PROSTITUTION LOITERING,40A Prostitution,Prostitution Offenses,Crimes against society
40C,PROSTITUTION,PROSTITUTION PATRONIZING,40C Purchasing Prostitution,Prostitution Offenses,Crimes against society
40B,PROSTITUTION,PROSTITUTION-ASSIST-PROMOTE,40B Assisting or Promoting Prostitution,Prostitution Offenses,Crimes against society
90C,PUBLIC NUISANCE,URINATING/DEFECATING-IN PUBLIC,90C Disorderly Conduct,Disorderly Conduct,Crimes against society
23B,PURSE SNATCH,THEFT-PRSNATCH,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property
200,RECKLESS BURNING,RECKLESS BURNING,200 Arson,Arson,Crimes against property
99Z,RECOVERED PROPERTY,PROP RECOVERED-OTHER AGENCY,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,RECOVERED PROPERTY,PROPERTY RECOVERED - POLICE EQ,99Z Non-Criminal Matters,Excluded cases,Excluded cases
12B,ROBBERY,ROBBERY-BANK-BODYFORCE,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BANK-GUN,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BANK-OTHER,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BANK-WEAPON,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BUSINESS-BODYFORCE,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BUSINESS-GUN,12B Commercial Robbery,Robbery,Crimes against property
12B,ROBBERY,ROBBERY-BUSINESS-WEAPON,12B Commercial Robbery,Robbery,Crimes against property
12C,ROBBERY,ROBBERY-OTHER,12U Other Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-RESIDENCE-BODYFORCE,12A Personal Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-RESIDENCE-GUN,12A Personal Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-RESIDENCE-WEAPON,12A Personal Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-STREET-BODYFORCE,12A Personal Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-STREET-GUN,12A Personal Robbery,Robbery,Crimes against property
12A,ROBBERY,ROBBERY-STREET-WEAPON,12A Personal Robbery,Robbery,Crimes against property
23C,SHOPLIFTING,THEFT-SHOPLIFT,23C Shoplifting,Larceny/Theft Offenses,Crimes against property
90B,STAY OUT OF AREA OF DRUGS,SODA-VIOL-EAST,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF DRUGS,SODA-VIOL-NORTH,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF DRUGS,SODA-VIOL-WEST,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF PROSTITUTION,SOAP-VIOL - ZONE 1,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF PROSTITUTION,SOAP-VIOL - ZONE 2,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF PROSTITUTION,SOAP-VIOL - ZONE 3,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF PROSTITUTION,SOAP-VIOL - ZONE 4,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
90B,STAY OUT OF AREA OF PROSTITUTION,SOAP-VIOL - ZONE 6,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society
99Z,STOLEN PROPERTY,PROPERTY FOUND,99Z Non-Criminal Matters,Excluded cases,Excluded cases
280,STOLEN PROPERTY,PROPERTY STOLEN - POLICE EQUIP,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
280,STOLEN PROPERTY,PROPERTY STOLEN-POSSESS,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
280,STOLEN PROPERTY,PROPERTY STOLEN-RECEIVE,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
280,STOLEN PROPERTY,PROPERTY STOLEN-SELL,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
280,STOLEN PROPERTY,PROPERTY STOLEN-TRAFFICKING,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
23H,THEFT OF SERVICES,THEFT OF SERVICES,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
13C,THREATS,HARASSMENT,13C Intimidation,Assault Offenses,Crimes against person
13C,THREATS,MALICIOUS HARASSMENT,13C Intimidation,Assault Offenses,Crimes against person
13C,THREATS,THREATS-DIGNITARY,13C Intimidation,Assault Offenses,Crimes against person
13C,THREATS,THREATS-KILL,13C Intimidation,Assault Offenses,Crimes against person
13C,THREATS,THREATS-OTHER,13C Intimidation,Assault Offenses,Crimes against person
13C,THREATS,THREATS-WEAPON,13C Intimidation,Assault Offenses,Crimes against person
99Z,TRAFFIC,TRAFFIC,99Z Non-Criminal Matters,Excluded cases,Excluded cases
90J,TRESPASS,TRESPASS,90J Trespass of Real Property,Trespass of Real Property,Crimes against society
240,VEHICLE THEFT,THEFT-BOAT,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
240,VEHICLE THEFT,VEH-RCVD-FOR OTHER AGENCY,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
